Renewables 03/01/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-28,-29,-31,-34,-35,-36,-38,-38,-38,-38,-39,-38,-38,-40,-41,-41,-41,-41,-41,-41,-41,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-44,-44,-45,-44,-45,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-45,-45,-45,-45,-46,-45,-40,-32,-17,15,99,193,326,566,876,1223,1681,2190,2794,3407,4008,4598,5206,5821,6456,7042,7554,7744,8284,8842,9550,9976,10295,10602,10830,11033,11231,11312,11229,11345,11503,11689,11742,11823,11829,11816,11815,11853,11944,11964,12022,12058,12101,12071,11933,11885,11929,11917,11805,11655,11591,11623,11582,11659,11668,11680,11827,11749,11443,11426,11595,11552,11373,11360,11556,11745,11779,11741,11805,11795,11617,11602,11671,11589,11650,11761,11886,11944,11833,11684,11639,11601,11577,11607,11716,11688,11692,11679,11687,11549,11476,11547,11569,11353,11267,11258,11136,11102,11182,11085,11015,10735,10587,10465,10128,10244,10397,10460,10465,10573,10495,10140,9747,9368,9208,8968,9103,8335,7688,7573,7292,6659,5786,5472,4913,4219,3628,3135,2678,2232,1727,1236,856,598,445,305,198,58,25,13,25,-4,-9,-9,-8,-6,-6,-6,-6,-6,-6,-6,-7,-8,-8,-7,-8,-8,-6,-6,-5,-4,-4,-3,-3,-5,-4,-5,-4,-4,-3,-3,-3,-3,-3,-5,-3,-3,-3,-4,-3,-4,-3,-4,-4,-4,-4,-4,-4,-4,-3,-8,-27,-34,-35,-37,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38
,Wind,1625,1618,1611,1611,1615,1613,1599,1578,1544,1507,1449,1383,1339,1280,1236,1205,1176,1146,1084,1041,1024,1009,983,961,958,938,896,869,864,881,889,893,881,865,852,874,897,900,878,855,847,855,877,888,909,929,950,984,1014,1041,1056,1074,1078,1087,1057,1031,1036,1024,1021,1020,1024,1048,1069,1072,1062,1020,988,968,935,907,866,824,779,765,760,756,763,776,794,803,806,823,847,841,809,788,741,712,670,626,589,570,566,548,529,525,501,470,451,460,468,480,488,491,510,515,492,475,491,506,490,479,515,509,498,497,472,461,451,444,435,429,411,416,440,444,455,438,429,427,433,420,448,459,460,461,461,474,461,439,423,427,440,438,433,438,447,457,473,495,516,514,524,536,530,515,502,481,484,471,464,472,450,432,422,403,380,373,366,365,382,376,371,351,339,346,357,355,370,361,356,362,370,391,396,395,394,400,419,438,479,514,546,574,614,652,703,770,840,895,998,1069,1101,1121,1120,1124,1102,1082,1036,985,959,936,924,910,887,874,869,852,864,905,971,1027,1051,1067,1077,1071,1062,1075,1091,1091,1088,1106,1118,1133,1156,1182,1184,1182,1178,1162,1151,1140,1126,1110,1099,1076,1068,1077,1061,1013,967,965,980,1006,1031,1058,1072,1051,1014,990,960,971,953,911,877,856,844,841,869,871,874,838,812,811,815,808,801,801,809,828,837,832,813,796,770,727,704,691
,Geothermal,876,877,876,877,878,878,877,878,877,877,876,876,876,876,876,877,875,876,876,875,876,876,876,876,875,876,877,876,876,875,875,876,875,875,875,876,876,876,876,876,876,876,877,876,877,877,876,876,876,874,873,872,872,872,873,874,874,874,874,875,874,873,873,874,873,872,873,873,873,867,860,846,840,839,840,841,843,845,845,844,845,844,841,844,840,844,845,846,845,845,845,845,844,844,844,843,840,842,844,843,844,843,843,843,843,843,843,843,842,843,843,843,842,841,842,841,842,841,840,840,840,840,840,839,839,839,839,838,836,837,837,837,836,837,836,836,835,834,834,834,833,832,833,833,833,833,833,833,832,832,833,832,831,832,832,832,832,832,830,832,832,831,830,831,831,831,830,830,831,830,830,830,830,829,829,830,830,830,827,827,827,828,828,828,829,830,830,831,829,830,831,832,831,830,833,833,835,836,836,836,836,836,837,837,838,838,838,837,837,838,838,838,838,838,838,837,838,838,838,837,837,837,838,838,839,839,840,839,839,839,839,841,840,839,839,840,840,840,839,839,838,837,838,838,839,838,838,839,839,841,841,843,845,845,849,847,846,847,848,849,847,846,847,848,849,848,848,849,849,849,850,849,850,850,851,852,852,852,851,851,851,851,851,851,851,851,852,852
,Biomass,307,309,309,307,301,297,290,291,290,291,292,291,292,293,293,292,291,291,293,291,289,292,293,291,290,290,290,288,288,287,286,284,286,291,294,294,294,295,293,294,294,294,295,294,296,295,296,295,294,296,295,294,296,294,295,296,295,295,294,294,294,293,293,291,292,291,289,292,290,290,288,289,289,291,290,286,288,289,287,287,287,288,290,288,288,290,291,292,292,294,294,295,297,300,299,298,299,297,295,294,293,291,290,291,292,296,298,300,301,300,303,298,297,293,292,292,291,287,285,285,284,283,283,285,284,284,285,286,287,289,288,289,293,295,293,295,295,296,296,293,293,292,293,293,294,292,295,295,295,296,307,308,309,316,316,316,320,320,318,318,320,317,316,319,318,319,318,318,318,317,314,314,316,316,317,319,319,320,320,320,320,322,318,321,324,321,320,325,324,324,326,326,327,328,329,329,329,331,329,329,328,328,329,330,330,326,327,326,326,327,327,328,327,326,326,328,327,326,326,327,326,327,327,327,327,328,328,327,327,327,327,326,326,329,328,326,319,307,304,303,303,306,306,305,304,303,302,304,304,302,304,304,301,302,301,304,304,305,306,304,304,303,305,306,305,305,306,306,306,307,307,306,308,306,305,306,304,305,304,303,306,305,304,305,304,303,304,304
,Biogas,207,207,204,203,203,204,204,203,204,203,203,204,203,203,203,202,201,200,201,200,200,200,200,200,200,200,201,200,201,201,201,201,201,201,201,201,201,201,201,200,200,200,200,200,199,199,199,199,199,198,199,199,199,199,200,199,199,201,200,199,199,199,199,199,199,199,200,199,199,199,199,199,199,198,198,199,199,197,198,199,200,201,201,201,200,200,199,199,198,198,199,198,198,198,199,198,197,197,198,199,200,199,199,199,200,199,198,200,200,199,199,199,200,198,198,199,199,198,198,198,198,198,197,197,197,197,197,198,199,199,198,198,198,198,198,198,198,197,197,198,197,197,197,196,196,196,196,196,196,196,197,197,197,197,197,197,196,196,196,197,197,197,196,196,197,197,198,197,197,198,198,198,198,198,198,198,198,198,198,197,197,198,199,199,198,198,199,199,199,199,198,199,200,199,199,199,200,200,200,200,201,200,202,200,200,201,201,201,201,202,203,201,201,201,201,201,202,201,201,201,202,201,202,200,198,199,202,201,202,201,202,202,202,202,203,203,203,203,203,203,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,201,201,201,202,201,201,201,201,201,202,201,201,201,202,202,202,203,203,203,203,203,203,203,203,204,203,203,199
,Small hydro,147,148,148,148,148,148,147,147,146,146,147,147,146,148,148,149,148,148,148,148,148,147,147,146,147,147,147,147,148,148,148,148,147,147,147,147,147,147,146,145,145,145,145,145,145,145,145,144,144,143,142,143,144,145,146,147,147,146,145,146,145,145,145,146,146,146,146,145,145,145,145,174,186,186,192,193,193,192,192,192,192,192,192,193,193,194,184,159,152,152,151,152,153,153,153,152,150,151,153,153,152,153,152,152,152,152,151,133,111,107,105,105,104,104,104,104,104,104,104,104,104,104,104,105,104,105,104,105,106,105,105,105,104,104,105,105,104,104,103,102,102,102,102,104,104,103,104,103,102,101,101,101,101,102,102,102,102,103,102,103,102,102,102,101,103,105,104,104,104,104,103,103,102,102,103,102,102,102,101,101,101,109,134,146,147,147,148,147,146,145,145,145,145,146,148,149,148,149,150,151,151,151,151,181,192,195,212,211,211,212,212,212,213,212,212,211,211,211,212,212,211,210,210,209,210,209,210,210,210,211,211,210,210,210,209,210,211,212,212,212,213,212,211,210,210,210,210,210,210,209,209,209,209,209,209,209,209,209,209,209,209,209,209,207,206,194,170,139,140,140,140,139,139,139,138,138,138,138,136,136,136,136,135,134,133,134,134,136
