Renewables 03/30/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45
,Solar,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-45,-45,-45,-46,-45,-46,-45,-45,-45,-46,-45,-45,-45,-43,-42,-43,-43,-42,-38,-29,-7,47,145,295,483,746,1048,1428,1873,2327,2828,3334,3846,4437,5061,5659,6220,6792,7293,7835,8198,8588,9052,9359,9620,9721,9611,9815,10471,10978,11243,11445,11606,11625,11707,11692,11672,11939,12059,11968,11577,11216,11218,11233,11347,11468,11439,11364,11469,11356,11441,11519,11488,11541,11590,11751,11787,11704,11844,11705,11707,11636,11604,11755,11761,11982,12093,12196,12085,12266,12371,12131,12088,12022,11937,11985,12193,12677,12618,12660,12891,12947,12760,12725,12533,12388,12497,12358,12210,12133,12063,11792,11374,10911,10544,10325,10261,10083,10193,10182,10100,10096,10198,9772,9894,9849,9721,9908,9939,9530,9495,9497,9382,9055,8679,8615,8670,8317,7855,8188,8834,8807,8916,8852,8419,8062,8296,7728,7399,7082,6979,6222,5817,6155,5800,5306,4461,3735,3367,3194,2977,2504,1873,1564,1388,1103,807,544,333,211,106,30,2,-6,-5,3,1,0,0,1,-1,0,4,1,1,0,1,0,0,0,0,0,0,1,-2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-17,-37,-43,-43
,Wind,5087,5023,4949,4901,4855,4829,4826,4829,4815,4807,4838,4813,4804,4777,4733,4700,4812,4832,4817,4778,4688,4583,4509,4530,4574,4610,4619,4645,4663,4676,4658,4618,4583,4559,4504,4541,4547,4659,4767,4817,4861,4898,4932,4942,4900,4838,4747,4684,4549,4401,4284,4115,3974,3900,3831,3758,3710,3624,3534,3474,3394,3323,3258,3167,3096,3099,3197,3284,3411,3525,3500,3494,3463,3408,3262,3247,3175,3180,3245,3251,3222,3149,3168,3197,3173,3188,3183,3190,3154,3148,3117,3112,3019,2989,2992,2985,2918,2879,2867,2910,2921,2911,2843,2820,2811,2838,2893,2898,2888,2850,2858,2861,2860,2916,2975,3050,3126,3159,3162,3130,3072,2994,2958,2839,2777,2691,2580,2446,2343,2239,2138,2070,1967,1835,1745,1716,1667,1625,1589,1559,1557,1533,1529,1499,1463,1445,1447,1480,1468,1466,1487,1511,1509,1490,1502,1513,1568,1597,1545,1553,1568,1609,1630,1697,1739,1857,1926,2005,2083,2240,2357,2372,2464,2599,2665,2693,2759,2762,2795,2821,2892,2948,2995,3068,3070,3060,3139,3204,3157,3185,3258,3353,3542,3703,3784,3820,3751,3790,3853,3836,3851,3829,3863,3852,3851,3873,3870,4090,4098,4077,4071,4070,4082,4104,4130,4162,4146,4128,4133,4169,4197,4206,4223,4238,4245,4270,4250,4279,4304,4330,4330,4332,4325,4287,4279,4261,4238,4240,4238,4224,4179,4123,4083,4103,4179,4191,4156,4145,4131,4171,4184,4177,4169,4165,4147,4121,4090,4071,4026,4051,4053,4082,4116,4094,4060,4031,4016,3994,4024,4014,4003,3975,3931,3888,3835,3778,3680,3626,3570,3508,3476,3392,3405,3422,3437,3458
,Geothermal,801,800,800,800,799,800,799,799,801,800,800,801,801,801,802,802,802,802,802,802,802,803,803,803,802,802,802,803,803,803,803,803,805,804,804,804,804,804,804,804,804,803,804,804,804,803,804,803,804,804,804,804,805,805,805,804,804,803,804,805,806,806,806,806,806,806,807,807,809,807,807,808,807,807,806,806,807,807,807,806,807,807,807,807,807,806,805,805,805,806,806,806,805,805,805,804,805,805,804,805,804,805,804,803,803,804,803,803,802,801,802,802,801,801,801,801,801,800,799,798,797,798,797,797,797,797,797,797,796,796,796,797,798,797,797,797,797,797,797,797,796,796,797,797,796,795,796,795,796,796,794,794,793,792,793,794,793,793,793,792,793,790,791,794,793,792,791,792,792,792,793,793,793,793,792,793,794,793,792,792,793,794,795,796,795,796,795,796,796,795,795,795,795,795,795,795,795,794,795,795,795,796,795,798,797,797,797,797,796,798,797,797,797,796,796,797,798,798,797,798,798,799,798,798,797,798,799,798,798,798,799,799,800,800,800,800,802,802,802,802,802,803,802,803,802,803,803,803,803,803,803,802,803,803,804,803,802,802,802,803,803,803,803,803,804,803,802,803,803,803,803,804,804,804,805,805,805,803,799,797,796,794,794,791,790,791
,Biomass,234,232,227,226,227,226,226,227,225,224,222,226,225,225,227,227,226,225,226,227,228,230,229,227,227,229,228,227,226,228,228,226,224,222,223,224,223,223,219,224,225,224,226,228,229,226,224,223,224,225,223,223,222,225,226,225,224,222,228,226,221,222,223,225,229,229,230,230,230,233,237,240,237,238,235,235,236,236,234,234,235,234,235,234,233,235,237,238,238,238,236,237,240,238,236,235,234,236,234,235,234,235,235,236,233,235,236,236,236,235,230,233,237,234,239,240,240,242,243,239,236,240,236,234,236,241,242,238,239,238,242,244,247,244,241,239,240,240,240,242,246,247,250,248,248,247,245,242,244,243,247,251,252,254,251,249,248,249,251,249,250,250,251,250,250,249,248,247,246,249,248,245,245,242,243,242,240,237,237,238,238,237,238,239,238,239,243,250,250,252,253,254,253,256,257,257,258,261,259,259,258,258,256,256,254,254,256,255,252,254,251,251,249,249,252,249,241,242,246,246,245,247,253,253,251,253,256,258,257,257,256,258,258,258,257,256,258,255,255,254,254,254,255,258,257,257,259,257,256,255,255,254,252,253,254,256,259,258,258,260,258,258,258,259,260,258,258,252,251,247,245,243,243,243,243,242,241,242,242,244,245,245,245,246,247,244
,Biogas,194,194,194,194,194,194,194,194,195,195,195,195,195,194,195,194,195,195,195,195,195,195,195,195,195,195,195,195,195,195,196,196,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,196,196,196,196,196,196,196,196,196,196,196,196,195,196,195,195,195,196,195,194,195,195,195,195,195,195,195,195,195,194,194,194,194,194,195,194,194,194,195,194,194,194,194,194,195,195,195,195,195,195,197,196,196,196,197,196,196,195,195,195,195,192,189,187,187,188,188,188,188,187,187,187,187,188,189,189,189,190,189,189,190,190,189,190,190,190,189,192,191,191,191,192,195,195,196,196,195,196,195,196,196,196,196,196,196,196,196,196,196,196,195,196,196,196,196,197,196,196,196,196,197,197,196,197,197,197,199,197,197,197,200,197,197,197,198,197,196,197,197,197,197,196,195,196,196,197,197,197,197,197,197,198,199,199,199,199,200,201,201,199,200,200,199,200,199,199,200,200,200,201,200,200,200,201,200,200,200,200,200,201,201,200,200,200,200,199,200,199,200,200,200,200,200,200,200,200,200,199,199,199,199,199,199,198,199,198,198,198,198,199,198,199,198,198,197,197,197,198,198,197,198,197,198,198,199,198,198,198,198,198,198,198,198,198,198,198
,Small hydro,181,184,184,185,183,184,185,186,187,186,185,186,186,184,184,183,183,184,184,185,185,186,186,186,185,185,185,184,184,184,185,185,185,185,185,184,184,184,185,185,184,185,185,186,186,186,185,186,185,193,198,198,198,198,198,198,197,198,199,198,198,201,203,203,203,203,202,202,203,203,203,209,225,244,245,245,245,244,244,245,244,244,244,245,245,245,245,244,244,244,244,244,244,244,244,244,243,243,235,210,202,203,203,203,203,204,204,205,204,202,195,195,194,194,194,194,195,194,194,178,151,152,152,153,153,153,153,153,153,152,152,152,154,155,147,148,148,146,146,147,146,145,144,143,144,144,143,142,143,144,143,144,144,144,145,146,146,146,149,150,149,149,149,150,149,150,151,149,149,149,147,147,148,148,148,148,149,148,148,148,147,147,149,149,148,148,149,150,149,150,150,151,151,150,150,150,150,151,152,151,149,149,149,150,151,160,207,209,209,208,208,209,209,209,208,229,250,256,266,268,268,268,268,265,267,267,267,268,267,268,267,266,267,267,268,268,268,268,268,268,267,268,269,268,270,270,268,268,268,267,267,267,267,266,254,223,222,223,223,223,222,222,221,219,215,214,211,211,209,209,209,210,210,209,209,210,210,210,193,177,178,176,176,174,174,175
