Renewables 03/09/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-42,-43,-43,-43,-43,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-41,-40,-40,-40,-40,-40,-40,-41,-41,-40,-40,-40,-40,-41,-41,-40,-40,-41,-40,-41,-41,-41,-41,-40,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-35,-24,-10,24,88,220,385,611,934,1329,1788,2267,2848,3459,4092,4747,5353,5942,6514,7131,7642,8104,8498,8384,8623,9116,9875,10495,10763,10852,11032,11155,11453,11660,11473,11184,11271,11320,11379,11467,11666,11777,11650,11348,11667,11729,11565,11156,11050,11016,10974,10720,10635,10614,10586,10521,10250,10051,9945,9851,9793,9848,10209,10192,10036,10075,10214,10239,10487,10396,10090,9622,9620,9728,9926,10058,10041,10138,10094,9820,9637,9520,9425,9322,9334,9379,9722,10075,10185,10086,10031,10127,10275,10386,10451,10451,10513,10539,10531,10528,10504,10459,10601,10557,10522,10633,10624,10751,10765,10780,10633,10511,10595,10850,10933,10990,10974,10842,10836,10688,10298,9667,9046,8543,8333,8672,8607,8256,7675,7081,6436,5774,5133,4500,3840,3196,2616,2076,1591,1211,864,474,312,199,134,91,79,53,30,30,32,32,76,84,84,84,81,75,60,47,44,42,43,42,42,42,42,42,43,43,25,18,20,41,21,18,19,17,18,18,18,16,28,46,51,53,53,53,53,51,48,45,45,42,15,9,9,9,9,9,9,9,9,7,3,1,-6,-17,-29,-38,-39,-40,-39,-39,-40,-40,-39
,Wind,2714,2747,2765,2809,2830,2853,2888,2903,2921,2892,2850,2814,2804,2796,2785,2731,2671,2650,2641,2602,2529,2457,2405,2359,2350,2327,2316,2308,2307,2339,2379,2406,2438,2464,2475,2464,2466,2500,2532,2550,2562,2571,2583,2546,2491,2420,2359,2320,2265,2208,2166,2129,2074,2026,1972,1926,1925,1977,1967,1965,1958,1963,1959,1957,1966,1970,1953,1972,2014,2024,2051,2099,2149,2181,2205,2179,2149,2124,2093,2040,1983,1934,1903,1870,1881,1930,1940,1962,1990,2054,2097,2105,2134,2134,2085,2045,2053,2064,2064,2054,2061,2086,2140,2190,2266,2325,2347,2327,2327,2349,2403,2465,2533,2570,2667,2802,2894,2948,3000,3045,3057,3071,3155,3191,3217,3257,3293,3290,3289,3358,3407,3452,3511,3574,3604,3597,3611,3632,3656,3689,3702,3693,3721,3739,3786,3857,3891,3956,3967,3939,3942,3912,3879,3884,3925,4016,3960,3782,3579,3522,3518,3514,3377,3322,3257,3444,3442,3401,3347,3353,3421,3445,3454,3489,3499,3566,3618,3607,3688,3666,3758,3830,3781,3730,3718,3689,3704,3732,3722,3693,3678,3669,3652,3620,3633,3666,3679,3665,3672,3676,3656,3634,3620,3588,3599,3608,3581,3566,3549,3526,3488,3471,3380,3344,3300,3302,3246,3173,3097,3073,3069,3005,2943,2905,2854,2786,2731,2792,2779,2756,2754,2786,2804,2808,2830,2834,2832,2825,2759,2668,2652,2641,2669,2748,2889,2919,2948,2942,2933,2936,2929,2933,2927,2961,2995,3013,3020,3033,3052,3075,3094,3095,3115,3154,3190,3206,3247,3274,3298,3281,3253,3260,3264,3254,3268,3271,3334,3486,3560,3578,3599,3610,3609,3577,3572,3528,3446,3377
,Geothermal,865,866,866,866,866,866,866,866,865,866,866,866,866,866,866,866,866,866,866,865,865,865,865,864,864,864,864,864,863,864,864,864,864,864,864,864,864,865,862,862,859,856,856,856,855,856,856,855,855,856,855,855,856,856,856,856,855,856,856,856,856,856,855,856,856,855,855,855,854,856,855,855,855,855,856,855,855,854,855,855,852,855,855,855,855,855,854,855,855,855,854,854,854,855,855,856,856,856,855,855,855,856,856,855,855,855,855,856,855,855,855,855,854,854,853,852,854,852,851,850,850,850,850,850,850,850,849,849,848,848,848,848,847,846,847,846,847,847,846,846,847,847,846,846,846,846,846,846,846,846,845,846,846,845,845,845,844,844,845,844,844,843,843,843,843,843,843,841,840,838,841,844,844,844,843,843,844,843,839,838,840,844,845,845,846,855,866,877,879,878,878,878,878,878,879,879,879,871,875,876,877,877,877,877,879,882,891,903,921,918,917,918,917,918,920,921,920,920,920,921,920,921,921,922,922,921,922,921,920,921,921,920,920,919,919,919,919,919,919,920,919,920,919,919,919,920,919,918,916,916,919,919,919,920,919,920,920,920,920,919,920,920,921,920,922,921,920,921,921,920,921,920,921,922,922,923,925,926,927,929,930,930,930,931,930,931,930,931
,Biomass,272,271,268,268,267,268,267,267,267,266,264,260,266,266,263,263,264,264,264,262,261,264,260,262,263,266,266,264,264,261,263,263,264,265,265,263,265,267,266,267,266,266,265,266,268,267,270,268,268,268,267,265,265,266,263,266,266,265,265,265,264,264,263,264,263,264,263,264,263,262,261,262,259,260,261,259,262,262,263,264,265,265,267,265,268,267,268,266,274,288,291,291,290,291,293,290,293,293,292,296,296,295,293,293,293,294,294,296,295,294,294,292,291,294,292,290,294,292,291,291,290,289,287,292,294,296,295,297,296,295,296,296,295,296,294,295,296,295,295,293,292,294,294,294,294,294,296,293,292,293,291,292,294,296,295,296,296,294,294,293,293,294,292,294,295,292,294,295,295,295,295,293,294,294,295,296,295,294,294,296,295,297,295,295,296,296,298,300,300,299,299,300,300,298,296,298,298,301,302,301,299,299,298,299,298,297,296,296,298,298,298,296,297,297,299,299,297,298,298,297,296,297,296,296,298,289,284,285,284,285,285,286,285,284,285,285,285,283,284,284,287,284,282,283,286,286,288,293,293,294,293,296,297,297,296,298,297,298,298,300,298,298,298,298,300,292,282,272,272,273,272,273,272,273,272,273,272,271,271,274,270,265,263,265,265,266,268,265
,Biogas,205,203,203,203,203,203,203,203,204,204,203,204,204,204,204,204,204,204,204,203,203,204,204,203,203,203,203,203,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,203,203,203,203,202,202,201,202,201,201,201,201,201,201,203,201,201,202,202,202,203,202,202,201,201,201,202,201,201,201,202,201,201,200,200,200,200,202,202,201,200,202,201,199,198,197,197,197,197,197,198,197,197,197,197,197,197,198,196,197,196,196,197,197,198,198,198,197,197,198,197,197,198,197,198,196,196,196,196,196,195,196,196,194,194,193,193,194,193,193,194,194,196,196,196,196,196,197,196,196,197,196,197,197,196,197,197,197,197,197,197,196,197,197,197,197,196,197,197,197,197,196,196,197,196,197,196,197,196,196,196,197,196,196,196,195,193,193,193,194,194,195,195,197,200,203,202,203,203,203,202,203,203,204,204,205,204,204,204,204,204,204,204,204,204,204,205,205,204,205,205,204,204,204,204,205,204,205,203,203,203,203,204,203,203,203,202,202,202,203,203,203,203,203,203,202,202,203,202,202,202,202,202,203,202,202,203,202,202,201,201,202,202,202,202,202,202,202,202,202,202,202,202,202,203,202,202,202,202,202,202,202,202,202,202,202
,Small hydro,161,160,160,160,161,161,161,161,160,159,159,159,159,159,159,158,158,158,158,158,158,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,160,161,162,162,162,162,162,161,160,160,161,161,161,161,161,161,162,163,163,163,162,162,162,162,163,163,163,162,161,161,161,179,201,202,207,207,208,208,209,209,208,208,207,207,207,205,192,169,162,163,163,163,163,163,163,148,122,122,122,122,122,121,121,120,120,121,121,121,121,121,121,121,121,121,121,121,122,122,121,120,120,120,121,121,121,122,121,121,121,120,119,119,119,120,121,121,121,120,119,119,120,120,121,121,122,121,121,121,121,121,121,121,121,121,122,120,119,120,122,122,122,122,121,121,121,121,122,122,122,122,121,121,121,121,121,121,121,122,122,122,122,121,120,121,122,123,122,122,122,122,122,122,121,122,167,167,168,168,167,167,166,166,165,179,189,207,222,223,223,223,223,223,223,223,223,223,223,223,222,222,222,222,222,222,222,222,221,222,221,221,221,221,222,222,222,221,221,221,221,221,221,221,221,222,222,222,222,222,221,221,221,221,221,220,219,219,219,219,219,218,218,218,219,219,218,202,186,163,156,155,155,154,154,155,155,154,153,154,153,153,154,154,155,155,156,155,155,155
