Renewables 03/05/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-41,-41,-41,-41,-42,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-44,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-45,-46,-45,-45,-45,-45,-45,-45,-32,-39,-42,-44,-45,-46,-46,-45,-46,-46,-46,-44,-43,-43,-43,-43,-42,-41,-34,-24,8,62,150,269,471,674,948,1272,1616,2053,2578,3154,3751,4340,4866,5417,6014,6486,6258,6129,6258,6876,7520,7997,8798,9438,9630,9716,10052,9818,8239,7692,7616,7930,8485,8755,8706,8383,8281,7796,7617,7499,7425,7411,7347,7204,7072,7310,7562,7696,7747,7597,8292,8363,8742,7434,6803,6733,7188,7523,7645,7287,7341,7267,7388,7254,7282,7062,6984,7233,7232,7286,7197,6953,7031,6838,6941,6867,6771,6681,6669,6562,6721,6922,6826,6422,6382,6680,6704,6634,6581,6814,7134,6991,6957,6764,6891,6938,7087,7137,7203,7210,7386,7391,7185,7168,6974,6803,7085,7178,7172,7565,7609,7667,7297,6901,6841,6885,6605,6255,5979,5688,5389,4920,4475,4001,3561,3106,2746,2291,1925,1587,1280,983,724,489,312,201,131,72,16,-37,-47,-49,-46,-46,-45,-44,-3,5,5,5,5,18,64,93,93,93,94,96,96,96,96,96,97,97,97,97,97,121,129,129,129,129,129,129,129,128,117,114,114,113,114,113,91,72,71,67,71,61,20,-6,-7,-8,-7,-8,-8,-7,-7,-8,-10,-20,-32,-39,-43,-44,-44,-44,-44,-44,-44,-45,-45
,Wind,5152,5295,5511,5575,5586,5638,5653,5637,5575,5517,5431,5361,5297,5302,5344,5397,5401,5467,5555,5588,5564,5508,5466,5492,5504,5511,5490,5483,5450,5428,5410,5391,5404,5349,5294,5300,5297,5263,5268,5274,5292,5275,5249,5186,5163,5125,5103,5042,4951,4883,4751,4620,4655,4711,4720,4747,4779,4843,4847,4770,4640,4481,4414,4457,4549,4623,4647,4634,4526,4367,4162,4055,4119,4165,4135,4167,4180,4213,4204,4279,4353,4411,4472,4476,4448,4393,4361,4256,4169,4175,4214,4219,4194,4182,4197,4274,4349,4385,4419,4409,4426,4461,4560,4642,4659,4555,4606,4600,4564,4566,4579,4524,4479,4393,4350,4469,4477,4473,4538,4466,4465,4525,4541,4656,4722,4715,4637,4677,4840,4802,4646,4603,4598,4570,4577,4575,4597,4523,4419,4431,4480,4453,4366,4315,4259,4288,4501,4557,4553,4434,4325,4298,4301,4327,4292,4251,4174,4172,4147,4109,4093,4113,4125,4087,4046,3917,3851,3907,4043,4200,4241,4217,4311,4332,4276,4243,4168,4087,4128,4211,4145,4038,4106,4140,4202,4210,4240,4190,4190,4188,4203,4244,4281,4250,4271,4313,4332,4346,4350,4330,4288,4229,4164,4065,3934,3818,3707,3631,3525,3365,3330,3341,3372,3423,3541,3640,3764,3820,3959,4112,4203,4189,4137,4128,4124,4073,4054,3993,4009,4033,4080,4147,4233,4349,4399,4436,4444,4432,4435,4400,4369,4374,4407,4392,4434,4464,4464,4421,4350,4311,4241,4181,4181,4204,4281,4275,4250,4211,4215,4217,4147,4148,4154,4133,4182,4238,4228,4232,4272,4349,4367,4371,4342,4374,4350,4350,4365,4341,4298,4263,4253,4240,4243,4238,4207,4167,4124,4081
,Geothermal,788,774,771,770,771,770,772,771,773,773,773,772,773,773,775,773,772,771,771,771,771,770,770,770,770,771,771,772,771,771,771,770,771,770,770,771,771,770,770,771,771,770,771,771,770,772,772,772,771,771,771,771,771,772,770,771,770,769,770,770,770,771,770,769,770,769,770,770,770,770,769,770,769,770,770,769,769,770,769,769,770,769,769,769,770,770,770,771,771,770,770,770,770,770,770,770,771,772,771,771,770,771,770,771,771,771,768,770,771,770,773,772,770,771,771,771,771,771,771,770,769,770,770,769,770,768,768,768,769,768,768,768,767,769,768,768,767,768,768,768,767,767,767,767,766,767,767,767,767,767,767,768,767,767,766,767,766,767,767,766,767,767,766,767,766,766,767,767,767,767,767,767,767,765,766,766,766,766,766,767,766,767,767,767,766,766,766,766,766,765,767,766,766,765,766,765,765,765,765,764,760,764,763,763,762,764,763,763,763,763,763,762,762,761,762,763,761,762,762,762,762,761,762,762,762,762,762,761,761,762,761,762,761,761,760,767,775,784,785,787,788,788,787,790,788,791,789,789,790,790,788,788,790,790,789,789,789,790,789,789,790,789,789,790,790,790,790,790,792,793,793,793,794,793,793,794,794,794,795,794,794,795,794,797,795,795,798,796
,Biomass,252,251,252,253,254,254,253,252,252,251,251,251,254,252,251,252,252,251,250,251,251,251,252,252,252,250,251,252,253,253,253,252,255,254,255,255,254,254,256,257,257,255,256,256,257,258,257,257,258,259,259,260,259,259,259,260,260,261,261,260,260,260,260,260,261,260,259,260,261,261,261,261,262,263,261,263,262,264,264,263,261,261,263,263,263,263,265,265,264,265,262,262,262,263,263,263,264,264,263,264,264,264,265,263,263,264,266,264,264,266,266,264,263,263,263,263,263,264,264,263,261,260,261,263,264,261,263,264,264,264,264,263,265,264,264,263,261,264,263,262,263,263,262,266,265,263,264,264,264,264,262,262,259,257,257,261,261,263,263,264,264,262,262,263,261,263,264,265,263,266,265,265,264,260,260,263,264,264,265,265,265,264,263,264,265,263,263,264,265,266,266,266,265,266,266,265,265,266,265,264,264,264,264,264,264,265,266,265,264,278,285,286,285,285,283,283,283,282,282,284,283,284,282,281,277,278,282,282,282,282,284,282,283,282,283,282,282,283,282,283,284,284,284,283,282,281,280,283,283,283,283,283,283,284,282,283,282,283,283,283,283,282,283,281,281,282,282,282,281,283,283,284,287,286,286,286,287,285,284,283,282,282,284,284,285,285,284,284
,Biogas,197,195,194,194,194,194,194,194,194,194,193,194,193,193,194,194,194,194,194,194,194,194,194,195,195,195,194,194,194,194,195,194,194,194,194,194,194,194,193,193,193,197,198,200,201,202,202,202,202,202,202,203,203,203,202,203,204,204,204,204,204,204,204,203,204,204,204,204,204,204,204,204,203,204,207,204,204,205,205,204,204,204,204,204,203,203,203,204,202,202,202,203,202,202,202,203,202,202,202,202,202,202,202,202,202,203,203,202,202,202,202,203,201,202,202,202,202,201,201,201,202,202,202,202,202,202,202,202,202,202,202,202,201,202,201,201,202,201,201,201,200,201,200,201,201,201,201,200,201,201,201,201,201,202,202,202,202,202,202,202,202,202,202,202,202,203,202,202,202,202,202,202,202,202,202,202,202,203,202,202,203,205,205,205,204,203,203,203,203,202,202,203,204,203,204,204,204,204,204,204,204,205,205,205,204,205,205,205,207,207,207,208,207,208,207,208,207,207,207,207,207,207,207,207,207,207,207,207,207,207,208,207,207,208,207,208,207,207,208,207,209,207,208,208,208,209,208,208,208,208,208,208,208,207,207,207,207,208,207,207,207,207,207,207,207,206,206,206,206,206,206,206,206,206,206,206,206,206,207,207,207,206,206,206,206,206,207,206
,Small hydro,154,156,160,162,164,165,165,166,166,165,164,164,164,162,161,162,164,165,166,164,164,164,163,164,164,163,163,164,165,165,165,166,166,165,164,164,164,163,162,162,162,162,164,164,165,166,165,164,162,161,161,162,162,163,163,166,166,166,164,162,161,163,166,165,165,165,165,165,165,165,165,166,165,164,162,162,163,164,164,163,163,163,163,164,164,163,164,163,162,163,163,163,163,163,163,145,121,120,123,126,126,126,126,126,126,126,125,125,124,124,123,125,126,126,125,125,125,125,125,126,126,126,125,123,123,123,122,123,122,124,124,125,125,124,123,123,123,124,125,124,123,123,123,123,123,123,124,125,124,124,124,124,124,125,125,125,124,124,123,123,124,124,124,123,123,123,123,123,123,123,123,123,123,124,124,124,124,123,124,122,124,124,125,125,124,123,124,124,124,123,124,124,124,134,170,170,170,170,171,172,172,173,173,173,172,172,184,185,184,184,184,184,184,185,185,200,226,226,226,226,226,226,227,227,226,226,225,226,226,225,213,188,184,183,182,183,182,182,182,182,182,182,182,182,182,182,182,182,183,183,183,183,182,182,167,164,164,164,164,165,166,166,166,165,164,164,161,162,163,164,165,165,165,165,164,165,165,163,161,160,160,159,158,158,158,159,160,161
