Renewables 02/24/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/24/2022,-35,-37,-37,-37,-39,-39,-40,-39,-39,-40,-39,-40,-38,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-40,-40,-42,-41,-41,-41,-42,-43,-43,-42,-43,-43,-43,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-41,-37,-23,16,88,181,316,528,822,1189,1641,2178,2748,3310,3894,4495,5123,5793,6415,7013,7491,7924,8480,9142,9606,9919,10260,10580,10843,11045,11069,11198,11257,11172,11068,11544,11856,11911,11881,11847,11807,11789,11775,11691,11734,11760,11777,11926,12044,12120,12160,12175,12132,11820,11613,11555,11582,11583,11591,11739,11836,11799,11608,11558,11515,11604,11564,11521,11404,11415,11322,11300,11236,11175,11285,11172,11123,10885,10769,10700,10781,10749,10938,11060,10929,10953,10769,10564,10713,10602,10575,10440,10337,9941,9889,10248,10391,10148,9992,9914,9941,9856,9783,9766,9834,9742,9639,10012,9803,9368,9071,9001,8732,8566,8672,8624,8439,8222,7683,7191,6806,6510,6646,6821,6475,6079,5481,4938,4373,3771,3148,2540,1967,1484,1090,772,534,392,272,179,138,118,93,140,159,160,161,161,106,140,144,144,145,145,132,88,62,62,62,62,61,61,61,62,63,64,63,50,47,46,47,47,47,47,47,44,38,34,28,25,25,21,20,20,20,20,20,18,18,16,39,84,107,106,106,105,106,105,105,105,105,105,91,41,11,4,-3,-7,-15,-27,-28,-31,-32,-33
Wind,2/24/2022,1118,1128,1123,1093,1061,979,902,841,781,730,699,678,679,647,635,617,600,585,564,556,548,541,526,517,511,505,502,498,487,485,498,494,487,466,443,438,443,453,454,428,414,409,394,388,382,376,376,381,378,355,346,338,348,380,405,445,472,496,533,552,578,604,631,668,706,735,751,777,808,822,836,856,883,916,942,957,987,1037,1083,1089,1081,1093,1087,1085,1078,1062,1049,1038,1040,1036,1040,1048,1054,1057,1055,1059,1068,1118,1145,1204,1257,1290,1326,1358,1381,1387,1387,1392,1394,1418,1430,1429,1412,1411,1418,1431,1434,1429,1425,1425,1433,1458,1466,1465,1464,1465,1460,1462,1459,1454,1451,1456,1445,1441,1442,1444,1446,1444,1443,1445,1441,1437,1438,1439,1444,1452,1472,1489,1489,1493,1502,1512,1531,1542,1552,1573,1587,1593,1614,1639,1651,1677,1712,1760,1776,1786,1791,1791,1787,1790,1802,1821,1829,1800,1823,1856,1890,1926,1951,1959,1987,2007,2042,2081,2109,2109,2114,2144,2168,2199,2239,2285,2305,2299,2282,2248,2211,2160,2123,2085,2039,1985,1996,2008,1983,1888,1801,1737,1721,1717,1694,1680,1677,1719,1720,1721,1686,1649,1689,1759,1826,1796,1802,1793,1751,1707,1702,1687,1669,1664,1641,1656,1667,1675,1670,1616,1557,1533,1512,1518,1527,1511,1509,1491,1486,1493,1509,1522,1523,1505,1474,1452,1468,1462,1440,1415,1366,1317,1281,1247,1212,1196,1186,1186,1175,1186,1174,1185,1209,1208,1170,1124,1066,998,959,931,915,908,852,782,748,752,765,776,748,716,687,669
Geothermal,2/24/2022,890,888,885,884,884,884,885,887,887,886,888,887,886,884,880,882,883,883,883,883,882,882,881,881,881,881,881,881,881,881,880,880,880,879,879,881,882,887,886,887,888,887,888,887,889,887,887,887,887,887,887,886,886,887,889,890,891,891,890,891,891,897,895,897,896,895,895,894,895,895,896,896,896,896,898,898,898,898,899,899,898,898,898,899,898,898,898,899,900,901,900,901,900,901,901,902,900,901,902,901,902,902,902,901,902,900,901,901,899,900,899,899,895,895,895,894,892,894,897,896,897,897,896,895,895,895,896,898,899,896,895,894,895,895,895,890,875,859,853,854,853,852,852,852,853,851,850,851,854,855,854,853,855,854,855,855,855,854,852,854,854,854,854,854,855,855,856,856,856,853,846,847,842,831,822,828,845,876,889,896,896,896,895,894,895,895,894,894,893,893,894,894,893,893,894,893,893,893,893,892,892,892,892,891,891,890,899,910,922,927,931,934,935,934,934,934,934,933,934,933,934,933,933,933,933,933,933,932,931,930,930,930,930,930,930,932,932,932,931,931,932,932,932,932,932,932,932,933,932,932,933,933,932,932,932,932,932,932,931,932,930,930,931,930,929,928,929,929,928,928,928,928,928,928,928,928,927,928,928,928,929,928,928,928,928,929,929,928
Biomass,2/24/2022,308,307,306,306,307,307,306,306,307,307,306,303,297,300,303,302,306,305,307,307,306,307,309,304,305,306,308,307,305,304,306,305,304,305,305,305,307,307,307,307,309,309,308,308,308,307,308,307,306,307,307,308,309,309,307,308,307,308,308,307,306,307,309,310,310,308,308,309,308,307,304,306,307,308,306,306,302,303,305,306,305,306,303,304,304,305,304,299,300,301,299,299,299,298,298,298,297,303,305,304,305,303,302,299,301,301,301,301,301,301,301,299,299,299,315,315,314,313,313,312,315,316,317,319,319,317,315,318,318,319,317,319,320,319,317,319,319,318,314,313,313,314,314,315,313,313,314,313,315,318,318,318,318,315,312,313,309,310,310,312,314,312,311,312,312,315,317,318,319,319,318,320,319,319,317,317,317,318,318,318,319,318,318,317,316,314,316,316,315,313,312,315,316,319,320,323,322,326,328,329,329,329,330,331,332,333,334,332,332,334,335,336,336,336,334,336,336,336,334,336,334,337,339,336,338,339,336,335,336,335,335,337,335,336,336,335,330,323,316,317,318,319,319,317,319,317,318,317,315,316,317,316,317,317,317,315,313,310,307,308,308,308,307,307,307,307,306,306,305,309,308,307,306,307,305,304,303,304,305,303,301,300,301,303,303,304,304,302
Biogas,2/24/2022,211,213,215,215,215,215,216,216,216,216,216,216,216,216,216,216,215,216,216,216,215,215,215,215,216,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,214,214,215,215,214,214,215,215,214,214,214,214,214,214,214,214,214,214,213,214,213,213,214,214,213,214,213,214,209,209,209,209,209,210,210,209,209,209,208,207,206,205,205,205,205,205,203,201,202,201,200,202,200,202,204,204,204,205,205,206,206,206,206,206,205,204,204,203,204,204,203,203,203,205,203,203,204,204,198,190,193,197,198,195,197,198,199,199,199,199,200,201,201,201,201,189,177,174,173,173,173,176,178,178,179,184,184,184,186,189,193,193,195,195,196,198,199,200,201,201,202,201,201,201,200,202,203,203,204,206,207,208,208,209,208,209,208,208,206,205,205,205,205,205,205,205,206,208,208,209,208,209,209,210,211,214,216,217,218,217,217,216,217,217,217,217,217,217,217,217,216,217,216,217,217,217,218,217,218,217,217,217,217,218,217,216,215,215,215,216,216,215,215,215,216,218,218,218,219,218,220,218,218,218,219,218,219,219,218,217,217,218,217,217,216,217,216,215,215,214,215,215,214,214,214,214,215,214,214,215,215,215,215,215,215,215,215,215,215,215,215,216,215,215
Small hydro,2/24/2022,186,184,170,162,162,162,163,162,162,163,163,163,163,166,166,166,166,166,165,165,165,166,166,167,168,169,168,167,168,168,167,167,166,166,165,165,166,166,165,164,164,165,165,165,166,166,166,165,164,151,139,139,139,141,141,142,141,141,141,140,141,143,143,141,140,140,140,140,140,140,140,158,184,185,181,182,182,181,181,181,180,180,180,181,181,182,182,181,181,181,181,181,181,181,181,181,181,180,171,141,140,140,140,139,139,140,140,141,141,140,138,137,136,135,135,136,136,136,135,122,96,94,91,91,91,90,90,91,92,93,92,92,91,91,88,88,88,89,90,90,90,91,91,92,91,90,90,90,90,90,90,90,90,90,89,89,89,89,89,90,91,92,93,93,93,92,90,90,90,90,90,90,91,91,91,89,89,90,91,92,93,93,93,93,93,92,93,94,94,95,99,100,100,112,153,153,153,154,154,155,155,154,153,153,154,154,155,156,157,157,157,155,154,155,155,169,182,195,209,214,215,215,215,215,214,214,214,214,214,214,217,217,217,216,215,215,215,216,217,217,217,218,219,219,218,217,217,217,217,217,217,218,219,219,210,199,198,198,198,198,199,200,201,200,201,198,177,156,156,156,157,157,157,156,156,157,156,156,156,157,157,157,157,156,156,157,157,157
