Renewables 02/28/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/28/2022,-23,-25,-26,-28,-28,-28,-29,-28,-29,-30,-29,-30,-31,-33,-35,-38,-38,-38,-38,-38,-38,-38,-38,-39,-38,-39,-39,-39,-39,-39,-39,-39,-38,-39,-38,-38,-38,-39,-39,-39,-39,-40,-40,-40,-41,-41,-41,-41,-32,-12,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,9,44,47,47,46,46,46,46,46,46,46,46,46,46,48,52,62,86,129,215,353,592,970,1423,1889,2367,2949,3579,4204,4849,5454,6035,6531,7085,7194,7420,7818,9040,9797,10209,10510,10790,11131,11277,11346,11314,11181,11117,11080,11631,11932,11981,12001,12062,12071,12232,12229,12214,12117,12010,11790,11816,11681,11634,11686,11594,11528,11801,12024,11883,11534,11486,11424,11587,11461,11465,11467,11526,11398,11266,11251,11213,11228,11057,11289,11530,11583,11541,11605,11420,11185,11151,11174,11208,11508,11644,11431,11416,11381,11413,11302,11291,10932,10783,10820,10973,11047,10929,11215,11602,11758,11673,11573,11634,11668,11712,11770,11778,11826,11847,11844,11792,11689,11600,11394,11392,11273,11162,11015,10839,10600,10317,9773,8373,7696,7187,7152,7283,7075,6534,5934,5333,4722,4105,3454,2821,2232,1708,1245,895,627,430,313,221,146,107,87,99,85,85,81,79,78,115,122,122,124,124,126,118,115,115,115,115,114,114,114,114,116,116,116,116,116,116,115,115,115,115,115,115,114,114,113,113,115,115,115,115,115,114,115,115,115,115,115,93,44,41,34,29,26,23,22,20,20,19,17,14,13,8,1,-8,-12,-20,-23,-25,-25,-26
Wind,2/28/2022,1526,1535,1544,1542,1535,1527,1526,1520,1511,1513,1506,1504,1496,1468,1443,1438,1428,1414,1421,1436,1451,1469,1486,1503,1533,1556,1581,1596,1600,1599,1593,1608,1632,1657,1677,1687,1682,1674,1685,1701,1700,1713,1717,1719,1727,1719,1713,1709,1713,1722,1716,1704,1692,1660,1633,1625,1594,1572,1564,1566,1558,1549,1531,1516,1502,1511,1522,1530,1536,1552,1551,1549,1538,1540,1548,1556,1562,1586,1614,1625,1630,1645,1649,1652,1653,1662,1660,1651,1628,1626,1610,1598,1559,1512,1460,1436,1430,1403,1381,1392,1399,1404,1390,1370,1358,1320,1296,1291,1278,1280,1286,1288,1306,1301,1300,1306,1324,1347,1373,1377,1405,1421,1457,1479,1511,1518,1520,1526,1536,1531,1532,1541,1557,1569,1543,1567,1551,1549,1555,1562,1531,1495,1469,1439,1433,1404,1353,1320,1320,1318,1305,1267,1209,1186,1186,1149,1120,1111,1072,1046,985,942,912,908,893,883,842,821,806,790,771,753,738,723,702,699,709,715,712,700,694,697,694,715,673,641,623,611,608,603,615,614,638,641,654,651,647,655,674,679,669,681,702,720,772,784,786,750,733,720,685,667,646,657,674,692,727,765,800,820,853,877,879,879,905,971,1040,1115,1172,1254,1337,1434,1501,1587,1667,1766,1836,1857,1862,1861,1865,1860,1852,1854,1853,1864,1843,1866,1905,1936,1901,1854,1814,1769,1724,1705,1683,1637,1592,1547,1515,1490,1475,1466,1455,1460,1467,1445,1399,1351,1344,1360,1402,1445,1472,1485,1488,1506,1525,1529,1535,1538,1537,1541,1564,1596,1626,1631
Geothermal,2/28/2022,831,833,832,831,832,831,830,830,831,830,830,828,828,828,828,828,828,828,829,828,829,830,831,831,831,831,830,830,829,829,829,830,829,828,826,828,828,828,828,831,839,841,846,852,864,869,871,870,870,871,870,870,871,872,873,873,872,874,872,874,873,874,874,873,874,873,872,873,873,872,872,873,872,871,871,871,872,872,871,872,872,871,871,870,871,872,872,872,872,871,872,872,870,871,872,870,871,872,871,870,871,870,870,870,869,871,869,869,869,868,870,871,871,871,871,870,869,867,848,834,835,837,837,836,837,832,838,836,836,834,835,832,831,828,827,828,827,826,826,827,827,842,855,861,868,868,868,867,868,866,867,866,867,865,865,866,866,865,866,865,866,867,866,866,867,867,866,866,867,865,865,865,865,865,865,866,865,866,865,825,826,827,826,826,826,825,826,825,825,826,826,826,825,825,825,824,825,825,825,827,825,826,827,827,828,827,826,827,827,828,827,827,826,829,829,838,854,862,864,864,869,868,868,869,869,869,869,871,871,870,873,874,875,874,873,874,873,875,874,875,874,874,875,874,874,875,874,875,873,874,874,874,875,874,875,874,874,874,875,875,874,874,875,876,876,876,875,876,876,876,876,874,875,875,876,877,877,876,876,875,875,875,876,876,876,875,876,875
Biomass,2/28/2022,310,310,310,310,311,312,309,309,310,311,311,312,311,310,310,311,312,312,310,309,309,309,309,311,311,311,311,311,309,310,310,310,309,310,310,312,311,312,311,310,310,309,313,311,310,311,312,310,310,310,310,311,309,310,310,310,306,305,306,309,310,310,308,307,307,306,305,308,306,307,307,308,308,308,308,306,307,306,306,308,308,307,306,307,306,311,311,310,311,310,309,311,311,308,309,310,312,309,310,310,311,309,310,308,309,307,307,309,309,309,308,308,309,306,307,308,308,306,307,309,310,311,310,305,304,299,298,297,295,297,296,294,297,296,300,298,297,297,299,299,299,301,300,304,304,304,306,306,308,309,310,309,308,309,307,308,307,307,308,306,307,309,309,307,307,308,308,310,310,309,309,308,306,307,309,308,306,307,309,307,306,307,306,308,309,309,310,308,308,309,307,308,309,308,311,312,315,316,314,318,318,317,318,320,320,318,319,320,322,322,320,319,317,319,320,319,318,318,320,319,319,318,320,320,319,320,318,321,322,321,320,320,320,319,317,319,320,318,317,318,319,319,319,320,322,320,319,319,320,321,319,320,321,319,319,318,318,314,310,312,311,309,308,305,308,307,307,307,308,308,307,306,308,307,306,306,306,307,306,308,307,306,304,304,302,303,305,305
Biogas,2/28/2022,209,209,209,209,209,209,209,209,209,209,209,208,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,210,210,210,210,210,211,211,210,210,210,210,210,210,210,210,210,210,211,211,211,210,210,210,210,210,210,210,210,210,211,210,209,209,210,210,210,210,210,209,209,211,210,210,210,210,210,210,211,211,210,210,210,210,210,209,210,209,209,209,209,209,209,209,208,208,207,205,205,204,204,204,204,204,204,207,207,208,207,207,208,208,208,208,207,207,207,207,207,207,207,204,205,205,205,206,206,206,206,206,205,207,208,208,209,208,208,208,207,207,208,207,207,205,205,205,206,206,208,208,208,208,208,207,208,208,209,209,208,208,209,209,209,209,209,209,208,209,209,207,206,206,207,208,207,207,207,207,207,207,206,206,207,207,207,207,207,207,207,207,207,207,207,207,206,207,207,205,205,205,206,207,209,208,208,208,208,208,208,207,208,207,207,208,208,208,208,208,210,209,209,209,210,209,209,209,210,209,210,209,209,210,212,210,211,211,209,210,210,210,210,210,210,210,210,210,210,209,210,210,210,210,210,210,210,210,210,209,210,209,209,210,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,210,209
Small hydro,2/28/2022,153,152,153,152,151,151,151,151,151,151,151,151,152,153,154,154,154,154,153,153,153,154,155,155,155,155,155,155,154,153,153,153,154,154,155,156,156,155,155,155,155,155,155,155,154,155,155,155,155,155,154,153,153,154,155,154,155,155,155,155,155,156,158,158,158,158,158,157,157,158,158,180,202,201,208,207,207,207,206,206,206,206,206,205,205,205,198,169,162,162,161,161,161,162,162,163,163,163,163,163,163,163,162,163,164,164,163,148,121,115,108,108,109,109,109,109,109,108,108,108,110,110,109,109,109,109,109,109,110,109,110,109,108,109,109,109,109,110,109,109,109,109,109,109,110,109,108,106,106,107,107,108,108,109,116,117,117,116,116,116,116,116,114,112,112,116,116,110,109,109,109,107,106,106,106,107,107,107,107,107,107,110,116,115,113,112,109,110,109,110,109,111,113,127,157,163,162,160,158,158,158,159,159,187,201,209,217,219,219,219,219,218,219,218,218,218,218,218,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,218,217,217,217,217,217,218,218,218,217,218,218,218,218,218,218,218,218,217,217,218,218,218,219,218,218,217,217,199,184,153,153,152,153,153,153,153,155,155,156,151,149,148,147,147,147,148,148,148,147,147
