Renewables 02/17/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/17/2022,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-40,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-45,-46,-46,-46,-44,-43,-43,-43,-44,-43,-43,-44,-44,-45,-44,-44,-44,-43,-44,-44,-45,-44,-44,-43,-43,-43,-40,-29,-9,44,132,256,435,682,1010,1400,1887,2409,2962,3544,4172,4756,5380,6013,6647,7293,7852,8450,9025,9479,9909,10292,10646,10848,11025,11072,10867,10842,11010,11222,11222,11190,11003,10880,10827,11006,10994,10869,10789,10825,10774,10434,10435,10446,10363,10337,10360,10388,10240,10157,10048,10158,10112,10008,10045,10067,10058,10123,10162,10165,10234,10181,10023,9991,10107,10111,10180,10144,10016,10084,10124,10153,10152,10160,10173,10187,10155,10135,10126,10188,10211,10202,10082,10079,10007,9916,9833,9869,9822,9787,9789,9709,9605,9377,9257,9219,9160,9100,9082,9245,9224,9289,9231,9140,9112,9100,9123,9066,8952,8970,8954,8867,8538,8125,7749,7597,7190,6612,6012,5404,4773,4146,3530,2958,2333,1777,1273,936,646,458,253,140,83,41,58,42,17,97,140,142,142,142,142,143,143,142,142,142,142,141,141,141,141,141,141,141,142,142,142,142,125,70,52,52,52,52,52,52,52,52,52,51,64,109,127,127,127,127,127,127,127,127,127,126,115,64,39,37,35,27,15,2,-10,-22,-31,-36,-37,-37,-37,-37,-38,-37,-37,-38,-38,-38,-38,-39
Wind,2/17/2022,2596,2619,2623,2653,2681,2656,2661,2621,2579,2530,2477,2464,2508,2452,2417,2394,2357,2404,2470,2526,2483,2408,2400,2427,2477,2526,2578,2631,2647,2610,2586,2591,2638,2665,2679,2661,2619,2550,2563,2597,2637,2646,2649,2677,2683,2662,2642,2613,2643,2684,2652,2581,2487,2387,2320,2279,2275,2275,2286,2313,2331,2329,2282,2203,2138,2074,2065,2040,2006,2022,2021,2024,2083,2153,2207,2256,2292,2323,2359,2379,2352,2278,2217,2132,2045,2019,2009,2013,1938,1855,1799,1785,1805,1780,1715,1690,1656,1566,1524,1527,1580,1638,1703,1789,1819,1807,1807,1770,1719,1711,1741,1707,1659,1658,1648,1676,1668,1662,1685,1714,1746,1798,1810,1800,1762,1837,1824,1788,1826,2056,2088,2010,1911,1956,1846,1656,1625,1595,1449,1531,1461,1452,1484,1399,1354,1399,1450,1370,1335,1294,1287,1204,1178,1140,1106,1059,1057,941,939,905,885,798,875,886,879,787,803,821,821,727,691,706,719,694,648,676,633,606,593,572,525,522,504,515,531,517,489,487,512,497,485,465,462,453,424,383,353,332,330,323,318,320,299,285,275,281,286,285,280,269,255,264,296,299,291,289,299,297,283,270,261,265,272,275,277,282,292,302,320,348,375,387,388,388,413,439,458,483,511,550,609,653,673,723,760,786,817,864,902,947,966,972,1017,1099,1163,1233,1301,1308,1319,1330,1332,1330,1356,1384,1399,1404,1410,1423,1426,1418,1399,1400,1410,1409,1400,1393,1370,1416,1457,1461,1462,1482,1497,1497,1515,1525,1534,1523
Geothermal,2/17/2022,851,848,848,848,848,847,847,847,846,847,847,846,846,846,847,846,846,842,841,840,841,840,841,840,840,841,841,841,841,840,840,841,841,840,841,841,841,842,847,846,845,846,846,845,846,846,847,846,845,846,846,847,846,847,846,846,846,846,845,845,846,846,847,846,847,846,846,851,857,857,857,858,857,857,857,857,858,861,861,861,861,862,860,861,862,867,866,867,867,867,867,868,868,869,868,868,870,869,869,868,867,867,867,866,866,867,867,868,867,861,860,861,861,861,861,861,862,861,861,861,861,862,863,862,863,862,814,815,814,814,815,815,814,814,814,814,814,814,814,816,815,814,815,815,814,812,811,811,810,811,811,811,811,809,808,810,809,809,809,810,808,806,807,807,809,808,809,809,810,810,811,808,810,811,811,811,809,811,810,810,811,810,811,811,814,812,815,811,811,811,810,811,810,813,814,816,818,818,816,818,819,818,817,818,820,826,831,838,840,847,861,861,861,863,867,870,871,871,870,868,866,866,867,867,867,868,870,870,870,868,868,870,872,872,871,872,869,872,872,872,870,871,870,871,871,870,869,870,869,870,869,869,869,869,870,871,870,870,870,870,870,871,871,871,871,863,862,863,862,862,862,863,862,863,862,862,862,861,859,859,859,860,861,860,859,860,859,859
Biomass,2/17/2022,284,283,280,282,280,280,281,281,278,275,275,277,276,275,275,275,274,276,278,278,279,278,277,277,279,279,280,275,276,276,274,275,274,275,276,276,277,279,281,279,278,278,278,277,277,278,278,275,278,278,278,281,282,280,279,280,278,280,279,277,276,279,283,280,280,279,277,278,281,280,279,278,276,275,276,278,275,278,279,278,278,278,278,280,277,280,280,278,278,280,279,280,280,281,281,279,277,276,276,277,273,275,275,279,278,277,279,284,278,280,277,274,274,271,269,269,268,267,267,264,261,263,256,255,253,251,247,244,242,238,241,237,238,238,237,236,237,237,236,242,239,242,244,245,244,243,244,243,243,242,240,242,242,242,238,240,239,243,243,245,244,245,247,249,249,253,254,253,253,253,250,253,251,254,253,252,247,249,250,250,250,249,248,250,251,252,255,256,254,252,249,250,249,256,260,266,271,273,275,277,278,278,280,282,285,283,285,287,289,292,292,292,293,295,297,299,301,302,304,304,303,301,301,299,300,299,301,302,301,299,298,298,298,298,299,298,298,299,300,299,299,301,300,301,301,300,299,300,301,301,300,303,302,301,301,299,299,299,298,298,297,297,295,295,293,293,294,296,295,296,298,297,294,293,298,296,297,293,296,296,295,296,297,297,297,297,297,295
Biogas,2/17/2022,214,214,215,215,216,215,216,215,215,216,216,215,215,215,215,216,215,215,214,214,213,213,213,213,215,215,215,215,215,215,216,216,216,216,216,216,216,216,215,215,215,215,215,215,215,214,215,215,215,214,214,215,214,214,215,215,214,214,214,214,214,214,214,214,213,214,214,214,214,214,214,214,214,214,214,214,214,214,213,210,211,210,211,211,210,210,210,210,210,211,210,210,210,210,211,209,209,209,209,209,208,209,210,209,210,210,210,210,210,210,210,209,211,210,210,209,210,210,210,210,213,211,211,211,210,210,210,211,211,203,202,208,210,210,210,213,211,212,211,211,210,210,210,210,210,210,210,210,207,208,207,208,208,208,209,208,209,209,209,209,209,209,209,209,209,210,209,209,209,208,208,209,208,209,208,207,208,209,210,211,211,212,212,212,212,212,211,210,210,210,212,214,210,212,213,213,214,213,213,213,213,213,213,212,213,214,214,215,216,216,216,216,217,214,212,212,212,212,212,212,211,212,211,211,211,211,214,212,211,211,211,211,211,210,210,212,212,212,218,218,218,218,218,218,218,219,220,219,218,218,218,218,218,217,217,216,217,217,218,218,218,219,218,218,217,217,217,218,217,218,217,217,217,217,219,217,217,217,218,217,218,217,217,217,217,218,217,217
Small hydro,2/17/2022,174,171,168,168,167,167,167,167,167,167,166,166,166,166,166,166,166,166,167,167,167,167,167,167,167,167,166,166,166,166,167,167,168,167,168,168,169,168,168,168,168,169,170,169,170,169,168,168,167,169,170,170,170,172,172,172,172,173,172,172,172,172,172,171,171,172,172,171,171,171,171,202,212,212,223,235,235,235,235,235,235,235,235,235,235,235,223,191,190,190,190,190,191,191,191,191,192,189,185,180,171,171,169,160,159,158,157,139,117,117,117,117,116,118,118,118,117,117,117,118,118,118,117,117,117,117,117,117,116,118,117,117,117,116,116,116,116,116,116,116,112,108,107,108,108,107,108,107,107,107,106,107,106,106,106,106,106,106,107,107,107,107,109,109,109,109,109,109,110,109,109,109,109,109,108,108,109,109,109,109,109,109,110,110,110,110,109,110,110,111,111,111,111,128,158,158,158,158,157,156,156,156,155,169,200,214,225,224,224,224,224,226,226,226,226,226,226,228,227,226,226,226,226,228,229,228,228,227,226,226,225,226,226,226,226,226,227,227,226,228,229,230,230,229,229,228,227,229,230,230,230,229,227,227,227,227,228,229,229,230,229,229,229,228,228,228,218,193,188,188,187,187,187,186,187,188,188,188,184,167,166,165,165,164,164,165,165,166
