Renewables 03/31/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-44,-44,-43,-43,-43,-44,-44,-44,-44,-44,-44,-44,-44,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-32,-21,-17,-11,-5,0,8,25,73,145,270,431,640,922,1289,1726,2140,2635,3194,3664,4094,4386,4959,5437,6166,6987,7536,7721,8024,8517,8653,8390,8900,9190,8997,9258,9596,9750,9962,10434,10678,10782,11165,11418,11598,11798,11915,11781,11871,12084,12071,12215,12017,11725,12261,12401,12131,12207,12160,12215,12402,12574,12760,12801,12890,12884,12849,12870,12879,12750,12422,12748,12830,12817,12876,12864,12750,12501,12504,12539,12390,12547,12646,12700,12562,12273,12421,12622,12718,12767,12716,12686,12651,12733,12759,12827,12875,12627,12609,12648,12568,12658,12557,12627,12431,12699,12787,12726,12713,12830,12699,12450,12501,12480,12428,12544,12402,12515,12442,12440,12425,12210,12264,12020,11831,11965,11760,11561,10943,10661,10721,10539,10115,9777,9481,9168,8734,8397,8072,7592,6933,6282,5722,5332,4847,4293,3830,3370,2872,2404,1949,1462,1201,895,633,380,252,167,125,74,61,62,62,61,61,61,65,62,70,70,71,69,66,69,71,67,68,69,68,64,41,37,37,37,36,35,36,36,36,36,35,34,14,12,12,12,1,-23,-36,-33,-33,-34,-33,-33,-33,-33,-33,-33,-34,-33,-33,-33,-33,-33,-33
,Wind,3543,3534,3496,3474,3474,3471,3467,3430,3385,3369,3374,3333,3340,3393,3430,3539,3622,3667,3677,3681,3679,3706,3699,3707,3666,3614,3524,3482,3472,3460,3395,3335,3274,3226,3235,3249,3241,3248,3263,3270,3254,3256,3246,3287,3303,3322,3306,3297,3285,3264,3235,3266,3327,3367,3399,3392,3422,3451,3529,3542,3605,3607,3566,3560,3567,3561,3582,3588,3581,3608,3625,3632,3612,3646,3662,3674,3716,3716,3695,3616,3540,3511,3494,3470,3435,3427,3442,3452,3443,3453,3467,3481,3458,3456,3439,3416,3359,3349,3327,3332,3352,3361,3390,3385,3354,3306,3253,3245,3223,3147,3037,2908,2808,2695,2593,2523,2431,2353,2263,2241,2130,1988,1918,1894,1862,1832,1805,1782,1787,1768,1719,1693,1684,1741,1740,1701,1665,1628,1581,1513,1479,1461,1438,1412,1404,1370,1366,1365,1349,1355,1373,1412,1452,1521,1551,1572,1565,1545,1563,1602,1662,1726,1800,1837,1903,1976,2058,2115,2193,2222,2269,2309,2373,2408,2446,2512,2515,2547,2585,2630,2709,2752,2776,2837,2841,2854,2875,2900,2948,2955,2957,2982,3014,3053,3067,3109,3123,3161,3198,3262,3325,3345,3353,3412,3497,3557,3599,3591,3569,3564,3567,3578,3569,3633,3674,3711,3730,3763,3805,3817,3805,3780,3749,3714,3676,3692,3739,3775,3809,3835,3849,3855,3845,3840,3818,3809,3866,3901,3918,3875,3859,3877,3888,3911,3944,3946,3962,4024,4057,4107,4142,4130,4134,4169,4204,4204,4209,4235,4281,4287,4309,4250,4216,4148,4138,4131,4105,4058,4028,3998,3955,3914,3855,3776,3646,3523,3450,3395,3327,3258,3237,3185,3120,3078,3021,2949,2913,2910
,Geothermal,791,789,783,784,783,783,783,783,783,783,783,783,782,783,781,781,781,782,782,787,788,789,789,788,788,788,788,796,799,802,801,802,801,801,801,801,800,800,800,800,800,800,799,800,799,799,799,799,800,802,802,802,801,802,801,802,801,802,801,801,802,802,803,803,803,803,803,803,804,804,804,804,804,803,804,803,805,805,805,805,805,805,805,805,805,805,806,806,804,804,804,804,804,803,803,803,803,802,803,803,804,803,803,802,802,801,802,802,802,802,801,802,801,801,801,801,801,801,799,801,802,801,800,801,800,800,799,799,799,800,798,799,799,799,800,801,801,801,800,800,799,799,800,799,798,799,799,799,798,798,799,796,796,797,796,796,796,796,794,794,796,802,805,808,808,805,799,799,798,799,799,798,799,797,798,796,797,798,795,798,797,799,802,805,810,812,818,818,818,821,824,818,802,794,793,794,797,797,796,797,796,796,796,800,803,811,813,812,818,818,818,819,820,822,821,823,823,823,824,823,824,824,827,827,828,828,828,828,828,828,828,828,829,829,829,829,830,828,829,828,829,829,830,830,830,831,831,831,832,832,832,832,832,832,832,832,831,832,832,832,833,832,833,833,834,834,833,834,834,834,834,835,835,835,834,835,835,836,835,835,835,835,835,835,834,835,834,835
,Biomass,241,243,239,238,236,236,237,237,236,238,238,237,237,236,237,238,239,239,238,238,239,238,239,240,240,239,238,238,237,238,237,239,239,240,237,237,237,239,242,242,243,241,240,238,238,235,239,240,238,242,243,242,245,243,240,239,242,241,240,240,240,245,241,241,242,246,246,246,248,251,251,252,251,250,250,248,247,252,253,251,252,253,251,251,249,252,251,252,254,253,253,254,253,253,256,254,254,254,253,253,252,250,250,251,251,251,251,253,252,250,249,246,245,247,245,245,246,245,245,245,246,246,243,245,246,243,240,242,241,240,243,246,248,248,249,249,246,247,243,244,245,244,249,249,247,247,249,248,245,242,239,240,241,242,242,242,242,246,245,243,243,244,245,243,242,242,242,245,246,246,246,246,246,246,245,245,246,245,246,245,246,247,250,251,249,252,252,254,255,256,257,257,256,259,258,260,264,264,264,263,266,265,265,265,265,265,267,265,267,265,266,265,265,264,263,263,264,263,264,264,266,265,266,266,264,265,266,265,264,266,266,264,262,263,263,263,265,264,263,263,264,266,265,264,265,265,265,263,265,265,264,264,266,266,266,264,265,264,266,267,268,269,270,270,269,269,265,263,262,259,259,255,253,250,252,253,257,260,260,262,263,262,262,265,267,267,268,270
,Biogas,198,198,198,199,198,198,198,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,201,200,201,200,201,200,201,201,201,201,200,201,201,200,201,201,201,201,200,200,200,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,198,198,198,198,198,198,198,199,199,199,199,199,199,198,197,198,197,198,197,196,196,197,197,194,193,195,195,196,197,197,196,195,195,196,196,196,196,197,197,197,198,198,199,197,197,198,198,198,197,198,198,198,198,198,199,199,200,200,199,199,199,199,201,200,199,199,200,199,200,195,193,195,196,196,195,195,196,196,196,195,195,197,197,198,198,198,198,197,198,195,191,192,192,191,191,192,191,192,191,191,191,192,192,194,192,192,192,193,192,192,192,192,198,199,201,202,202,202,202,203,202,203,202,202,204,203,203,204,203,204,203,203,203,203,203,203,203,203,202,202,203,203,203,203,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,203,204,203,204,204,203,203,203,203,203,202,202,202,202,202,202,202,203,202,202,202,202,202,202,202,202,202,203,202,202,201,202,201,201,202,201,202,201,202,202
,Small hydro,175,173,181,181,181,181,180,179,179,179,178,177,179,180,180,181,181,181,181,180,179,179,179,179,180,181,182,182,182,181,181,182,182,182,183,182,182,183,184,183,183,182,181,181,181,182,183,183,183,183,192,192,193,192,193,193,194,194,195,193,194,197,201,201,201,201,201,201,201,202,202,225,243,244,243,243,243,243,243,243,243,244,244,243,244,243,244,244,245,244,243,243,244,243,243,243,242,254,262,232,231,232,232,232,232,231,230,230,230,226,220,214,213,212,212,213,213,213,213,213,213,214,216,216,217,216,217,216,215,216,215,215,215,216,216,217,217,217,217,216,217,216,216,216,216,216,216,217,218,217,218,217,217,216,216,216,216,215,213,213,215,215,215,213,213,213,214,213,213,213,213,214,214,214,215,215,216,216,215,214,214,206,186,186,186,186,186,187,187,186,187,187,187,188,188,190,189,189,188,187,189,191,191,190,190,203,207,209,209,208,208,207,208,208,208,233,249,250,253,256,256,256,255,254,254,255,255,255,254,254,255,255,256,257,256,256,254,253,253,254,254,253,254,255,254,254,254,254,253,253,254,255,255,251,248,250,250,249,249,248,249,248,248,249,249,245,230,199,198,199,198,199,199,198,199,199,199,185,178,179,178,178,178,178,178,178,178,177
