Renewables 02/23/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/23/2022,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-40,-36,-21,9,51,113,215,396,638,826,1270,1707,2160,2576,2793,3205,3625,3738,3903,4217,4671,5278,5992,6464,6729,7212,7731,8091,8351,8306,8323,8151,8153,8193,8265,8769,9032,9024,9244,9568,9746,9799,9680,9650,9975,10024,10212,10200,9950,9723,9283,9049,8976,9065,9167,9325,9212,9016,9043,9177,9292,9130,9127,9307,9339,9533,9480,9435,9386,9550,9644,9725,9724,9660,9798,10212,10286,10097,9810,9613,9654,9502,9424,9352,9334,9699,9713,9631,9510,9737,9966,9753,9802,9822,9912,9731,9655,9501,9495,9663,9684,9546,9360,9254,9240,9121,8935,9130,9292,8990,8754,8501,8549,8420,8453,8579,8412,7625,7144,7190,6700,6252,5675,5138,4687,4079,3634,3203,2690,2156,1678,1236,886,620,412,233,109,54,36,29,27,47,55,57,58,58,56,101,105,105,106,105,107,101,98,98,98,97,99,99,99,100,101,102,100,90,87,88,88,86,88,87,87,87,86,85,86,86,67,13,13,13,13,13,13,36,84,96,51,70,13,13,11,11,11,11,9,8,5,1,-1,-8,-11,-19,-28,-32,-33,-35,-35,-34,-34,-35
Wind,2/23/2022,2980,2984,2980,2957,2940,2936,2915,2903,2858,2880,2869,2841,2844,2833,2840,2844,2841,2862,2930,2955,2928,2893,2865,2848,2811,2790,2803,2823,2871,2951,3051,3154,3238,3253,3206,3190,3171,3069,2960,2860,2788,2705,2627,2590,2540,2518,2540,2513,2512,2528,2535,2529,2492,2467,2480,2538,2576,2611,2649,2642,2637,2653,2629,2653,2695,2712,2697,2663,2616,2560,2487,2443,2452,2512,2555,2556,2584,2617,2696,2807,2903,3031,3146,3240,3281,3377,3422,3407,3406,3422,3458,3514,3563,3571,3547,3535,3575,3623,3683,3759,3882,3991,3991,4032,4111,4183,4195,4159,4141,4164,4175,4236,4263,4254,4249,4254,4260,4230,4180,4155,4178,4213,4286,4291,4323,4390,4393,4407,4428,4344,4219,4160,4100,4047,3996,3932,3824,3784,3667,3663,3615,3601,3583,3601,3608,3685,3758,3771,3802,3798,3751,3791,3875,3979,4083,4130,4117,4140,4216,4323,4435,4488,4542,4566,4598,4523,4626,4557,4524,4511,4519,4521,4390,4340,4305,4262,4236,4257,4323,4323,4317,4305,4324,4378,4354,4321,4328,4398,4394,4369,4393,4416,4412,4437,4443,4426,4402,4324,4263,4283,4273,4304,4268,4242,4235,4202,4138,4078,4068,4023,3982,3974,3959,3935,3897,3870,3909,3888,3923,3970,3964,3950,3908,3874,3820,3798,3786,3787,3749,3658,3649,3637,3632,3565,3465,3457,3405,3342,3348,3337,3292,3216,3164,3134,3106,3081,3031,3004,2945,2876,2788,2721,2639,2533,2396,2252,2098,1955,1812,1697,1642,1626,1601,1561,1537,1539,1521,1505,1505,1498,1458,1398,1344,1272,1216,1149,1113,1132,1173,1178,1156,1124,1076,1056,1047,1053,1070,1092
Geothermal,2/23/2022,892,887,886,885,886,885,886,885,885,885,885,885,886,885,883,883,881,881,880,881,880,881,880,879,879,879,879,879,878,878,880,879,879,880,880,880,880,884,884,883,883,884,884,885,885,884,885,885,885,885,885,884,885,885,886,886,886,886,885,886,887,890,890,890,890,890,890,892,892,890,890,890,890,892,892,891,891,892,891,890,889,895,895,896,895,898,901,901,901,902,903,903,903,904,905,905,905,905,905,906,905,905,902,904,905,903,904,904,906,904,899,899,898,898,898,897,897,898,898,898,898,900,901,900,901,896,890,892,898,898,898,897,897,898,897,895,891,888,887,886,884,882,884,885,885,885,881,883,885,890,893,893,893,894,895,894,894,892,892,891,891,891,892,891,891,891,892,891,891,894,893,893,893,893,893,892,891,892,892,892,891,889,889,889,888,890,890,889,890,889,889,889,889,894,895,895,898,898,900,901,903,903,902,903,903,903,904,904,904,903,904,903,903,903,903,903,902,901,901,901,901,901,900,899,900,900,898,899,899,899,899,899,899,899,900,899,900,900,900,900,900,901,900,899,899,898,898,897,897,896,896,897,897,897,897,898,897,898,897,898,897,898,898,898,898,898,896,893,892,892,892,892,891,892,892,892,893,892,892,893,892,892,891,890,889,889,889,890
Biomass,2/23/2022,305,306,307,305,305,305,309,309,309,308,306,306,305,307,308,310,310,309,307,306,304,306,308,308,307,310,311,309,308,309,306,303,306,309,308,307,305,309,309,310,310,310,310,311,310,310,309,308,307,310,309,310,311,309,309,310,310,308,305,308,307,309,309,310,308,309,310,311,309,309,307,305,303,303,305,306,307,309,309,309,307,305,300,299,297,298,297,292,292,292,290,290,291,294,293,291,289,290,287,289,290,290,288,286,287,287,285,290,292,293,290,290,288,290,290,294,294,295,295,295,292,294,291,293,294,299,303,303,304,301,299,297,298,298,298,294,299,297,297,299,301,300,300,300,301,299,297,296,297,295,294,291,292,295,299,302,300,312,318,318,316,317,318,318,316,315,316,316,314,319,317,316,317,318,320,316,311,302,305,304,304,304,304,303,301,302,304,307,306,307,307,308,306,309,309,314,316,316,319,318,318,318,317,318,318,317,318,316,318,317,316,316,317,316,316,316,316,315,315,315,316,314,317,317,318,318,318,317,318,319,321,321,320,319,315,306,308,307,308,308,307,306,306,307,306,306,306,306,307,305,306,305,305,304,303,303,301,300,296,299,296,295,296,294,293,291,294,293,293,292,293,297,299,301,301,307,309,309,308,308,306,308,310,309,309,309,309,311
Biogas,2/23/2022,207,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,207,206,207,206,206,206,207,206,206,206,206,206,206,206,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,206,206,206,206,206,206,206,207,207,207,206,206,207,206,206,205,206,206,205,206,206,206,205,205,205,206,205,205,205,206,204,205,205,204,204,203,203,203,203,203,202,202,203,202,201,201,201,201,200,202,201,201,200,201,201,201,201,201,202,201,202,201,202,202,200,200,200,201,201,201,201,200,201,201,201,201,200,199,199,199,199,199,199,201,198,199,198,199,201,202,202,202,201,202,202,202,202,201,200,201,203,203,202,203,203,203,203,203,203,203,204,203,202,202,201,202,203,202,202,202,203,203,203,202,204,202,202,203,203,203,202,203,203,203,202,202,204,203,203,204,203,204,205,205,205,206,205,205,206,207,207,206,206,206,206,206,206,205,206,206,206,206,207,206,206,206,206,206,205,206,206,205,205,207,207,206,206,206,206,206,208,206,206,208,210,210,212,211,210,212,211,211,211,210,210,210,211,210,211,210,210,210,210,212,210,211,210,209,209,209,208,209,209,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,209,208,208,209,209,208,209,209,208,208,208,210
Small hydro,2/23/2022,165,165,166,164,163,163,162,163,164,165,166,166,165,165,165,166,167,167,167,166,166,169,169,168,169,168,169,169,170,172,172,171,172,172,172,171,171,172,173,172,171,170,167,168,168,169,169,169,169,170,171,171,171,172,172,172,172,172,172,172,171,172,172,172,171,172,172,172,173,173,173,190,213,213,214,214,214,214,214,214,213,213,213,213,213,214,203,185,173,173,173,174,175,174,174,173,173,173,173,172,171,171,171,171,171,171,170,170,170,167,163,162,163,164,164,163,163,163,162,146,121,120,121,121,121,121,121,121,120,120,120,120,120,120,121,121,120,120,120,120,120,120,119,120,121,121,121,121,121,121,120,118,117,117,117,117,116,117,117,119,120,120,120,121,121,121,120,120,119,120,120,120,120,121,121,120,119,119,119,120,121,120,120,119,120,120,120,120,120,120,120,119,119,129,170,171,171,172,172,172,172,173,172,187,212,214,230,231,230,231,230,230,230,230,230,230,230,231,230,230,229,229,229,229,230,230,232,232,232,232,232,231,230,230,230,231,231,231,231,229,229,229,230,231,231,231,231,231,231,231,231,230,230,229,226,226,227,226,226,227,226,224,220,209,209,210,211,188,180,180,180,180,180,179,180,182,184,185,185,186,185,186,187,186,185,185,184,185
