Renewables 03/07/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-40,-40,-41,-41,-41,-41,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-44,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-42,-21,19,62,122,220,364,548,845,1186,1611,2090,2647,3197,3734,4341,4977,5614,6238,6836,7439,8008,8546,8865,8638,9097,10123,10741,11026,11353,11656,11948,12071,12199,12300,12359,12490,12613,12621,12528,12485,12389,12454,12493,12602,12691,12642,12493,12424,12262,12023,12087,12035,11833,11567,11234,11036,10937,10844,10662,10647,10626,10733,10826,10919,10969,10723,10518,10694,10543,10476,10586,10630,10846,11004,10837,10741,10649,10332,10409,10587,10761,10762,10563,10556,10561,10587,10549,10574,10567,10544,10514,10400,10373,10337,10111,9981,10141,10383,10370,10237,10236,10155,10101,10093,9790,9813,9667,9684,9676,9734,9523,9597,9323,9236,9218,9313,9535,9518,9203,8880,8536,7842,7311,7050,7059,7496,7957,7667,7128,6560,5931,5180,4437,3702,3011,2463,1930,1473,1114,817,596,434,310,222,181,119,116,119,121,122,66,40,45,45,46,46,42,14,11,11,11,10,10,10,8,6,7,7,8,8,7,7,7,7,7,7,7,7,6,5,4,8,6,6,3,-2,-6,-7,-11,-15,-18,-22,-32,-35,-37,-36,-37,-37,-37,-39,-39,-39,-39,-40,-40,-40,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40
,Wind,2637,2562,2484,2453,2423,2383,2331,2299,2275,2271,2245,2277,2294,2296,2284,2247,2169,2149,2117,2077,2019,1961,1903,1865,1853,1818,1773,1743,1727,1745,1777,1819,1815,1787,1773,1762,1765,1779,1792,1773,1748,1733,1701,1653,1617,1588,1550,1488,1425,1415,1386,1350,1361,1411,1426,1449,1508,1549,1552,1565,1595,1622,1645,1687,1726,1799,1871,1904,1939,1981,2002,2007,2000,1958,1945,1916,1883,1886,1903,1930,1959,1982,1990,1991,1970,1896,1850,1859,1851,1860,1883,1910,1966,2030,2078,2079,2070,2040,2055,2045,2062,2071,2081,2108,2141,2183,2230,2262,2308,2379,2432,2444,2434,2460,2466,2498,2529,2574,2604,2617,2612,2620,2647,2701,2749,2794,2843,2822,2805,2777,2783,2738,2685,2660,2643,2544,2539,2491,2503,2431,2373,2313,2188,2169,2176,2198,2225,2228,2210,2232,2247,2230,2177,2178,2221,2202,2164,2131,2128,2081,2077,1988,1830,1842,1834,1858,1828,1846,1889,1924,1899,1932,1919,1807,1831,1843,1868,1851,1813,1842,1826,1853,1951,1972,1989,1923,1936,1945,1974,2032,1981,1943,1883,1865,1854,1823,1821,1762,1698,1674,1650,1599,1557,1534,1560,1597,1574,1563,1566,1620,1628,1676,1739,1764,1746,1680,1592,1565,1508,1450,1430,1434,1415,1363,1338,1343,1326,1280,1234,1179,1139,1094,1071,1048,1033,1046,1050,1050,1028,1008,1008,1001,984,964,925,921,936,926,907,913,942,944,959,985,984,998,1027,1054,1080,1063,1048,1036,1039,1043,1030,1018,1006,992,988,987,977,971,986,1006,1001,971,940,930,955,980,981,986,1012,1043,1049,1043,1051,1084
,Geothermal,816,815,814,815,815,816,815,815,816,816,816,815,815,815,815,815,814,814,815,815,815,815,815,814,814,815,814,815,815,815,815,814,813,814,813,813,818,819,821,821,819,821,824,824,826,825,825,828,828,830,830,830,829,835,836,840,840,844,843,836,822,827,835,840,850,847,844,849,849,849,848,849,849,848,849,849,851,850,853,852,854,854,859,856,859,858,858,863,865,864,865,865,867,865,865,862,857,858,858,858,858,858,857,855,856,863,865,864,865,865,865,857,861,860,861,860,859,858,860,861,861,861,861,860,860,861,861,861,863,862,863,861,862,863,863,862,864,861,861,861,862,862,861,858,862,862,861,862,861,859,862,861,860,859,860,861,859,859,859,858,860,860,860,859,860,859,858,857,858,860,860,859,857,858,857,858,857,858,857,858,855,856,855,856,857,856,857,858,856,854,854,856,856,857,857,856,855,855,856,856,856,855,856,855,858,857,859,859,859,859,859,859,858,860,860,859,859,860,860,861,860,860,860,861,861,861,862,861,861,861,861,861,861,861,861,861,860,860,862,861,862,862,861,861,862,861,861,861,861,860,860,860,860,859,861,859,858,859,859,859,859,859,860,860,861,859,861,862,861,862,863,863,863,864,864,862,862,862,863,863,863,863,861,862,863,862,862,862
,Biomass,269,269,271,271,271,268,268,267,268,268,269,270,268,270,269,269,271,270,272,273,273,273,273,272,272,273,271,271,273,272,271,271,273,273,271,271,270,267,268,268,269,268,269,269,267,267,267,266,264,264,262,262,264,263,261,261,260,262,262,265,262,260,262,263,262,262,264,263,263,262,262,262,258,260,259,258,259,258,257,257,256,258,259,257,254,257,258,257,259,258,255,255,256,258,259,260,260,261,263,263,260,262,260,258,258,257,257,257,258,259,259,257,255,257,256,254,256,256,256,257,258,259,256,256,257,258,257,257,257,259,259,261,261,262,263,263,262,262,260,260,261,260,260,261,260,260,261,258,260,262,260,259,260,259,258,258,258,258,259,258,257,257,257,256,256,259,259,260,259,258,258,257,256,257,257,256,257,256,255,254,255,257,257,258,258,258,257,260,260,261,261,262,261,264,262,264,264,263,263,264,264,264,264,264,265,263,263,263,262,261,262,265,262,261,262,262,260,259,260,260,260,260,259,260,259,260,260,261,259,260,259,259,259,259,258,260,261,262,263,264,264,262,263,264,264,263,264,262,262,263,263,264,265,267,264,264,265,263,264,267,266,263,262,263,262,262,264,263,262,262,263,261,260,262,261,262,260,261,261,260,260,261,261,262,261,262,262,261
,Biogas,203,203,203,203,203,203,203,203,203,202,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,203,204,204,203,203,203,203,203,203,204,204,204,204,204,203,203,203,203,203,203,204,203,203,203,203,202,203,203,203,203,203,203,203,203,203,203,203,203,203,203,201,201,202,202,202,202,203,202,203,202,203,202,203,203,203,204,203,203,202,202,200,201,203,202,202,202,202,202,201,199,199,199,199,199,199,199,199,199,200,199,200,199,199,199,199,199,199,202,202,202,203,203,203,203,202,203,202,203,203,202,202,203,203,203,204,203,203,204,203,203,203,204,203,205,204,204,203,203,203,204,203,204,203,204,204,204,204,204,206,204,205,204,205,204,205,204,205,205,205,205,205,205,204,205,205,205,205,205,205,205,205,205,204,204,204,204,204,205,205,205,205,205,206,205,205,205,205,205,205,205,205,205,205,205,205,205,205,206,205,205,205,205,205,206,206,205,206,205,205,206,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,205,205,205,204,204,205,205,205,205,205,205,205,204,204,204,204,204,205,204,204,204,204,204,204,204,204,204,204,205,204,204,204,204,204,204,204
,Small hydro,163,166,167,166,165,164,163,163,164,165,166,167,167,163,159,159,159,160,159,159,160,159,159,159,160,162,162,161,160,160,159,160,160,160,160,161,162,161,161,162,162,163,162,162,163,163,162,162,162,166,168,168,168,168,167,166,166,166,166,185,209,209,210,211,210,210,210,210,210,210,210,209,210,212,215,215,216,217,217,216,216,215,216,216,215,214,201,170,170,170,170,169,169,169,169,169,170,168,165,165,165,165,165,165,165,164,165,149,124,124,124,125,124,124,125,125,125,125,126,127,127,126,125,124,124,124,124,125,125,125,125,126,127,127,126,126,125,124,124,124,124,123,123,123,123,123,123,124,125,125,126,126,126,125,124,125,124,124,124,124,123,123,123,123,123,125,126,126,125,125,123,124,124,124,125,125,125,124,124,124,125,126,127,127,127,126,126,126,127,127,127,127,127,135,162,172,172,173,172,171,171,171,171,202,211,210,223,226,227,227,226,226,226,226,226,226,226,225,224,224,225,226,226,227,226,226,226,227,227,227,227,227,227,227,227,225,224,225,225,225,226,225,225,225,225,226,225,225,224,223,222,222,222,208,195,172,166,166,165,165,164,164,163,163,164,164,164,164,164,163,163,164,165,165,165,166,165,163,160,159,160,160,160,160,160,160,160,161
