Renewables 03/18/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,41,21,11,11,11,11,11,11,11,11,11,11,11,-1,-9,-8,-8,-8,-8,-8,-8,-8,-9,-8,-8,-9,-8,-8,-8,-9,-8,-9,-9,-9,-9,-8,-9,-9,-9,-9,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-12,-12,-12,-12,-12,-4,4,8,15,17,23,27,30,32,45,67,138,214,335,503,754,1070,1475,1930,2452,3006,3597,4212,4851,5539,6244,6860,7419,7956,8519,9000,9421,9786,10060,10398,10761,11355,11680,11839,12002,12134,12325,12308,12268,12328,12396,12537,12412,12511,12508,12599,12553,12436,12569,12533,12446,12481,12580,12548,12468,12390,12449,12496,12574,12525,12564,12691,12544,12551,12406,12417,12366,12375,12486,12528,12657,12667,12676,12685,12740,12734,12625,12553,12484,12375,12242,12196,12219,12439,12219,12262,12334,12528,12389,12643,12538,12590,12488,12478,12663,12696,12637,12532,12441,12226,12411,12596,12532,12357,12515,12406,12282,12287,12529,12543,12479,12361,12313,12264,12040,11703,11498,11513,11379,11337,11232,11155,11108,11024,10952,10724,10503,10357,10045,9744,9492,9119,8633,8046,7456,6825,6174,5533,4917,4228,3559,2931,2353,1841,1432,1133,838,605,464,289,207,149,117,102,88,76,65,63,64,65,69,64,62,65,64,62,60,61,62,61,62,62,65,61,62,12,-10,-11,-13,-9,-12,-10,-10,-11,-11,-11,-13,-17,-25,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-25,-25,-23,-25,-24,-25,-25,-24,-24,-24,-24
,Wind,3485,3438,3383,3387,3432,3463,3431,3430,3508,3540,3564,3561,3538,3569,3571,3588,3589,3583,3558,3540,3495,3466,3461,3453,3457,3441,3438,3432,3461,3481,3481,3485,3494,3480,3486,3483,3521,3531,3487,3446,3453,3496,3506,3494,3470,3490,3495,3499,3536,3564,3546,3501,3454,3420,3412,3393,3343,3321,3235,3121,3038,2928,2834,2752,2688,2654,2578,2477,2363,2274,2206,2162,2142,2074,2009,1937,1844,1742,1659,1577,1492,1403,1336,1288,1271,1268,1269,1273,1244,1233,1241,1222,1207,1220,1199,1149,1092,1024,942,856,791,722,653,593,549,524,485,458,424,385,351,329,309,304,295,286,282,281,270,262,258,263,271,279,288,295,314,327,335,341,355,369,385,394,406,430,437,446,462,469,496,498,503,510,512,524,531,555,569,575,563,553,550,550,560,558,573,607,616,619,630,632,651,643,652,682,686,656,676,693,696,708,750,768,776,767,802,869,886,902,907,902,906,905,901,903,922,912,905,899,887,901,907,891,851,794,767,775,795,794,775,753,757,759,748,708,639,593,554,517,490,475,450,419,399,386,374,351,330,318,323,331,344,360,359,342,310,291,298,297,299,290,268,270,302,313,334,404,496,560,607,647,652,639,616,625,632,627,659,670,743,795,871,934,1017,1056,1087,1114,1131,1137,1142,1139,1141,1153,1169,1171,1148,1145,1134,1114,1103,1115,1099,1046,1010,1002,992,993,972,959,957,970,1002,1023,1038,1057,1051,1040
,Geothermal,903,903,903,903,901,902,902,902,901,902,902,901,902,903,901,901,902,902,902,902,902,902,902,902,902,903,902,902,902,902,903,901,902,902,902,903,902,902,902,902,902,903,902,902,902,901,901,900,902,902,901,901,901,902,902,902,901,902,901,902,901,901,902,901,901,902,901,901,902,901,902,902,903,902,902,903,903,902,901,902,901,902,903,903,902,902,902,902,903,904,905,905,904,905,904,905,904,904,903,903,903,903,903,903,902,902,902,900,900,901,900,900,900,900,898,899,899,898,898,897,897,897,896,897,897,896,896,895,895,895,895,895,895,895,894,895,894,893,894,894,893,893,893,894,893,892,892,892,891,892,891,891,890,890,888,889,890,890,890,889,888,888,888,888,888,887,888,887,887,888,888,889,891,892,893,894,895,894,893,892,892,889,890,891,892,891,892,892,894,894,895,896,897,897,897,897,897,897,897,897,896,897,897,897,897,897,897,896,897,897,896,897,897,897,896,897,897,897,897,898,899,897,898,899,899,898,900,900,900,900,900,900,900,900,900,900,900,901,901,901,901,901,900,898,897,896,897,893,895,895,894,893,892,892,893,890,889,889,891,891,891,892,892,893,894,894,893,892,892,892,891,892,892,893,892,892,892,891,891,892,892,891,892,892,892,891,892,893
,Biomass,286,287,287,287,285,285,287,287,284,286,286,286,285,285,286,287,285,286,287,288,286,287,289,286,286,287,286,286,286,286,284,286,285,284,283,283,285,286,286,287,289,289,287,286,285,286,282,284,288,288,288,289,286,287,287,288,289,291,291,293,293,291,287,288,288,288,288,287,287,289,287,289,288,286,284,285,286,288,288,287,286,286,288,286,283,286,289,288,289,288,288,287,288,286,286,284,283,285,285,287,288,287,287,290,289,287,284,284,286,286,286,282,282,278,279,285,283,280,278,278,277,277,278,271,266,269,272,276,276,276,274,277,279,278,275,276,281,279,277,277,280,280,278,278,275,276,277,278,277,277,274,277,275,277,278,277,277,279,277,277,276,275,273,274,275,277,278,277,276,274,277,273,273,277,278,276,278,278,280,280,281,281,280,281,281,280,271,271,272,275,273,277,278,283,284,289,288,290,293,296,298,296,298,299,298,300,300,302,302,302,303,302,302,304,302,300,300,298,298,301,301,300,299,297,299,299,298,297,298,300,299,300,300,302,303,302,304,303,303,303,303,305,305,304,305,303,302,302,301,301,302,301,301,299,300,298,298,296,294,294,291,290,289,287,288,287,288,289,289,290,290,287,285,285,283,282,284,282,285,285,287,287,289,291,287,290,288,292
,Biogas,195,194,194,194,194,194,196,194,195,194,194,194,194,193,192,192,193,193,194,193,194,193,193,193,194,194,194,194,194,194,194,194,194,194,194,194,194,193,194,194,194,194,194,194,194,194,193,193,194,195,195,194,194,194,194,194,194,194,194,194,194,193,193,193,194,193,193,193,194,195,195,192,190,192,192,191,191,191,191,192,195,194,194,193,193,193,196,195,194,194,194,193,193,193,193,192,192,192,193,194,192,193,192,193,193,193,193,194,194,193,193,192,193,193,193,193,192,193,194,193,193,193,193,193,192,193,193,192,192,192,192,191,192,191,191,191,191,191,191,191,191,191,191,191,192,195,198,198,199,198,198,199,199,199,198,197,196,197,197,198,198,198,199,198,199,201,202,199,200,199,199,199,199,198,198,198,198,199,199,199,201,200,200,199,199,200,202,200,201,201,201,200,200,200,200,200,199,200,200,200,200,200,199,200,200,199,200,199,200,199,200,199,199,199,199,199,201,199,199,200,199,199,199,199,199,199,199,199,199,200,199,200,200,200,199,199,199,199,199,200,200,200,199,199,200,200,199,199,199,199,199,198,198,199,198,200,199,198,199,198,198,198,198,198,198,198,197,197,197,197,197,196,196,197,197,196,196,196,197,197,197,197,197,197,197,197,197,197
,Small hydro,160,142,139,139,139,140,141,142,141,140,140,140,140,144,144,143,143,142,141,142,141,142,142,141,142,143,143,143,143,143,142,142,141,141,142,142,142,144,144,143,143,143,143,142,141,141,140,141,141,142,143,143,143,142,142,142,143,144,144,144,144,145,146,146,146,146,146,147,149,148,146,171,187,206,206,206,206,206,206,207,206,206,205,206,206,206,205,207,207,207,208,208,208,207,207,206,205,204,191,161,162,162,162,162,163,163,163,163,163,163,163,163,162,163,163,163,164,165,165,166,165,165,153,143,143,141,141,141,140,141,141,126,101,102,102,102,102,102,102,102,102,102,101,101,100,100,100,100,100,100,101,101,101,101,100,100,101,103,102,102,102,100,99,99,101,101,101,102,102,115,141,142,141,141,141,142,141,142,141,141,141,141,140,142,142,142,141,140,140,140,141,141,141,141,141,141,141,142,142,142,142,141,142,141,143,144,146,145,145,145,145,147,148,146,145,159,186,203,206,223,225,225,225,225,224,224,224,225,225,225,224,224,224,226,226,225,225,227,226,225,225,225,225,225,226,225,226,226,228,227,228,228,229,227,224,223,223,223,223,223,223,223,223,222,223,223,216,187,187,188,188,187,187,188,188,188,188,186,169,168,167,167,167,166,167,166,165,164
