Renewables 02/06/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/6/2022,-26,-36,-41,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-43,-44,-43,-43,-43,-44,-43,-43,-44,-43,-43,-43,-44,-43,-44,-44,-44,-44,-44,-44,-45,-44,-45,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-46,-45,-46,-46,-46,-46,-46,-46,-46,-47,-46,-46,-46,-46,-46,-46,-45,-43,-33,-9,35,126,231,388,647,969,1329,1771,2250,2784,3326,3905,4484,5070,5663,6265,6974,7557,8149,8656,9105,9499,9819,10130,10235,10122,10146,10438,10923,11164,11242,11253,11148,11052,10947,10898,10825,10731,10660,10826,10944,11001,10916,10735,10607,10558,10521,10436,10383,10378,10278,10203,10322,10337,10389,10320,10228,10105,10078,9930,9802,9625,9540,9575,9821,10038,10119,10037,9909,9772,9556,9332,9300,9305,9315,9402,9642,9727,9690,9670,9683,9748,9742,9703,9657,9570,9499,9484,9437,9424,9436,9458,9509,9555,9468,9353,9388,9505,9462,9234,8925,8817,8651,8496,8428,8623,8727,9008,9251,9010,8559,7793,6950,6196,5717,5516,4967,4377,3770,3169,2602,2058,1591,1157,878,581,402,259,154,109,90,-4,-36,-33,-32,-31,71,80,81,81,81,82,81,80,80,81,81,81,82,81,81,81,81,83,83,83,83,83,83,83,83,82,82,81,82,82,81,82,81,81,81,80,103,135,135,132,122,107,93,90,90,89,89,81,35,23,20,12,7,1,-3,-6,-7,-8,-8,-8,-8,-8,-8,-9,-9,-10,-10,-11,-16,-20,-26
Wind,2/6/2022,1859,1845,1825,1790,1778,1773,1747,1740,1711,1676,1654,1633,1612,1567,1548,1513,1480,1442,1404,1373,1342,1335,1338,1336,1344,1353,1360,1375,1424,1448,1449,1470,1470,1467,1484,1493,1491,1502,1526,1540,1544,1559,1545,1529,1503,1480,1469,1470,1459,1437,1426,1433,1442,1447,1450,1460,1457,1450,1456,1473,1481,1499,1507,1500,1496,1480,1476,1484,1477,1476,1478,1471,1453,1453,1457,1474,1477,1483,1497,1504,1491,1487,1495,1490,1499,1497,1495,1490,1484,1475,1460,1436,1423,1417,1411,1399,1393,1397,1389,1390,1404,1429,1445,1480,1530,1566,1579,1601,1609,1622,1669,1715,1750,1770,1796,1846,1880,1921,1936,1950,1980,2021,2038,2044,2049,2069,2101,2117,2135,2171,2197,2225,2248,2270,2280,2278,2272,2292,2327,2337,2367,2396,2372,2383,2384,2361,2344,2340,2357,2362,2361,2341,2343,2307,2282,2234,2212,2202,2236,2241,2225,2213,2209,2198,2201,2195,2178,2199,2229,2241,2263,2270,2180,2131,2113,2085,2076,2050,2036,2043,2021,2002,2076,2032,1954,1846,1830,1773,1745,1762,1700,1636,1581,1543,1486,1421,1382,1353,1308,1274,1252,1238,1236,1250,1254,1260,1241,1191,1167,1142,1125,1106,1093,1077,1092,1123,1148,1163,1186,1212,1215,1225,1223,1230,1234,1214,1185,1174,1160,1117,1058,1048,1045,1034,1005,978,986,982,965,928,914,893,866,834,803,788,775,767,780,792,797,808,809,817,816,794,781,776,766,752,739,728,716,713,711,706,707,697,672,653,643,622,595,589,585,601,625,648,669,681,676,658,644,639,619,609,622,643
Geothermal,2/6/2022,921,921,921,922,922,921,921,921,921,921,920,920,921,921,921,921,919,921,921,921,921,922,920,921,922,923,923,923,922,923,923,922,922,922,922,922,923,923,922,923,922,923,923,922,923,923,924,923,923,924,923,922,923,923,923,923,923,924,924,924,924,924,924,925,925,926,927,926,926,926,926,926,927,926,926,925,926,925,925,925,925,925,923,927,925,925,925,926,925,924,924,924,924,924,924,925,924,925,924,924,924,925,926,925,925,925,924,924,924,924,924,923,923,924,924,922,923,923,922,923,924,923,922,922,922,922,921,922,923,924,924,924,925,923,923,923,923,922,923,923,923,924,923,924,923,923,924,923,922,923,922,922,922,922,922,921,921,920,919,921,920,920,920,919,920,918,918,918,917,917,917,917,917,917,917,917,918,917,916,915,916,914,914,915,914,915,915,914,916,916,916,916,916,915,914,914,913,915,915,914,914,914,914,915,917,918,918,918,919,919,919,918,919,918,918,920,919,919,920,920,920,920,918,921,920,921,921,921,921,922,922,920,919,911,912,909,914,919,919,917,914,919,918,918,919,919,918,918,919,919,919,919,919,919,919,920,919,919,921,919,919,919,919,921,923,923,924,922,923,921,923,923,923,922,921,923,923,923,923,923,923,922,922,922,922,922,922,922
Biomass,2/6/2022,328,314,287,287,284,286,286,285,284,285,289,295,291,292,290,290,290,290,288,289,289,289,290,289,290,290,291,291,290,291,292,292,292,293,293,293,294,293,293,294,296,294,293,294,294,292,291,293,295,295,294,294,293,293,293,292,291,293,293,291,293,292,291,292,293,292,292,291,292,292,291,292,292,292,292,292,292,291,290,292,291,291,290,291,289,290,289,288,289,288,288,288,288,289,289,289,289,291,291,290,290,291,290,290,290,291,290,290,291,291,289,289,289,289,288,287,287,286,286,287,287,286,286,287,286,284,285,285,285,285,285,286,287,286,285,286,285,285,285,286,287,289,290,289,288,289,287,288,289,288,287,290,289,291,289,287,286,287,285,287,288,288,289,288,288,289,288,289,289,288,286,284,284,285,286,285,288,288,289,289,289,289,289,289,289,291,291,292,292,292,292,290,290,293,294,294,295,296,295,294,294,293,292,292,292,293,292,291,288,288,286,287,286,286,287,287,286,297,305,303,302,303,302,301,300,301,299,300,300,301,305,305,305,305,306,305,305,306,305,305,305,306,307,308,307,307,307,306,307,308,307,308,307,306,306,307,307,308,306,306,305,306,308,308,309,307,306,308,306,306,307,308,306,304,298,288,290,289,289,289,291,290,290,291,289,289,291,290
Biogas,2/6/2022,208,207,207,207,207,207,207,207,208,207,207,207,207,207,206,206,206,206,206,207,206,206,206,206,206,208,209,209,209,210,210,210,210,209,210,209,209,210,209,210,209,209,209,209,209,209,209,210,210,210,209,210,210,210,210,210,210,210,209,209,209,209,209,209,210,210,209,209,209,209,209,209,209,209,209,209,209,209,210,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,210,209,210,209,209,208,208,209,209,209,209,209,210,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,210,209,209,209,209,209,210,209,209,209,210,209,209,209,209,209,208,208,209,209,208,208,208,209,209,209,208,208,209,208,208,208,209,209,209,208,208,209,208,208,208,208,208,207,208,207,207,208,208,208,207,207,208,207,207,208,207,209,207,207,207,207,206,207,207,207,207,207,207,207,206,207,207,207,208,208,207,207,207,207,207,207,207,207,207,207,207,206,205,205,205,204,204,205,205,205,205,204,205,207,207,207,207,208,207,207,208,208,208,208,208,208,208,207,207,207,207,207,206,207,206,206,207,206,206,206,205,206,205,206,205,205,205,205,206,205,206,206,206,206,207,207,207,206,207,206,207,206,206,206,206,207
Small hydro,2/6/2022,177,179,181,182,182,180,180,180,181,180,181,181,180,180,180,181,181,180,181,182,182,182,182,181,181,180,180,180,179,179,180,181,182,182,182,181,181,181,181,181,182,181,180,180,180,180,181,180,181,181,181,181,182,181,180,180,180,180,180,181,181,188,248,265,263,263,263,263,264,264,264,263,264,264,263,264,265,264,265,262,262,262,262,263,264,264,264,265,265,264,263,262,263,262,263,246,223,223,194,181,182,182,182,182,181,181,181,181,181,170,160,159,158,159,160,160,160,159,160,159,147,140,138,138,139,139,139,139,140,140,140,140,140,139,139,139,139,139,139,139,140,139,139,140,140,140,140,139,139,139,139,139,139,140,140,140,140,141,141,139,140,140,140,139,139,139,139,139,140,140,140,140,140,139,139,140,140,140,141,142,141,143,143,143,143,141,141,142,142,142,142,142,142,157,186,186,186,187,186,186,186,186,186,186,185,187,259,270,271,271,270,269,269,269,270,284,311,311,310,310,310,310,310,311,311,311,312,312,312,311,311,311,311,309,309,309,309,309,309,311,311,311,301,278,271,271,271,270,270,270,270,270,270,270,229,229,229,231,231,231,229,229,229,230,229,229,228,227,227,226,226,225,224,224,224,225,226,223,187,181,181,182,182,181,181,180,180,180
