Renewables 02/03/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/3/2022,-15,-14,-15,-15,-16,-16,-17,-33,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-39,-38,-39,-42,-42,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-39,-39,-39,-35,-23,-23,-21,-16,1,38,108,193,337,533,799,1110,1487,1927,2382,2885,3436,3969,4525,5094,5747,6406,7053,7616,8102,8517,8884,9219,9542,9766,9960,10135,10333,10431,10615,10650,10679,10774,10853,10987,10991,11003,11086,11166,11223,11200,11212,11199,11182,11159,11179,11196,11163,11144,11132,11142,11130,11053,10947,10947,10903,10838,10778,10695,10666,10654,10677,10725,10741,10801,10824,10836,10821,10875,10890,10890,10905,10906,10863,10893,10957,11009,11027,11063,11068,11010,11032,11046,11083,11052,11094,11083,11077,11013,10936,10902,10944,10811,10709,10445,10184,10287,10350,10217,10008,9678,9672,9442,9195,8863,8641,8521,8184,7803,7315,6815,6164,5531,4970,4811,4324,3750,3073,2505,2110,1722,1385,982,654,531,378,264,182,131,68,31,29,30,35,36,38,81,89,70,90,91,91,111,114,114,113,113,111,91,90,90,89,85,69,53,56,56,56,55,55,53,36,32,24,32,32,33,33,34,34,34,26,0,-13,-13,-13,-13,-13,-14,-12,-13,-12,-14,-12,-21,-22,-21,-20,-19,-19,-19,-19,-20,-19,-19,-19,-19,-18,-18,-19,-18,-18,-18,-18,-18,-18,-18
Wind,2/3/2022,1547,1568,1584,1561,1603,1607,1586,1585,1546,1514,1490,1453,1451,1460,1435,1430,1434,1442,1457,1457,1427,1364,1294,1244,1203,1183,1181,1174,1134,1066,1019,1023,1005,996,989,976,965,960,936,956,966,955,954,945,953,956,963,987,982,980,980,989,990,1000,1014,1041,1062,1076,1062,1101,1107,1111,1112,1111,1107,1131,1154,1139,1136,1112,1075,1071,1084,1060,1034,1031,1036,1046,1033,1000,967,943,926,904,916,924,926,911,911,926,928,945,971,982,992,1011,1021,1028,1050,1071,1086,1105,1088,1082,1080,1075,1082,1087,1066,1082,1072,1091,1096,1102,1113,1132,1152,1169,1190,1192,1219,1219,1242,1257,1245,1217,1191,1186,1216,1218,1219,1198,1185,1212,1185,1165,1136,1124,1115,1131,1153,1157,1159,1145,1143,1147,1161,1179,1193,1151,1139,1158,1182,1207,1254,1233,1206,1167,1169,1172,1129,1086,1062,1033,1041,1031,1010,988,985,955,936,935,931,951,948,938,902,899,907,897,863,827,804,770,759,757,729,724,711,710,724,723,729,728,713,704,704,702,686,677,664,656,644,647,632,635,629,612,606,610,618,616,626,632,643,657,654,647,638,654,660,677,696,711,718,723,723,717,716,736,757,765,760,759,759,762,758,750,730,726,747,744,738,738,745,744,753,756,761,767,765,758,781,791,789,801,809,827,834,821,831,848,857,860,839,819,832,819,825,836,850,866,897,918,930,949,967,1004,1016,1031,1044,1086,1123,1105,1090,1112,1156,1206
Geothermal,2/3/2022,884,882,880,877,874,869,868,867,866,865,866,866,865,864,864,864,864,864,864,863,864,864,863,863,863,864,863,864,863,863,862,858,859,855,848,840,834,827,824,819,820,817,816,816,816,816,815,816,817,816,816,816,816,816,816,816,816,816,816,816,817,816,816,816,817,817,816,817,816,817,816,816,816,817,816,817,817,817,816,817,817,817,817,816,815,816,816,816,816,816,816,816,816,816,815,815,806,800,774,747,746,742,735,730,730,749,758,759,760,765,770,771,771,770,771,771,771,771,770,771,770,770,769,770,769,769,768,770,769,769,769,769,769,769,769,769,770,770,770,769,769,769,769,770,769,769,769,768,768,770,769,770,769,769,769,769,770,770,769,770,771,769,769,769,769,769,770,771,774,775,775,775,774,775,775,774,774,774,775,773,774,774,774,774,774,775,775,775,774,775,774,773,773,777,779,778,778,770,768,768,767,768,769,776,779,776,779,779,780,776,775,774,774,771,771,771,770,769,769,769,770,769,770,769,770,770,769,770,770,769,768,767,766,767,766,767,767,767,767,766,768,771,771,771,771,771,771,771,770,770,770,770,770,771,771,771,771,770,769,768,767,766,766,765,766,765,766,766,766,766,766,766,766,766,766,766,767,767,767,767,766,766,767,767,766,768,768,768
Biomass,2/3/2022,314,313,312,314,312,312,312,313,313,313,313,311,312,303,290,292,292,292,295,295,296,295,296,294,294,293,293,292,291,291,293,294,294,292,294,294,294,297,299,298,298,298,298,298,298,297,298,297,298,298,299,299,300,299,299,300,299,298,297,297,296,297,296,295,296,296,295,294,294,292,294,293,291,290,290,290,290,289,290,309,310,309,307,306,308,309,309,309,308,307,307,309,309,310,310,309,316,322,319,317,317,292,294,294,295,295,294,308,307,305,309,308,307,307,307,306,307,307,306,305,304,308,307,307,302,301,302,306,307,305,307,305,305,308,306,305,303,305,308,306,308,310,308,309,309,311,310,308,308,309,308,309,310,309,310,309,309,308,310,307,307,309,309,311,312,313,313,314,314,315,316,317,315,316,320,320,321,323,321,323,322,324,326,322,322,321,324,325,326,325,325,327,328,330,331,329,330,334,336,334,334,336,336,337,340,336,337,335,336,338,337,336,336,336,336,337,337,336,334,334,334,334,333,333,330,329,329,326,330,331,329,329,330,330,329,330,330,332,330,330,330,330,330,331,332,331,333,333,332,332,332,332,334,332,334,334,334,332,334,334,334,335,335,335,335,333,335,335,334,333,335,333,333,332,331,332,332,332,332,332,331,331,334,330,327,325,328,329
Biogas,2/3/2022,209,209,210,210,212,210,210,210,211,210,211,210,211,210,210,210,210,210,211,210,210,211,211,211,211,211,211,211,212,211,212,212,211,211,211,211,212,212,212,212,211,212,212,212,212,212,212,212,212,210,201,194,190,190,190,190,190,190,190,190,191,190,190,191,190,190,190,190,190,191,190,190,190,189,189,189,186,187,186,187,187,187,186,186,186,186,186,186,185,184,184,184,184,185,185,185,184,183,183,182,184,186,188,188,189,189,190,191,189,188,187,186,187,187,187,186,187,188,188,188,188,188,174,175,175,175,175,175,176,175,175,175,173,173,173,173,173,173,173,174,173,174,175,174,174,175,175,170,170,168,166,165,165,168,177,183,183,183,185,188,190,192,193,192,192,192,194,194,195,194,194,194,194,194,194,195,194,195,195,195,196,195,195,196,196,196,195,195,195,195,195,195,196,195,194,194,194,195,194,194,194,194,194,194,194,195,196,196,196,196,196,198,199,199,198,199,199,199,199,199,199,199,198,199,198,199,199,200,202,201,204,204,204,204,206,208,210,211,212,214,214,214,214,213,214,214,214,214,213,213,213,213,213,213,213,213,213,213,212,212,213,196,196,196,196,196,196,196,195,195,195,195,195,196,197,196,196,196,196,196,197,196,196,196,196,196,196,196
Small hydro,2/3/2022,163,162,163,162,162,163,163,164,163,162,162,161,161,161,162,163,163,162,162,161,162,163,163,163,162,162,161,162,162,162,162,162,162,161,162,163,162,162,162,162,162,162,162,162,162,163,162,162,161,162,164,164,165,166,166,166,165,165,163,164,165,171,234,239,240,244,254,253,254,253,254,280,296,294,294,294,294,293,293,293,293,294,294,295,295,294,294,294,293,293,293,293,293,292,292,292,292,291,250,210,210,210,209,210,210,211,205,189,187,171,159,159,159,160,160,160,160,160,160,160,159,159,160,160,161,160,159,159,159,159,159,144,119,119,120,119,119,119,119,119,119,120,120,120,120,119,119,118,118,118,119,119,120,120,118,118,118,118,119,119,119,120,126,128,128,127,126,125,126,127,127,129,128,128,128,128,128,128,127,126,135,155,191,192,192,192,192,192,191,191,191,191,191,201,213,236,254,254,254,254,253,255,255,286,296,295,294,294,294,292,292,291,292,292,293,293,292,293,278,265,265,265,267,267,266,266,265,264,264,262,262,263,263,261,261,261,262,263,268,271,272,273,233,233,233,232,232,231,231,231,231,230,229,233,230,207,203,202,201,206,208,208,208,207,208,209,180,171,171,170,169,170,170,169,169,168,168,169,170,170,169,169,168,168,168,168,168,169
