Renewables 02/10/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/10/2022,-35,-33,-34,-33,-34,-33,-35,-35,-36,-36,-36,-35,-36,-38,-39,-39,-39,-38,-39,-39,-39,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-41,-40,-40,-40,-40,-41,-41,-41,-42,-42,-42,-42,-42,-43,-43,-43,-36,-34,-33,-33,-32,-30,-25,-10,24,73,176,334,533,826,1153,1549,2007,2499,3041,3599,4190,4790,5389,5976,6561,7195,7771,8278,8801,9253,9607,9950,10222,10466,10635,10824,10977,11113,11232,11325,11401,11467,11545,11592,11636,11674,11715,11739,11747,11668,11650,11651,11645,11645,11610,11606,11606,11598,11603,11585,11550,11553,11536,11515,11514,11529,11540,11540,11535,11533,11518,11494,11381,11190,11097,11105,11134,11235,11417,11584,11591,11595,11616,11618,11635,11632,11645,11666,11694,11720,11738,11738,11722,11738,11731,11737,11743,11778,11745,11572,11500,11459,11551,11387,11354,11305,11223,11163,10920,10265,9675,9437,9440,9699,9833,9921,9902,9642,9256,8799,8285,7679,6881,6249,5873,5306,4701,4086,3484,2885,2323,1807,1349,1054,735,511,338,235,160,103,85,56,34,51,90,144,154,154,151,150,152,157,159,159,159,159,154,152,149,147,147,147,148,149,149,149,149,149,148,141,138,138,138,137,137,135,135,134,135,134,118,75,55,55,55,56,55,54,55,53,53,39,38,30,20,17,13,8,5,-2,-8,-16,-27,-36,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-39,-40
Wind,2/10/2022,1589,1551,1505,1502,1506,1518,1547,1543,1573,1636,1680,1739,1825,1896,1911,2003,2087,2124,2136,2144,2182,2267,2313,2333,2376,2384,2388,2369,2358,2362,2376,2404,2446,2462,2480,2495,2492,2517,2488,2472,2478,2482,2527,2556,2593,2621,2593,2589,2548,2555,2528,2550,2564,2570,2551,2545,2576,2544,2501,2540,2530,2465,2443,2436,2428,2385,2360,2334,2287,2254,2221,2210,2194,2191,2197,2173,2144,2060,1981,1893,1864,1797,1770,1739,1698,1671,1649,1659,1656,1629,1608,1591,1622,1633,1633,1660,1661,1644,1636,1619,1582,1582,1540,1520,1508,1489,1436,1393,1392,1414,1426,1488,1459,1423,1436,1441,1483,1498,1516,1534,1555,1585,1643,1658,1627,1632,1632,1645,1627,1589,1606,1585,1577,1540,1496,1526,1563,1560,1588,1599,1575,1610,1622,1635,1673,1704,1706,1727,1696,1659,1621,1645,1668,1671,1637,1628,1636,1644,1641,1680,1713,1750,1772,1770,1802,1835,1877,1920,1944,1932,1945,1974,1973,1980,1978,1968,1962,1935,1956,1938,1896,1886,1856,1813,1783,1721,1705,1698,1658,1654,1635,1605,1580,1582,1616,1629,1648,1641,1641,1628,1624,1644,1676,1698,1714,1735,1722,1712,1675,1654,1637,1619,1615,1602,1589,1591,1585,1578,1564,1574,1583,1579,1568,1560,1546,1533,1530,1540,1557,1571,1585,1588,1595,1599,1596,1588,1590,1598,1599,1604,1612,1603,1579,1561,1562,1550,1534,1527,1519,1510,1502,1495,1489,1486,1486,1486,1491,1488,1496,1504,1500,1493,1490,1495,1504,1506,1501,1482,1472,1468,1467,1475,1474,1473,1467,1469,1465,1455,1443,1437,1445,1462,1483,1486,1485,1490,1495,1506
Geothermal,2/10/2022,868,866,867,866,865,866,865,866,866,866,865,866,866,866,866,867,866,866,866,866,866,866,865,866,866,866,866,865,866,866,866,866,867,867,867,867,866,867,867,867,866,867,866,866,866,866,866,867,868,868,867,867,865,866,866,866,865,865,864,864,865,864,864,865,865,865,865,866,866,866,866,866,865,866,866,866,866,866,866,866,867,866,866,868,869,870,871,870,870,870,868,867,864,869,868,868,868,867,867,867,868,867,867,867,867,867,868,868,867,868,868,868,868,868,868,868,868,868,868,867,867,868,868,868,867,867,868,867,867,867,867,867,867,866,867,867,866,866,866,866,866,866,865,865,865,864,865,865,865,864,865,865,864,864,864,864,865,864,864,864,864,863,863,863,863,863,863,863,864,862,862,862,862,862,863,864,863,864,864,864,865,864,864,863,863,863,864,864,864,864,864,864,864,863,864,864,864,865,864,865,863,864,863,864,864,864,864,864,864,864,864,864,866,864,864,863,864,865,866,867,868,868,867,868,868,868,868,868,868,868,868,868,868,869,868,869,869,868,868,868,868,868,869,869,869,869,869,869,869,869,869,869,870,870,869,872,879,901,909,911,912,911,911,910,910,910,910,909,908,908,908,907,910,910,910,909,909,910,910,909,908,908,908,909,910,910,909,909
Biomass,2/10/2022,289,280,270,271,271,271,269,270,271,270,269,269,269,271,273,272,270,273,272,274,272,272,271,272,271,273,271,270,270,269,270,271,269,271,271,271,272,274,274,274,274,275,276,275,275,275,275,275,276,276,275,275,274,274,275,275,274,274,273,273,273,273,274,272,273,273,273,273,272,272,273,271,271,274,272,270,270,274,286,286,286,285,284,283,286,286,284,284,283,284,294,302,301,300,302,302,305,304,302,301,302,302,301,300,300,298,297,295,291,288,286,284,283,284,283,283,283,283,283,283,283,283,283,285,286,272,270,274,274,273,273,273,271,273,272,271,273,272,271,268,264,264,263,266,268,270,271,272,273,273,271,270,273,271,272,273,272,271,274,275,275,274,273,274,274,273,273,275,274,274,274,276,276,272,272,272,271,271,272,274,272,273,274,273,272,274,274,275,275,275,274,275,273,276,277,280,280,282,289,288,286,287,286,285,283,282,282,282,281,280,280,279,282,282,283,282,280,281,282,282,283,283,283,283,283,284,284,284,284,284,283,283,283,282,282,281,282,280,284,282,282,282,283,282,283,281,281,282,283,283,283,285,287,289,290,293,290,291,291,290,288,290,292,293,293,294,294,294,293,293,292,291,290,289,288,288,287,287,288,288,287,288,288,288,289,289,288,291
Biogas,2/10/2022,216,210,209,209,210,210,210,210,211,211,211,211,211,204,202,204,202,202,203,203,202,202,203,203,202,202,201,202,202,202,202,202,202,202,202,202,202,203,202,202,202,202,202,202,202,202,201,201,201,201,204,206,208,210,210,210,210,210,210,210,211,210,210,210,210,209,209,210,210,209,209,210,209,210,210,209,209,209,210,210,210,210,210,210,210,211,211,211,211,211,210,210,206,202,202,201,200,201,200,200,199,201,200,203,206,206,206,206,207,205,203,203,205,205,205,205,205,204,205,205,205,205,205,204,204,204,203,205,204,204,204,203,204,203,203,203,203,203,204,205,204,205,204,203,205,205,206,206,206,206,206,207,207,207,206,207,206,206,207,207,207,206,207,207,207,206,207,207,207,206,206,206,206,208,207,207,206,206,206,207,207,208,207,202,198,199,198,198,198,198,199,197,198,198,199,198,198,198,199,198,198,197,197,198,199,198,199,199,201,203,204,204,204,204,209,208,206,203,202,203,206,206,206,207,208,208,208,208,208,208,207,207,208,208,208,208,208,208,209,208,209,209,210,210,210,210,210,211,211,211,210,210,211,210,210,210,211,211,211,211,211,211,212,210,210,210,211,212,211,211,211,211,211,211,211,211,211,211,210,210,210,210,211,210,210,210,210,210
Small hydro,2/10/2022,191,189,190,190,190,172,170,170,170,170,170,170,170,170,171,171,170,169,169,169,170,171,171,170,169,169,170,170,170,169,170,169,169,169,169,170,170,170,170,170,170,169,169,169,168,169,169,169,169,170,170,170,170,170,171,171,171,170,170,189,210,215,231,231,230,231,231,231,232,232,232,231,230,229,229,231,231,232,232,232,231,231,231,230,231,231,222,191,191,190,190,191,191,191,191,192,191,192,185,185,185,184,184,183,184,184,183,168,152,142,142,143,141,141,141,141,141,142,143,143,142,144,143,143,143,142,142,142,142,141,143,142,142,142,142,141,141,142,142,142,141,142,142,141,142,142,143,144,144,145,145,144,144,144,145,146,145,144,144,144,144,144,144,143,143,144,144,143,144,152,184,183,184,184,184,183,183,183,183,184,183,187,191,191,191,192,191,191,193,195,197,197,197,195,195,196,199,199,200,199,199,198,198,216,238,243,265,265,267,267,267,267,266,266,267,266,266,266,265,265,266,266,266,266,266,266,267,266,266,266,267,267,267,268,267,266,265,265,265,266,265,265,255,249,248,249,248,249,249,249,250,250,249,249,238,214,207,208,207,206,205,206,206,206,206,206,206,206,206,205,206,204,205,205,205,205,206,207,206,206,205,206,206,207,206,206,206,205
