Renewables 02/01/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/1/2022,-22,-21,-22,-23,-22,-22,-21,-21,-21,-21,-21,-21,-21,-22,-21,-22,-21,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-23,-23,-22,-23,-24,-24,-24,-24,-25,-25,-25,-26,-27,-27,-27,-27,-27,-27,-28,-28,-28,-28,-28,-28,-28,-28,-28,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-30,-29,-29,-29,-30,-30,-30,-29,-30,-30,-29,-29,-27,-21,-8,8,27,57,116,207,298,415,564,706,964,1356,1829,2150,2446,3001,3575,4139,4831,5382,6031,6675,7097,7464,7436,7399,7306,7441,7951,8407,8290,8000,7779,7685,7904,8291,8314,8046,8188,8671,8948,8840,9112,9230,9227,9215,9359,9390,9299,9409,9426,9537,9740,9807,9720,9554,9606,9779,9848,9872,9790,9705,9797,9977,10005,10109,10141,10088,9906,9686,9748,9802,9644,9436,9258,9149,8953,8926,8635,8622,8694,8824,8831,8624,8429,8471,8663,8640,8629,8631,8477,8320,8141,8224,8231,8128,8088,8006,7903,7734,7548,7407,7305,7225,7098,6910,6705,6461,6164,5841,5503,5083,4682,4285,3879,3441,3050,2626,2209,1846,1457,1143,876,620,436,298,195,133,84,16,11,8,3,6,6,7,34,41,41,41,42,42,42,42,42,42,42,59,105,133,133,134,135,135,135,135,135,135,135,126,105,95,94,95,95,94,95,93,95,95,95,88,55,44,44,43,43,43,43,43,43,43,43,42,34,32,32,29,26,24,18,11,6,3,2,2,0,0,1,1,1,1,1,1,1,1,1
Wind,2/2/2022,3115,3112,3127,3160,3109,3020,2997,3035,3071,3144,3229,3280,3328,3400,3489,3593,3651,3678,3721,3748,3835,3890,3955,3996,4004,4002,3983,3970,4051,4145,4222,4272,4272,4246,4271,4284,4243,4219,4190,4204,4211,4223,4222,4302,4358,4427,4494,4578,4667,4746,4799,4835,4786,4768,4745,4696,4638,4629,4647,4690,4774,4812,4799,4754,4687,4600,4541,4492,4457,4493,4560,4641,4680,4726,4774,4786,4755,4650,4533,4403,4368,4369,4292,4198,4074,3947,3887,3853,3758,3617,3517,3432,3407,3374,3337,3292,3289,3310,3343,3389,3422,3425,3424,3402,3336,3260,3241,3206,3179,3167,3163,3133,3107,3061,3012,3024,3024,3019,3056,3079,3116,3130,3078,3081,3084,3062,3016,3020,2999,3011,3023,2999,2927,2858,2809,2734,2680,2654,2640,2645,2623,2603,2558,2564,2562,2570,2554,2555,2556,2580,2592,2549,2523,2517,2519,2497,2497,2455,2417,2430,2442,2441,2436,2416,2372,2367,2373,2403,2408,2419,2449,2452,2456,2454,2442,2423,2467,2498,2489,2459,2437,2408,2388,2375,2392,2379,2331,2329,2370,2378,2393,2333,2272,2284,2364,2361,2328,2335,2343,2303,2227,2196,2216,2236,2245,2233,2293,2426,2500,2525,2524,2402,2193,2060,2039,2111,2217,2228,2239,2274,2282,2238,2213,2228,2280,2333,2351,2375,2406,2398,2379,2409,2427,2364,2271,2220,2255,2319,2347,2306,2219,2171,2162,2175,2178,2184,2207,2254,2274,2281,2305,2326,2292,2249,2262,2295,2268,2262,2256,2248,2248,2257,2298,2357,2454,2587,2778,3007,3243,3520,3758,3850,3889,3874,3823,3686,3483,3277,3106,2968,2879,2811,2783,2740,2683,2654,2598,2536
Geothermal,2/3/2022,896,897,897,896,896,897,897,896,897,896,897,897,897,897,898,898,897,897,897,897,897,897,897,898,897,898,898,898,898,898,897,897,898,898,898,898,899,899,899,899,899,899,899,899,900,900,900,900,899,899,899,899,899,899,898,898,899,898,898,898,898,898,898,898,899,898,898,899,900,899,899,899,898,899,899,898,898,899,897,897,897,899,898,898,898,897,897,897,898,897,897,896,895,895,895,896,895,896,897,896,895,895,896,896,896,895,895,895,895,895,895,896,896,895,895,896,896,895,896,895,895,895,894,894,894,894,894,894,893,893,893,893,894,895,893,893,894,892,893,892,892,893,893,894,893,893,892,893,892,892,892,892,891,889,887,886,887,888,887,888,886,887,888,887,887,888,888,888,888,889,888,887,887,887,888,887,888,887,889,889,890,889,891,890,890,890,890,891,890,890,891,891,892,891,891,891,891,891,891,892,891,891,893,891,892,892,893,893,895,895,895,895,895,895,896,895,895,895,895,895,895,895,896,895,896,895,895,895,896,895,894,894,893,893,894,894,894,894,894,894,895,895,895,895,895,895,894,894,894,895,895,896,896,897,896,896,897,896,896,897,896,897,897,896,896,898,897,897,896,897,897,896,895,895,896,896,895,895,896,895,895,896,895,895,894,896,895,895
Biomass,2/4/2022,322,322,322,322,324,325,323,324,323,324,325,324,325,326,324,323,324,323,325,327,327,327,326,330,330,327,327,325,325,326,327,328,327,326,327,327,328,331,331,331,332,333,333,333,332,333,334,332,332,334,333,334,333,333,332,334,333,333,333,333,331,333,330,329,330,327,327,324,326,327,329,328,324,320,323,324,323,323,325,324,324,324,325,325,327,327,325,324,324,326,325,327,324,326,329,330,332,330,331,328,314,312,311,308,310,317,328,327,327,328,327,327,327,328,328,328,325,326,327,325,326,324,324,325,325,325,328,327,327,326,327,326,325,325,322,322,323,324,323,321,320,319,318,322,323,323,321,322,322,323,322,322,322,323,323,324,324,323,322,322,323,324,322,321,314,314,313,309,308,314,319,322,324,323,323,324,326,326,328,326,327,325,325,328,327,328,328,330,330,330,333,332,329,328,329,329,331,332,334,330,331,330,332,330,329,325,325,324,325,324,327,327,329,327,327,328,328,327,327,328,330,329,327,328,327,326,323,320,321,321,320,323,324,323,323,324,324,326,330,327,329,329,331,329,329,329,330,329,331,331,330,330,332,332,331,332,331,332,330,333,333,331,331,332,331,333,333,332,324,318,320,319,318,318,318,319,317,318,317,314,316,316,316,317,318,317,317,316
Biogas,2/5/2022,210,211,213,214,214,214,213,214,215,214,214,215,214,215,215,215,215,215,214,214,209,209,209,209,209,209,209,209,209,210,211,211,212,213,213,213,213,213,213,213,213,214,214,214,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,212,213,212,213,214,213,214,205,192,193,193,193,193,193,193,194,194,193,193,194,193,193,193,193,192,191,192,192,192,192,193,191,191,191,190,192,197,198,199,201,206,210,210,210,210,210,210,207,206,207,208,207,208,207,207,208,208,208,208,207,208,210,210,213,212,213,212,212,209,209,209,208,211,212,212,213,212,213,212,212,212,211,211,212,211,212,211,211,211,212,212,212,212,213,211,212,212,212,211,212,212,213,214,214,213,214,213,214,212,212,213,212,212,212,213,213,213,213,213,212,214,213,213,213,212,212,213,213,213,213,213,212,212,213,213,214,214,214,213,213,213,213,215,214,214,214,214,214,214,214,215,215,215,215,218,215,215,215,215,215,215,215,215,215,215,215,216,215,215,215,215,216,215,215,216,216,215,216,215,215,215,215,215,214,214,214,215,214,215,214,214,214,214,214,214,214,214,214,214,214,215,215,213,213,213,213,213,214,213,213,213,214,213,213,214,213,213,214,214,214,213,213,213,213,213,213
Small hydro,2/6/2022,225,223,174,164,165,164,164,164,164,162,162,162,162,164,167,167,167,167,167,167,167,166,166,165,165,169,170,170,169,169,168,169,170,170,170,171,173,173,173,174,174,175,175,175,175,175,175,174,174,177,209,216,216,217,216,216,217,215,216,215,215,218,252,261,260,260,260,260,260,259,258,285,298,298,297,297,298,298,299,299,298,298,299,300,297,296,294,293,293,293,293,293,292,290,290,290,291,285,236,198,198,197,197,196,196,196,197,198,198,197,179,177,177,178,178,178,178,179,178,178,177,175,166,166,167,167,167,167,167,166,165,149,125,124,115,116,117,117,116,117,116,116,116,116,118,117,116,116,116,116,116,112,112,113,113,112,112,112,112,114,114,114,114,114,114,114,113,111,110,111,111,111,111,111,112,112,111,111,110,113,113,126,196,197,197,196,196,195,195,195,195,195,196,200,235,247,246,253,255,255,255,254,252,261,288,289,289,289,290,291,292,292,292,292,291,290,290,289,289,289,291,291,292,291,291,291,291,292,293,293,293,293,293,292,292,292,292,293,293,294,294,293,283,257,252,250,248,248,248,248,248,248,247,248,249,249,249,250,251,250,250,250,250,250,249,249,224,223,223,223,223,222,223,223,223,225,226,225,225,226,225,223,222,222,223,224,224,223
