Renewables 03/20/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-42,-42,-41,-41,-41,-41,-43,-42,-41,-41,-41,-41,-41,-40,-41,-42,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-43,-43,-43,-43,-44,-44,-44,-44,-44,-43,-43,-43,-43,-31,-26,-26,-26,-26,-27,-27,-27,-27,-27,-26,-25,-24,-22,-21,-22,-21,-21,-22,-22,-22,-18,-6,37,138,269,373,618,920,1320,1791,2288,2763,3184,3612,4084,4899,5639,6011,6485,6776,6959,7139,7220,7472,7964,8265,8182,8277,8456,8459,8124,7888,7801,7681,7885,7794,7882,7827,7859,8062,8326,8701,8482,8370,8118,8120,8079,8188,8440,8477,8551,8572,8354,8239,8009,8046,8014,8025,7718,7525,7502,7397,7381,7333,7333,7200,7177,7067,7116,7059,6997,6701,6622,6256,6296,6364,6344,6549,6597,6574,6610,6522,6523,6420,6453,6450,6685,6885,6650,6570,6708,6727,6680,6747,6796,6778,6899,6984,6942,6792,6746,6623,6603,6580,6606,6715,6825,7035,7113,6879,6913,6800,6782,6510,6398,6386,6392,6218,6246,6535,6609,6397,6483,6430,6182,6083,6064,6278,6049,6303,6210,5987,5769,5318,4700,4069,3606,3096,2627,2153,1713,1326,980,775,504,272,182,175,145,131,132,124,129,127,130,130,131,129,123,117,109,99,100,100,99,98,93,95,98,97,91,36,24,23,23,23,22,23,22,27,23,22,22,11,-2,-3,-2,-2,-2,-3,-2,-2,-3,-3,-5,-28,-33,-33,-39,-42,-42,-42,-42,-41,-41,-41
,Wind,3071,3087,3121,3237,3331,3383,3392,3421,3515,3655,3855,3981,4039,4100,4175,4191,4137,4058,4030,4033,4030,4097,4187,4226,4278,4381,4429,4485,4527,4521,4535,4462,4442,4396,4362,4371,4446,4540,4560,4557,4523,4509,4509,4562,4575,4576,4683,4754,4726,4657,4632,4634,4603,4546,4521,4568,4578,4626,4611,4600,4623,4643,4628,4615,4618,4581,4558,4595,4572,4563,4545,4522,4527,4565,4579,4593,4587,4579,4621,4624,4577,4568,4545,4517,4486,4482,4426,4366,4361,4389,4414,4441,4468,4491,4582,4563,4483,4520,4558,4574,4606,4484,4321,4361,4321,4246,4250,4299,4307,4424,4434,4439,4445,4510,4513,4560,4621,4595,4618,4677,4729,4736,4787,4944,5012,5120,5165,5239,5324,5495,5581,5678,5716,5689,5670,5558,5416,5157,5069,5073,5068,4993,5058,5082,5097,5083,5163,5173,5162,5160,5181,5171,5165,5158,5130,5068,5050,5004,5025,5008,5055,5035,5001,4899,4829,4764,4714,4557,4602,4612,4514,4453,4326,4224,3838,3713,3693,3714,3766,3847,3838,3750,3866,3941,4064,4015,4178,4347,4555,4736,4736,4707,4649,4587,4815,4870,4884,5093,5115,5024,4999,5108,5181,5248,5233,5242,5258,5249,5295,5299,5684,5893,5842,5827,5828,5810,5811,5795,5779,5760,5715,5731,5729,5692,5711,5747,5784,5820,5850,5818,5806,5755,5711,5701,5706,5748,5809,5800,5775,5773,5770,5789,5788,5802,5827,5798,5759,5818,5853,5884,5900,5885,5874,5865,5846,5825,5794,5765,5722,5634,5610,5600,5553,5494,5372,5186,5191,5133,5077,5033,5054,5042,5076,5052,4974,4826,4741,4693,4702,4630,4576,4607,4624,4607,4624,4680,4673,4732
,Geothermal,813,809,807,807,808,808,808,809,810,810,811,812,812,812,812,813,812,812,812,812,811,811,812,812,812,811,811,811,812,812,812,812,812,812,812,812,813,813,812,812,812,813,812,812,812,813,812,812,812,812,812,812,812,811,812,813,812,813,813,813,813,812,812,813,812,812,812,813,812,812,811,812,813,812,810,812,811,812,812,813,813,813,813,813,813,812,813,813,813,813,813,813,812,812,813,809,811,812,810,812,812,812,812,811,811,811,811,811,811,811,811,810,811,810,810,810,808,808,808,808,807,808,809,808,809,808,807,808,806,806,806,806,806,805,805,805,806,806,806,806,806,806,806,805,806,806,806,807,808,807,807,807,806,807,807,807,805,804,804,805,803,804,804,791,756,739,743,741,727,719,701,661,584,550,523,505,485,478,476,476,477,476,476,475,475,475,474,484,515,552,561,561,561,575,642,717,763,777,792,792,792,793,793,798,797,799,800,800,799,800,800,801,805,805,805,805,804,804,804,804,805,804,805,804,803,804,804,804,804,805,804,805,805,805,803,804,804,805,805,804,805,805,804,804,804,804,804,804,804,803,803,803,803,803,803,803,803,803,804,805,804,804,803,804,805,804,804,804,804,805,805,804,804,806,806,806,807,807,806,806,805,805,804,806,809,808,808,809
,Biomass,250,250,249,248,250,253,254,254,254,253,253,254,253,252,252,252,254,254,255,256,257,257,255,260,258,259,256,256,258,258,258,257,257,255,257,259,258,258,260,260,261,260,261,260,260,261,261,259,262,263,263,262,264,262,261,262,264,266,265,263,263,264,266,265,265,268,266,267,270,270,268,268,269,268,268,270,271,270,270,270,269,270,271,268,268,268,268,270,269,270,268,268,266,267,266,266,266,267,267,267,269,269,267,268,268,265,266,266,265,267,266,265,267,264,265,263,262,261,261,262,263,262,261,259,258,258,258,260,260,257,257,258,257,260,259,257,256,258,261,261,261,262,261,260,258,258,256,254,253,250,248,248,251,250,251,253,251,253,253,251,249,250,251,249,252,253,252,250,250,253,252,250,251,253,254,253,252,254,253,253,251,251,252,255,252,253,253,256,255,255,256,258,258,256,258,260,258,263,264,264,262,261,259,261,259,259,259,261,262,262,262,261,260,262,262,261,260,255,259,262,262,261,260,260,263,258,258,261,259,257,260,263,264,264,261,261,260,263,267,265,265,265,264,264,264,265,266,264,263,264,264,263,263,262,262,261,262,262,263,265,264,262,262,264,264,260,262,262,261,261,259,258,257,256,257,255,257,260,258,259,260,260,257,259,259,258,258,259
,Biogas,200,198,197,197,197,197,198,198,198,198,198,198,197,197,197,198,198,198,197,198,199,198,198,199,199,199,199,199,199,198,199,199,198,198,198,199,199,198,198,198,198,198,198,197,187,187,185,184,184,184,184,184,184,184,185,186,186,187,188,189,188,188,189,191,193,193,192,192,192,192,192,194,193,192,192,192,192,193,193,193,192,193,192,192,192,192,192,192,192,192,192,192,192,193,195,194,195,194,195,195,195,195,197,195,196,196,196,196,195,196,195,195,194,195,194,195,195,195,197,197,197,197,197,197,197,197,197,197,196,196,197,196,196,197,197,197,198,196,196,196,197,197,197,197,197,195,195,195,195,195,195,195,195,195,195,195,196,195,194,193,193,192,192,192,192,192,191,191,191,192,192,193,193,193,194,194,193,194,192,191,192,194,195,195,195,195,197,198,198,198,198,198,198,197,198,197,197,197,197,197,197,197,197,197,197,197,197,197,198,197,197,198,198,198,199,199,198,198,198,198,198,198,198,199,198,198,196,195,195,195,195,195,195,195,196,198,198,198,196,196,196,197,196,196,198,196,196,196,196,196,196,196,195,195,195,195,195,195,195,195,195,195,194,194,195,194,194,194,194,194,194,194,194,194,194,194,194,193,193,194,193,194,193,194,194,194,194,195
,Small hydro,168,150,149,148,148,148,148,149,150,150,150,150,149,149,153,154,154,154,154,154,154,154,153,153,154,153,149,147,148,146,145,146,147,147,147,146,145,146,147,147,147,147,147,147,147,147,147,147,147,151,153,154,154,154,153,153,153,153,154,154,154,157,156,156,156,156,156,155,154,155,156,155,155,156,156,156,156,157,176,177,177,177,177,178,178,179,179,178,177,176,176,177,177,177,177,162,156,154,150,150,150,151,151,152,153,152,153,137,130,129,130,131,131,130,130,131,130,129,130,130,130,131,130,130,115,109,109,109,109,108,108,106,105,105,105,107,107,108,109,109,109,109,109,108,107,107,107,106,106,107,106,108,108,108,108,109,109,110,111,111,110,110,110,110,110,109,108,108,108,106,107,107,108,108,108,108,108,108,109,109,108,110,111,111,111,111,110,110,110,110,110,110,110,111,127,133,133,133,133,134,134,133,133,133,133,139,189,190,190,190,191,191,190,190,190,189,190,189,189,190,191,191,191,190,190,190,190,190,190,191,191,191,192,192,192,191,191,191,192,193,192,191,191,191,191,191,191,191,192,191,190,191,191,190,189,189,189,188,188,189,189,188,188,188,187,177,173,173,173,172,172,172,172,171,171,171,172,171,164,154,149,148,148,147,146,147,148,148
