Renewables 03/12/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-42,-42,-42,-42,-43,-43,-43,-43,-44,-44,-43,-43,-43,-43,-43,-43,-43,-43,-44,-44,-43,-43,-43,-43,-43,-43,-43,-44,-44,-44,-47,-44,-44,-44,-44,-44,-45,-46,-46,-45,-45,-45,-46,-45,-45,-45,-45,-45,-45,-46,-45,-45,-45,-45,-45,-45,-45,-46,-45,-45,-46,-45,-46,-47,-47,-46,-46,-47,-47,-47,-44,-38,-25,17,108,232,385,640,953,1342,1823,2359,2932,3542,4184,4857,5560,6210,6863,7487,8101,8655,8989,8738,8334,8225,8628,9230,9608,9743,9915,10025,10024,9946,10039,9956,9782,9751,9915,10125,10282,10354,10350,10384,10353,10238,10267,10294,10194,10188,10181,10005,9933,9937,9934,9942,9938,9848,9836,9830,9827,9829,9838,9851,9842,9834,9801,9712,9714,9706,9670,9513,9289,9227,9309,9975,10172,10177,9476,9185,9150,9144,9043,9030,9069,9121,9003,8977,8924,8909,8910,8905,8924,9150,9248,9265,9318,9344,9334,9341,9331,9262,9299,9278,9352,9330,9325,9362,9535,9608,9541,9359,9315,9265,9343,9447,9394,9432,9523,9581,9689,9486,8775,7990,7568,7265,6875,6699,6531,6695,6824,6422,5956,5367,4746,4085,3380,2791,2165,1645,1309,986,743,580,435,316,200,200,200,200,200,200,200,200,200,200,200,200,200,182,177,176,173,147,139,167,159,158,152,152,152,107,106,109,108,108,107,107,106,107,107,106,104,90,87,87,87,87,87,87,87,87,87,87,87,85,86,86,87,86,86,86,86,87,87,87,87,85,87,86,81,71,61,49,44,40,39,39
,Wind,995,998,1000,1011,1022,1032,1034,1031,1026,1024,1022,1028,1028,1034,1041,1038,1046,1057,1063,1055,1046,1032,1020,1000,988,981,983,984,987,979,977,978,969,958,947,939,931,915,894,888,881,857,839,838,846,859,865,866,875,885,896,909,921,931,935,938,947,959,973,981,980,983,987,992,990,988,979,979,983,984,976,971,970,956,935,926,915,903,882,875,882,879,879,877,872,862,848,842,827,805,788,765,746,731,723,714,722,722,720,718,715,717,729,743,770,800,816,817,831,855,843,834,847,827,808,790,774,758,721,694,683,677,692,699,713,741,750,755,737,716,723,740,750,775,793,818,841,860,858,881,891,912,919,931,929,927,921,917,911,907,900,877,852,821,812,796,789,786,808,809,825,846,866,870,883,909,929,959,977,967,983,976,983,1003,1025,1047,1076,1078,1115,1211,1241,1249,1299,1351,1441,1572,1624,1676,1745,1824,1887,1964,2002,1989,1962,2038,2068,2110,2166,2193,2170,2109,2023,1949,1890,1854,1861,1884,1930,2049,2158,2236,2279,2298,2375,2416,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2427,2462,2449,2439,2428,2444,2412,2421,2421,2399,2397,2431,2658,2720,2746,2754,2820,2917,2985,3067,3156,3217,3277,3394,3450,3519,3555,3534,3555,3528,3489,3360,3252,3214,3168,3155,3157,3106,3051,2988,2967,2939,2912,2873,2827,2781,2748,2726,2710,2734,2749,2755,2814,2916,2969,2975,2945,2937,2886
,Geothermal,896,897,896,896,896,897,897,895,896,897,897,896,897,898,897,897,897,897,897,897,897,895,896,895,896,897,896,896,897,896,896,897,896,896,896,896,896,896,897,896,897,896,895,896,895,895,895,895,895,896,896,896,896,896,896,897,896,897,897,897,898,896,895,896,897,897,897,898,898,898,898,898,898,898,898,898,898,899,899,898,899,899,898,898,897,898,898,898,898,897,898,896,897,898,897,897,897,896,896,896,896,895,896,896,895,896,896,896,894,894,893,893,893,893,893,893,892,892,892,892,891,892,892,892,892,893,893,892,893,893,893,891,893,892,892,892,892,891,891,891,892,891,890,891,890,890,890,890,890,890,889,889,890,890,890,889,890,889,888,889,889,889,889,889,889,888,888,888,888,888,887,886,888,888,887,887,888,887,887,886,884,887,886,885,885,884,884,885,884,884,884,884,884,884,885,884,884,885,884,885,885,885,886,884,886,885,885,886,886,885,886,886,886,885,886,887,887,887,887,887,887,887,887,887,887,887,887,887,887,886,886,886,885,885,885,885,885,885,885,885,885,886,886,885,884,883,883,883,884,883,883,883,884,884,883,883,883,884,884,884,885,886,884,884,885,884,885,886,886,886,886,885,885,886,887,886,887,886,886,886,885,886,886,886,886,886,886,886
,Biomass,271,268,266,265,265,265,266,268,266,267,267,268,270,266,265,266,266,264,264,265,267,269,270,270,270,267,267,265,265,266,269,271,271,270,269,266,265,266,268,269,267,267,268,268,268,266,266,266,263,265,267,268,268,266,265,265,265,266,266,268,268,268,268,270,269,267,267,268,267,268,267,264,259,264,263,267,266,267,265,262,256,255,253,254,253,253,252,253,254,252,252,250,247,248,250,251,249,249,249,251,250,250,252,253,252,252,253,253,253,254,253,253,252,251,250,251,251,252,251,251,252,253,254,254,254,253,252,253,257,259,264,267,265,267,266,267,269,269,270,269,269,266,268,269,268,268,268,267,270,267,270,269,269,269,268,268,269,270,270,269,269,271,271,268,270,270,268,269,269,270,269,268,268,268,268,268,269,268,266,268,269,269,271,273,270,271,272,271,273,271,270,270,272,274,275,275,274,274,274,273,273,274,275,275,273,274,274,275,275,273,272,272,269,268,269,271,269,269,269,269,269,269,269,269,269,269,269,269,269,273,273,273,275,275,275,274,273,274,275,274,274,273,271,271,271,271,270,272,272,272,273,273,273,271,272,271,271,273,272,273,273,273,272,273,270,270,267,268,268,268,269,269,266,267,267,267,267,268,266,268,268,266,266,265,264,265,266,264
,Biogas,218,218,218,219,219,218,218,218,218,218,218,218,218,218,217,218,218,218,218,219,219,219,218,219,219,219,219,219,219,219,219,219,220,220,219,220,219,219,219,219,220,219,219,219,220,219,219,219,220,219,219,219,219,219,220,219,219,220,220,219,220,219,219,219,219,219,219,217,214,214,214,214,213,213,213,213,214,213,213,214,214,213,213,214,213,213,213,213,213,214,213,214,214,213,213,214,213,216,218,219,218,219,219,219,219,219,219,219,218,218,220,218,219,219,219,219,218,219,219,218,219,218,219,219,218,218,218,218,218,218,218,218,219,219,218,218,219,218,219,219,218,213,212,211,211,211,212,211,210,211,211,211,211,211,211,212,211,211,211,213,215,215,217,218,219,219,220,219,218,218,219,219,219,220,219,218,218,218,218,219,219,220,220,220,221,220,220,220,220,219,219,219,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,221,221,221,220,221,221,221,221,222,221,221,221,221,221,221,221,221,221,221,221,221,221,220,220,219,219,219,219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,221,219,218,218,218,218,218,218,218,218,218,218,218,218,217,217,217,217,217,218,218,217,217,217,217,218,218,218,217,217,218,218,218,218,218,218,218,218
,Small hydro,143,143,144,144,143,143,143,143,143,144,144,144,143,143,143,143,144,144,144,144,144,144,144,143,143,143,144,143,143,144,143,143,143,144,144,144,144,144,143,144,144,143,144,144,144,144,144,144,144,144,143,143,143,143,144,144,144,144,144,144,144,143,143,143,142,142,143,143,143,144,145,145,145,144,143,143,143,143,143,143,143,143,144,144,143,143,142,142,144,145,145,145,145,146,146,129,106,106,106,106,106,105,105,104,102,103,103,104,104,106,105,106,107,107,107,107,107,106,106,106,106,106,106,106,105,105,105,105,105,106,106,106,106,105,104,104,105,105,104,103,104,104,104,104,105,104,104,104,104,104,104,104,104,105,105,104,103,103,102,103,104,104,105,104,104,105,105,106,106,106,106,105,105,104,102,101,101,102,103,105,105,105,105,105,105,105,104,104,104,104,104,104,104,120,150,150,150,150,150,150,150,150,150,171,188,188,188,188,188,188,188,189,190,190,191,190,204,204,204,204,204,204,204,204,204,204,204,204,204,211,211,211,211,211,211,211,211,211,212,212,212,211,200,176,169,169,169,169,169,169,169,169,169,169,169,169,168,169,170,171,171,171,172,171,169,168,168,165,164,165,164,165,165,166,166,168,169,168,168,168,168,167,166,166,166,166,165,164
