Renewables 02/02/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/2/2022,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,45,55,65,65,62,62,62,62,62,62,71,94,104,103,104,104,104,110,122,148,204,292,425,610,878,1197,1560,1991,2449,2961,3498,4044,4599,5172,5751,6401,7023,7554,8047,8456,8885,9302,9688,9934,10155,10374,10549,10723,10850,10978,11071,11144,11213,11287,11327,11343,11434,11459,11497,11481,11506,11552,11544,11562,11547,11537,11465,11487,11513,11490,11437,11341,11263,11184,11166,11088,11084,11158,11152,11152,11167,11149,11114,11031,11057,11087,11008,11102,11112,11041,11033,11035,11076,11113,10935,11054,11174,11149,11229,11218,11108,11268,11268,11286,11259,11164,11095,11061,11069,11012,11113,11117,11106,11011,11013,10979,10855,10803,10739,10621,10451,10253,10056,9886,9664,9370,8994,8578,8120,7648,7136,6454,5843,5271,4689,4103,3535,3008,2432,1926,1487,1123,792,678,497,356,247,160,115,109,76,73,75,75,76,100,65,51,51,52,52,71,77,77,75,77,83,91,97,102,101,104,105,103,86,69,63,59,57,52,64,44,40,34,34,34,32,31,31,31,30,30,31,31,30,89,118,116,116,115,112,109,108,85,34,3,-5,-9,-14,-15,-15,-16,-16,-15,-16,-16,-16,-16,-15,-16,-16,-16,-15,-15,-15,-15
Wind,2/2/2022,2492,2473,2471,2471,2450,2447,2468,2476,2529,2532,2517,2436,2446,2506,2535,2523,2492,2475,2475,2481,2522,2517,2518,2518,2527,2626,2778,2917,3030,3100,3107,3080,3010,2970,2919,2874,2853,2832,2807,2772,2688,2630,2600,2563,2586,2617,2592,2564,2505,2459,2423,2393,2414,2449,2445,2413,2414,2400,2374,2365,2343,2301,2295,2275,2258,2267,2244,2258,2314,2370,2403,2434,2471,2500,2520,2519,2524,2554,2553,2551,2565,2566,2590,2608,2647,2660,2653,2657,2684,2716,2754,2761,2791,2864,2934,2987,3023,3051,3082,3121,3160,3196,3219,3235,3245,3269,3314,3383,3418,3409,3403,3434,3486,3504,3527,3525,3516,3510,3491,3468,3403,3413,3427,3446,3484,3489,3527,3546,3550,3520,3532,3546,3526,3495,3449,3447,3475,3454,3441,3450,3406,3461,3441,3441,3407,3377,3383,3354,3357,3420,3450,3454,3460,3432,3418,3393,3414,3463,3500,3482,3502,3516,3501,3464,3435,3431,3421,3434,3425,3403,3396,3364,3370,3388,3372,3392,3373,3382,3430,3407,3391,3352,3311,3245,3215,3131,3121,3131,3117,3075,3010,2963,2880,2872,2846,2833,2802,2766,2776,2717,2726,2699,2703,2658,2596,2636,2664,2694,2687,2674,2702,2696,2663,2626,2613,2594,2520,2517,2499,2511,2529,2553,2577,2572,2547,2550,2534,2468,2408,2350,2279,2242,2206,2185,2238,2243,2245,2243,2214,2182,2143,2122,2111,2100,2107,2112,2078,2080,2105,2066,2028,1989,1970,1966,1963,1974,1969,1941,1911,1922,1917,1887,1860,1825,1819,1818,1792,1769,1741,1741,1737,1701,1629,1614,1666,1694,1700,1685,1605,1584,1574,1590,1619,1653,1642,1628,1610,1571
Geothermal,2/2/2022,896,897,896,895,896,896,896,896,896,895,895,895,895,895,895,895,895,894,895,895,895,894,895,895,896,897,896,896,896,898,898,897,898,897,896,897,896,896,896,896,895,895,896,894,887,884,885,886,884,883,876,872,871,870,869,873,876,879,875,878,881,880,880,880,880,879,879,879,881,880,881,881,881,880,880,880,880,880,879,879,879,878,879,878,877,879,878,878,878,879,879,878,879,879,879,879,879,879,879,879,878,880,880,880,880,879,879,879,879,879,880,880,879,878,878,878,878,878,878,878,877,878,878,878,878,878,877,878,877,877,878,876,877,878,878,878,878,879,878,879,881,888,890,889,889,888,887,889,889,889,889,887,889,888,888,888,888,888,887,889,889,886,888,890,891,891,891,891,891,891,890,890,890,889,890,889,890,889,890,890,891,890,890,890,890,890,889,888,890,888,888,888,888,889,888,887,888,886,888,889,889,888,889,889,889,890,890,890,890,891,890,891,890,890,891,891,890,891,891,890,891,892,891,892,891,891,892,891,891,891,891,891,894,893,894,894,893,894,895,894,893,894,894,893,894,894,893,894,894,893,894,893,893,892,892,892,892,892,892,893,894,893,892,893,892,893,893,893,893,894,893,893,893,894,893,893,893,893,893,894,893,893,893,892,893,892,892,889
Biomass,2/2/2022,316,317,317,318,316,315,315,316,317,316,315,307,302,301,303,302,300,301,302,300,300,299,299,300,300,300,297,299,299,300,301,302,301,301,300,300,300,302,302,304,305,303,302,301,301,299,299,300,300,300,300,299,298,299,298,297,298,296,298,296,294,298,299,298,300,296,296,299,300,301,302,303,302,299,296,295,296,297,299,299,298,299,314,311,311,310,309,310,310,309,311,309,309,310,310,310,309,310,308,310,306,305,306,320,332,330,333,333,334,334,332,334,333,335,333,335,333,332,333,334,335,335,333,332,332,332,333,336,335,336,336,337,335,335,334,334,334,334,334,333,328,322,320,322,322,322,322,321,321,322,321,322,319,321,321,321,319,317,314,315,315,315,312,314,314,312,312,313,315,318,319,319,319,319,318,319,319,318,319,319,319,321,321,322,321,319,321,320,320,319,319,321,322,322,323,324,326,327,326,324,325,326,326,325,326,323,324,322,323,322,324,324,323,327,327,328,326,325,326,327,325,327,327,326,325,326,327,328,329,329,326,331,334,335,336,335,334,333,334,334,334,334,334,333,334,332,333,333,334,334,334,334,333,335,334,331,332,333,331,334,335,335,335,336,336,336,336,337,338,335,336,334,333,332,333,332,334,333,333,334,332,333,331,327,312,314,313,313
Biogas,2/2/2022,214,214,214,214,214,214,214,213,214,214,214,214,214,214,214,214,214,214,214,214,214,213,213,214,214,213,214,214,214,214,214,214,214,214,214,214,215,214,214,214,214,214,215,214,214,214,214,214,214,213,209,203,200,201,201,200,200,200,201,201,200,200,200,201,200,200,200,200,200,200,200,200,199,200,199,199,199,199,199,200,200,199,200,199,198,199,198,198,199,198,198,198,198,198,198,198,197,198,197,197,197,197,199,198,198,198,198,198,198,197,197,198,198,198,198,198,197,199,198,199,198,198,198,198,198,198,198,198,198,198,198,198,198,199,198,198,197,198,197,197,198,198,198,198,198,198,198,198,197,198,198,198,199,199,199,198,198,198,197,197,197,198,197,197,197,197,197,197,197,197,197,198,199,198,198,198,197,198,198,199,198,198,198,198,198,197,198,197,197,197,198,198,197,198,199,199,199,199,199,200,199,199,199,200,200,200,199,199,199,199,200,199,198,199,199,200,201,201,204,205,203,203,208,209,212,213,213,213,213,213,214,214,213,214,213,214,214,214,215,214,213,214,214,213,212,212,212,213,212,212,211,212,212,211,209,207,207,207,207,207,207,208,208,208,208,208,208,208,208,207,208,208,208,208,208,209,209,209,209,209,209,209,208,208,208,209,209,209
Small hydro,2/2/2022,198,188,173,183,183,182,183,182,182,181,181,167,165,165,165,166,166,167,167,166,166,165,165,166,166,166,166,166,166,165,165,165,165,165,165,166,166,167,185,187,187,186,186,186,187,187,187,187,187,193,208,208,207,207,207,208,208,207,206,205,204,202,228,228,227,226,226,243,243,245,245,269,286,284,285,285,285,285,285,285,285,285,286,286,286,285,284,284,284,284,285,286,285,286,285,285,284,259,231,201,203,203,204,203,202,202,202,200,183,181,180,180,180,180,179,179,179,178,178,163,138,138,122,116,116,117,117,118,118,117,116,116,117,118,119,119,119,119,118,118,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,119,119,119,119,119,118,117,116,116,118,118,119,119,119,119,119,119,118,119,119,137,184,184,184,185,185,184,183,183,184,184,191,222,234,252,255,255,256,256,256,257,257,265,289,298,298,298,298,298,297,297,297,295,296,296,296,296,296,295,295,296,296,297,297,296,296,296,297,296,295,295,294,293,293,293,293,293,294,294,293,290,264,264,263,264,264,264,264,264,264,264,264,265,237,226,215,204,204,205,206,206,206,206,206,206,184,170,170,169,169,169,169,169,170,171,171,170,170,166,163,163,163,163,163,164,164,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
