Renewables 03/02/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-38,-37,-37,-38,-33,-37,-37,-37,-37,-38,-38,-38,-38,-38,-38,-39,-39,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-39,-40,-40,-39,-40,-40,-40,-40,-40,-40,-40,-39,-40,-39,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-42,-41,-41,-41,-41,-41,-41,-41,-39,-31,-16,31,98,188,369,584,834,1159,1552,1991,2489,2968,3469,4095,4708,5143,5546,6000,6320,6502,6779,7168,7988,8570,8996,9445,9848,10049,10132,10479,10549,10607,10819,10701,11061,11264,11275,11348,11339,11431,11362,11244,11354,11371,11463,11660,11811,11788,11780,11816,11807,11897,11968,11888,11785,11817,11710,11608,11543,11512,11524,11620,11724,11684,11565,11602,11622,11614,11510,11562,11575,11628,11526,11531,11540,11526,11644,11709,11726,11674,11382,11301,11315,11170,11117,11071,11160,11348,11301,11414,11392,11331,11436,11606,11419,11129,10961,10812,10678,10774,10877,10919,10693,10494,10342,10359,10250,10074,9983,10166,9920,9867,9602,9222,8950,8551,8019,7738,7486,7189,6753,6498,5969,5544,5065,4642,3845,3260,2850,2446,1953,1658,1360,1016,718,497,357,197,105,47,24,16,40,37,40,40,40,40,80,89,90,90,90,90,90,89,90,89,89,89,89,90,90,91,91,91,90,89,89,87,72,49,25,16,14,13,11,9,10,10,10,9,9,9,9,8,7,7,7,7,7,7,6,6,7,7,7,7,5,6,6,6,5,3,1,-2,-3,-4,-4,-3,-4,-3,-3
,Wind,699,691,671,651,625,605,606,627,663,682,684,688,703,713,700,693,693,699,696,694,703,723,728,725,716,708,694,688,692,708,720,715,713,699,673,637,617,603,588,582,568,535,515,499,489,475,439,401,382,372,361,348,336,341,334,319,314,300,283,272,271,273,274,263,250,241,244,241,237,245,250,258,269,267,278,290,292,287,280,272,271,275,282,283,283,278,276,270,270,267,258,249,243,234,229,223,227,231,236,239,258,271,269,274,280,286,288,278,269,266,261,261,261,256,240,229,230,230,230,237,253,269,279,281,289,296,296,298,298,296,286,282,280,274,271,272,269,264,264,268,263,264,275,288,298,306,314,346,363,368,382,397,390,399,398,399,376,368,357,361,355,350,341,331,330,336,346,355,372,373,379,375,314,311,316,317,323,324,320,320,323,332,344,362,372,381,368,356,348,362,365,335,319,271,253,255,272,289,288,288,269,285,293,303,326,326,344,373,397,433,462,511,554,563,574,599,615,611,620,637,659,658,646,644,655,658,675,697,706,704,699,695,705,744,773,791,820,844,872,881,877,861,859,856,841,818,806,795,796,786,783,785,818,846,882,936,948,932,914,900,909,908,894,907,930,919,881,855,824,797,791,792,795,775,742,724,715,710,700,688,683,674,667,674,692,713,721,730
,Geothermal,852,851,852,851,851,851,852,852,852,851,853,852,852,853,852,852,852,852,852,852,852,852,853,853,852,853,853,853,852,852,851,852,852,853,852,852,851,851,852,852,853,851,851,851,851,851,831,778,768,762,762,762,763,763,763,763,763,763,764,763,762,762,762,763,762,763,768,773,773,772,772,772,747,723,721,722,722,722,721,721,721,721,720,720,719,721,721,721,721,721,721,720,720,720,720,720,720,719,719,719,719,719,719,716,713,715,716,716,717,716,717,716,715,714,713,715,715,715,715,714,714,715,717,715,707,706,706,707,707,708,707,707,707,706,705,705,704,705,705,705,704,705,705,706,708,713,712,714,714,715,716,715,715,715,715,714,714,715,714,715,714,715,714,714,725,738,763,762,762,761,761,762,761,762,762,761,760,762,761,762,761,761,760,761,761,761,762,762,761,761,762,761,761,761,761,762,764,763,764,764,764,763,764,764,764,764,763,762,762,763,763,764,765,763,764,765,765,715,715,716,718,718,719,718,718,718,718,718,718,719,719,719,718,718,719,718,719,718,719,719,720,719,719,719,719,720,721,721,722,722,723,722,721,722,722,722,721,720,720,720,721,722,721,721,720,721,720,722,722,721,721,721,720,721,723,724,724,724,723,724,724,724,724,724,724,724,725,725
,Biomass,304,305,305,304,305,302,302,303,303,303,303,302,304,303,302,302,303,302,304,304,304,304,305,303,303,304,304,304,304,303,304,304,304,303,303,302,302,302,302,299,298,300,301,301,302,305,304,302,302,305,302,302,304,304,304,304,304,303,304,304,305,304,304,305,305,304,304,304,303,301,302,301,302,300,299,300,299,302,302,302,302,304,304,303,302,303,305,302,299,299,299,299,298,301,302,303,303,301,301,302,299,298,299,298,296,296,297,299,301,298,297,294,291,292,295,294,290,289,290,290,289,291,289,289,289,288,291,292,293,293,294,296,295,299,301,298,298,297,296,291,291,291,295,295,293,293,294,295,293,294,294,290,290,294,293,295,294,294,294,292,294,295,292,289,289,291,292,291,292,291,292,293,293,292,288,291,291,294,293,294,293,294,292,294,291,292,291,293,295,297,297,302,301,304,305,304,304,305,306,306,304,304,303,302,299,300,298,300,299,300,299,299,301,300,302,299,299,300,301,300,300,303,303,305,304,303,301,301,301,301,302,301,300,301,304,303,303,302,302,304,303,303,304,304,302,303,300,300,300,302,302,299,300,302,304,305,304,304,305,306,304,302,303,306,307,306,304,305,305,305,306,304,304,303,301,303,304,305,305,302,297,295,296,295,297,296,292,291
,Biogas,197,197,198,199,198,198,199,200,199,200,199,199,200,200,200,200,201,201,201,200,201,201,202,201,201,200,200,203,204,204,204,204,204,204,204,204,204,204,205,204,205,204,204,204,205,205,204,204,204,205,204,204,204,204,205,204,204,204,203,203,203,202,203,203,203,203,204,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,201,202,201,201,201,202,203,203,201,201,201,201,202,202,201,201,201,203,202,202,202,202,202,202,203,200,201,201,201,200,201,201,201,201,201,201,201,201,201,201,201,201,200,200,200,201,201,200,200,200,198,197,197,197,196,197,196,196,196,200,199,198,196,197,200,199,197,197,197,197,198,197,197,197,197,197,197,197,197,198,197,197,197,198,197,197,197,197,197,197,197,198,197,197,197,198,198,197,197,199,200,200,200,200,200,200,200,200,201,200,200,201,201,201,202,202,203,201,201,201,201,202,202,203,202,202,202,203,204,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,206,205,206,206,207,201,201,204,202,202,203,203,202,203,203,204,204,204,205,204,203,203,203,203,203,203,203,203,204,203,203,203,203,203,202,202,203,202,202,202,202,202,203,203,203,203,203,204,204,204,204,204,203,204,204
,Small hydro,136,135,135,134,133,133,133,134,134,135,134,134,134,134,134,134,134,134,134,134,135,134,135,135,134,133,133,133,134,134,134,133,133,134,135,135,135,135,135,135,136,136,136,135,134,134,133,134,134,134,134,133,133,133,133,133,133,133,133,160,174,175,176,175,174,173,173,173,173,171,169,170,169,176,176,176,176,176,177,177,176,175,175,174,173,173,163,135,136,136,136,137,137,137,136,136,136,137,138,140,141,141,141,137,136,136,135,135,135,136,138,137,136,137,136,135,135,135,135,136,136,136,135,135,134,134,134,134,134,135,134,120,114,113,113,114,114,114,114,114,114,115,114,115,114,120,134,135,135,136,136,136,135,134,134,115,93,94,93,95,95,96,97,96,95,95,95,95,95,109,136,137,136,136,135,135,135,135,135,135,136,135,135,134,134,133,133,133,134,135,134,135,135,138,141,139,138,139,144,144,143,141,142,173,184,185,196,205,205,206,206,207,208,208,209,209,209,209,209,209,209,209,209,209,209,209,208,209,211,211,211,211,210,210,211,210,211,211,211,211,211,210,211,209,208,208,208,209,209,208,208,208,207,204,193,162,162,163,163,163,163,163,161,145,146,146,146,146,145,143,142,143,143,143,144,146,146,143,139,139,138,138,138,139,139,138,137,137
