Renewables 03/15/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-41,-41,-40,-44,-42,-41,-42,-41,-42,-42,-42,-42,-42,-43,-42,-45,-43,-43,-42,-42,-43,-42,-42,-42,-43,-42,-42,-42,-42,-43,-42,-42,-42,-43,-42,-42,-42,-43,-42,-42,-42,-42,-42,-42,-43,-43,-43,-44,-43,-43,-44,-44,-44,-43,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-45,-44,-45,-45,-44,-44,-45,-45,-45,-44,-44,-44,-44,-44,-44,-44,-45,-43,-39,-24,2,56,152,300,501,768,1118,1537,2004,2482,2982,3548,4108,4732,5193,5610,6166,6668,7166,7739,8382,8913,9347,9637,9702,10000,10247,10343,10453,10452,10181,10015,10055,10355,10273,10200,9983,10153,10256,10516,11046,11140,10944,10105,9752,9826,10057,10059,10099,9775,9900,10043,10116,10212,10127,10028,9538,9252,9269,9220,9336,9667,9836,9934,9654,9637,10019,10239,10164,10137,10223,10266,9972,9688,9607,9502,9294,8950,8780,8761,8785,8752,8773,8938,9059,9068,8892,8899,9137,9552,9749,10010,9469,9213,9310,8798,8162,8415,8511,8739,8923,9304,9147,8805,8951,8931,9079,9254,9074,8128,7560,8146,8336,8326,8083,8108,8187,8022,7818,7564,7501,7144,6330,5762,5683,5461,5240,4892,4289,3743,3428,3173,2898,2476,1997,1671,1415,1127,856,644,467,308,217,115,43,5,-18,-26,-28,-28,-27,-27,-25,-26,-25,-25,-25,-33,-34,-35,-35,-35,-35,-35,-35,-34,-34,-34,-35,-35,-34,-34,-34,-36,-34,-33,-34,-33,-33,-33,-36,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-44,-43,-43,-44,-44,-43,-43,-44,-44,-43,-42
,Wind,1908,1925,1958,2054,2078,2071,2071,2077,2110,2150,2148,2098,2068,2049,2013,1985,1947,1911,1917,1911,1885,1875,1897,1929,1985,2045,2083,2095,2103,2109,2115,2112,2105,2098,2078,2059,2014,1926,1865,1866,1847,1802,1773,1743,1711,1694,1654,1626,1615,1624,1660,1669,1657,1645,1616,1585,1587,1623,1674,1742,1815,1859,1878,1884,1874,1869,1849,1870,1901,1917,1915,1911,1915,1883,1886,1914,1941,1965,1963,1930,1888,1883,1907,1930,1946,1956,1995,2026,2033,2018,2008,1996,1970,1880,1921,1971,1995,2013,2011,2028,2026,2006,1938,1897,1900,1902,1874,1876,1882,1903,1921,1947,2000,2021,2063,2108,2175,2255,2317,2352,2405,2440,2487,2535,2571,2632,2689,2713,2714,2706,2683,2703,2745,2797,2857,2930,2974,3056,3135,3139,3133,3174,3183,3156,3161,3172,3264,3255,3277,3326,3396,3460,3512,3586,3614,3670,3651,3645,3696,3707,3703,3731,3766,3799,3817,3828,3843,3933,4135,4191,4227,4227,4255,4285,4340,4361,4426,4506,4578,4614,4654,4644,4670,4666,4688,4674,4699,4703,4734,4708,4645,4640,4654,4663,4654,4632,4633,4578,4568,4553,4534,4507,4506,4508,4508,4539,4504,4466,4446,4458,4417,4381,4327,4348,4356,4383,4424,4528,4515,4486,4464,4502,4507,4486,4501,4549,4544,4557,4614,4632,4646,4707,4733,4799,4843,4875,4924,4962,4978,4980,4994,5024,5063,5099,5033,4853,4849,4884,4945,5012,5046,5088,5106,5067,5031,4989,4945,4886,4713,4721,4737,4736,4702,4727,4720,4733,4717,4756,4817,4775,4804,4839,4853,4834,4871,4864,4866,4822,4744,4722,4722,4723,4649,4642,4699,4731,4754,4820
,Geothermal,897,897,897,897,896,897,897,897,898,897,896,897,897,897,897,897,896,897,896,896,896,896,897,896,898,898,898,898,899,898,899,898,898,897,893,892,889,891,890,891,891,891,891,891,892,891,892,891,891,891,892,892,891,891,891,891,890,890,890,891,890,891,891,890,890,890,890,890,891,890,890,891,891,891,890,891,891,890,890,890,889,889,890,890,890,891,891,889,892,892,892,892,893,891,889,891,892,890,891,891,891,891,889,889,888,888,889,889,888,888,888,887,888,888,887,887,886,886,886,881,884,884,883,884,884,884,885,884,885,884,884,883,883,884,884,883,883,882,882,883,881,881,880,880,880,881,880,881,882,881,882,882,883,882,882,883,883,883,883,883,884,883,883,883,883,883,883,883,884,883,884,884,883,884,884,884,884,884,884,883,883,883,884,884,881,882,884,885,884,884,883,885,884,885,885,886,888,888,887,887,888,888,888,889,887,889,890,890,890,891,891,889,889,890,889,890,890,890,890,890,890,890,890,890,890,890,891,889,834,804,789,779,763,742,725,719,716,729,738,738,739,745,744,778,816,844,858,858,857,851,854,866,872,873,874,884,886,886,887,888,889,883,861,850,837,835,847,859,875,886,890,890,889,890,894,901,902,902,901,902,901,901,900,900,899,899,900,900
,Biomass,322,323,319,321,318,319,320,319,320,318,319,319,321,321,319,320,322,319,317,318,316,319,322,323,321,324,321,324,321,321,324,325,321,321,323,323,321,323,322,322,322,319,320,323,323,325,324,324,323,325,325,323,321,322,322,324,321,323,323,324,322,324,324,323,323,322,321,322,322,324,322,319,317,319,319,319,319,318,318,320,320,320,317,318,318,315,315,316,317,319,317,316,318,317,325,331,329,332,332,332,331,333,336,333,331,333,332,333,334,335,332,332,333,329,328,329,327,322,323,324,321,320,322,324,324,326,331,333,332,330,321,307,305,305,303,301,299,298,300,303,307,308,306,309,309,308,306,307,308,306,304,306,305,307,304,304,306,305,305,306,302,302,303,303,306,308,304,306,303,304,305,307,304,304,306,304,306,302,301,306,307,308,307,308,306,307,304,309,305,307,305,308,312,313,310,313,320,321,323,320,322,325,325,326,326,324,324,321,319,320,320,322,324,324,322,322,324,325,325,324,325,325,328,325,328,325,327,321,317,321,323,321,322,323,322,321,323,322,323,322,324,321,321,320,322,320,322,320,321,318,320,321,320,320,317,317,318,314,312,310,302,300,299,299,300,301,291,282,285,284,281,280,280,278,278,282,281,276,282,283,284,283,281,279,280,282,283,282
,Biogas,212,211,211,211,211,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,212,213,212,212,212,212,212,212,212,212,213,212,212,212,212,212,212,212,212,212,212,213,213,213,212,213,212,213,213,213,213,213,213,212,213,213,212,212,213,213,213,214,213,213,212,212,212,212,212,212,212,213,213,212,212,212,212,212,211,212,212,213,213,213,213,213,213,213,213,213,214,214,213,213,212,213,212,213,214,213,212,211,212,212,212,212,212,211,210,210,209,211,211,211,211,212,212,212,211,211,211,211,211,211,212,211,211,211,209,201,194,195,193,192,192,190,191,190,191,189,190,191,190,191,189,189,189,189,189,187,188,189,188,188,189,189,189,188,188,188,187,187,188,187,189,188,190,189,189,191,189,190,188,191,192,192,191,191,191,191,191,192,192,192,193,192,192,192,192,192,192,192,192,193,193,195,194,193,193,194,195,194,194,193,196,196,194,191,192,193,193,193,193,193,193,193,193,193,192,193,193,193,193,193,193,193,194,195,196,196,196,196,196,196,196,197,195,196,195,195,195,196,195,195,196,195,196,196,196,195,195,195,195,195,196,194,194,195,194,195,194,194,195,194,195,195,195,195,194,194,195,195,195,195,194,194,195,196,194,194,194,194,194,194,194,194,194
,Small hydro,159,159,143,138,138,139,140,140,139,139,139,139,137,135,135,136,136,135,135,135,135,136,135,135,136,137,138,136,135,133,133,135,136,137,137,135,134,135,135,136,136,135,134,133,134,132,131,132,132,136,139,139,138,138,139,139,140,140,140,139,139,139,138,138,138,138,138,138,138,138,136,161,177,177,197,199,199,201,202,202,203,202,201,201,200,197,193,193,193,194,197,200,200,200,201,200,201,201,200,200,200,200,201,204,204,203,203,203,203,203,193,162,163,164,162,161,162,162,161,145,120,119,106,105,106,106,106,106,105,104,104,104,104,106,107,107,107,107,106,103,103,103,103,102,103,101,98,99,99,99,99,99,100,98,97,98,99,100,100,100,100,100,100,101,100,100,100,101,101,100,98,98,98,98,98,98,99,98,98,97,97,98,98,98,99,99,100,99,100,100,99,97,97,98,99,100,100,101,100,99,100,100,100,100,101,113,154,155,153,153,154,156,157,157,157,175,192,202,223,223,222,222,222,223,223,224,224,224,224,223,222,221,221,221,221,222,223,223,223,223,222,223,223,223,222,221,220,220,220,221,221,222,223,224,213,203,203,203,203,203,202,202,203,203,203,202,174,162,161,161,161,160,158,159,159,160,162,162,162,162,161,161,161,162,162,161,162,162
