Renewables 03/21/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-42,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-41,-41,-41,-42,-42,-42,-41,-41,-41,-41,-41,-41,-42,-42,-42,-42,-42,-43,-43,-42,-42,-42,-42,-43,-44,-44,-44,-44,-43,-43,-44,-44,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-43,-44,-43,-44,-43,-35,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-18,-10,-5,0,1,1,1,3,12,29,67,140,273,440,704,1018,1355,1815,2316,2826,3277,3876,4563,5238,5839,6389,6953,7652,8153,8789,9396,9874,10251,10391,10636,10830,10770,10903,11016,11327,11652,11838,11839,11792,11708,11676,11769,11836,11787,11644,11589,11781,11961,11989,11900,11924,11889,11896,11908,11943,11959,11948,11951,11984,11856,11738,11828,11824,11858,11940,11860,11868,12124,12349,12271,12135,12123,12100,12156,12058,11951,12022,11993,11924,11901,12047,11759,11833,12052,12340,12443,12497,12545,12538,12364,12490,12595,12656,12680,12417,12297,12244,12309,12227,12264,12281,12211,11825,12401,12533,12223,11643,11528,11636,11777,11596,11404,11591,11634,11629,10815,10461,10197,10223,10130,9960,10307,10313,10223,10182,10279,9942,9560,8914,8609,8748,9000,8633,8127,7705,7313,6747,6134,5491,4923,4186,3554,3006,2449,1970,1593,1209,905,672,486,369,287,186,147,142,139,148,147,148,120,94,92,81,61,51,49,47,50,46,51,45,47,49,52,44,36,35,32,33,33,33,32,34,32,31,32,31,-12,-36,-36,-36,-36,-36,-37,-36,-36,-36,-36,-36,-36,-37,-37,-37,-37,-37,-37,-37,-37,-36,-36
,Wind,4798,4802,4896,4946,4980,4980,5009,4987,4905,4862,4759,4657,4673,4675,4705,4708,4731,4771,4763,4760,4735,4823,4869,4920,4933,4956,4963,4981,4993,5009,5002,4920,4836,4733,4604,4445,4344,4291,4221,4147,4108,4086,4080,4076,4026,3951,3892,3852,3794,3745,3703,3620,3555,3541,3538,3534,3508,3446,3418,3439,3386,3361,3338,3325,3272,3217,3164,3092,3112,3129,3121,3147,3173,3148,3128,3126,3105,3020,2944,2833,2759,2732,2813,2886,2917,2914,2917,2889,2752,2646,2638,2666,2639,2600,2573,2567,2559,2531,2478,2448,2441,2406,2362,2312,2264,2199,2125,1983,1908,1833,1785,1773,1751,1734,1747,1806,1791,1709,1722,1674,1623,1556,1490,1416,1364,1306,1276,1279,1263,1254,1275,1304,1310,1317,1340,1355,1371,1320,1319,1377,1388,1483,1501,1481,1464,1483,1515,1559,1569,1601,1678,1756,1847,1941,1992,2042,2071,2039,2103,2110,2109,2058,1993,1945,1913,1868,1836,1799,1776,1810,1867,1927,1992,2043,2112,2119,2157,2184,2198,2236,2228,2218,2168,2159,2134,2106,2092,2105,2137,2139,2179,2242,2290,2362,2398,2461,2511,2538,2566,2536,2527,2560,2564,2614,2641,2648,2676,2710,2775,2823,2821,2794,2737,2721,2708,2668,2638,2607,2650,2718,2764,2812,2840,2860,2915,2958,2963,2926,2922,2991,3050,3079,3052,3054,3036,3077,3092,3073,3053,3034,3020,3023,3036,3018,3033,3062,3052,3038,3022,3002,2964,2916,2875,2825,2745,2624,2483,2399,2351,2296,2226,2188,2199,2243,2233,2225,2197,2165,2175,2236,2274,2299,2346,2383,2412,2453,2520,2562,2596,2648,2704,2724,2754,2771,2746,2721,2693,2659
,Geothermal,810,809,809,809,809,809,809,809,809,809,809,808,810,809,809,809,809,809,809,809,809,809,809,809,808,810,811,811,809,810,810,809,809,808,809,808,808,808,808,808,808,808,809,809,808,808,809,809,809,809,808,809,809,810,809,810,809,811,811,810,809,810,809,810,810,810,811,810,810,810,809,809,808,809,810,806,809,810,809,808,808,808,808,808,807,808,807,809,810,809,809,802,805,809,810,809,810,809,809,808,809,807,806,808,807,807,806,807,807,807,806,806,806,806,807,806,807,808,808,808,807,807,808,807,806,806,806,805,805,805,804,804,804,804,803,802,802,803,802,801,800,799,799,799,798,798,798,799,798,797,796,798,796,796,797,796,795,795,794,795,795,795,795,794,793,794,793,793,793,793,793,793,791,790,793,794,794,793,792,792,792,793,791,791,792,792,790,792,791,791,791,792,790,791,791,792,793,792,793,794,793,793,794,794,794,794,794,794,795,794,794,794,795,795,795,794,794,795,795,794,794,794,794,795,796,796,796,796,796,796,797,796,798,797,798,798,798,799,799,799,799,799,800,800,800,801,802,801,801,800,799,799,799,799,799,799,799,799,799,799,798,798,799,799,799,798,798,798,798,797,797,797,797,796,796,797,796,795,795,796,795,795,796,796,796,796,796,796
,Biomass,258,260,259,260,259,260,261,260,260,260,261,260,258,260,260,261,261,262,263,263,261,261,261,260,262,264,263,263,262,262,262,262,263,263,263,264,265,265,263,263,263,264,263,263,263,264,263,260,260,259,260,260,260,260,259,258,258,256,257,258,257,258,258,259,257,258,259,259,257,256,258,258,255,257,255,256,258,258,259,257,258,259,260,257,256,257,260,259,258,258,256,253,254,256,257,258,258,259,257,258,258,254,256,255,253,255,255,255,256,258,253,250,250,252,250,250,252,252,254,254,251,251,251,253,251,249,247,250,249,249,249,248,251,251,252,251,250,250,248,251,247,247,245,247,248,248,246,248,251,251,250,251,251,252,250,250,247,245,246,246,248,248,246,247,245,246,244,248,249,251,248,249,249,247,248,250,249,250,248,249,252,250,251,251,252,252,251,253,252,254,251,254,255,261,262,266,265,266,266,267,267,268,269,270,271,270,268,268,268,269,269,269,268,269,269,271,270,269,270,269,268,267,269,268,268,268,268,269,268,267,269,268,269,270,270,272,270,270,270,270,269,270,271,272,269,270,270,269,270,269,271,269,266,256,251,248,249,247,247,245,243,250,241,239,239,241,242,241,239,238,239,239,237,239,238,239,236,237,238,239,239,239,240,242,242,242,242,240
,Biogas,195,195,195,196,196,196,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,195,195,194,194,195,195,195,195,195,196,195,196,196,197,196,196,196,196,195,195,195,195,195,195,195,195,195,195,195,194,194,194,194,194,194,195,194,195,195,195,195,195,195,194,194,194,194,194,195,193,193,194,194,195,194,194,194,194,194,193,194,194,194,193,194,193,194,194,194,194,194,195,194,193,194,192,192,192,192,192,193,193,193,193,193,193,193,193,193,192,192,194,192,193,194,195,194,194,194,194,194,194,194,194,194,195,195,195,195,196,197,197,195,196,196,197,196,196,196,196,196,195,196,197,196,196,195,195,195,195,196,196,196,196,196,197,196,196,197,197,197,197,196,196,198,198,198,198,198,198,198,199,198,197,197,198,197,199,198,198,198,198,199,198,199,198,198,198,199,199,198,199,198,198,197,197,198,197,197,197,198,197,198,197,197,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,199,199,199,198,198,199,198,199,199,198,199,198,198,199,198,198,199,198,198,199,198,198,198,198,197,197,197,197,198,197,198,197,197,197,197,198,197,197,197,197,197,198,196,197,197,196,197,197,196,196,196,196,196,197,197,196,196,196,196,196,196,196,196,197,196,196,197
,Small hydro,149,149,150,150,149,149,150,150,150,150,150,151,151,150,150,149,148,149,149,149,148,148,147,147,147,147,147,147,147,147,148,148,147,147,147,148,149,149,150,150,149,149,149,149,149,149,149,150,150,149,161,161,162,162,161,160,159,159,158,158,159,164,170,170,171,169,169,169,168,167,167,182,190,211,212,211,212,210,210,209,208,209,209,211,211,211,210,210,210,210,210,211,209,208,207,206,206,206,196,166,167,167,167,167,168,167,167,167,167,165,162,162,161,161,160,160,160,161,160,158,158,159,159,158,157,156,154,155,155,157,156,157,158,157,156,157,157,156,154,155,155,156,155,159,159,160,160,159,156,157,157,158,159,161,162,163,162,162,161,161,161,161,160,159,159,159,159,159,159,160,158,157,159,158,157,159,158,158,158,157,156,156,155,159,162,162,163,164,166,165,166,165,165,164,164,165,165,165,165,166,166,166,166,165,164,168,171,172,172,172,172,174,174,174,175,190,216,215,213,213,212,212,212,213,214,214,214,213,212,211,211,211,210,210,210,210,208,209,210,210,210,208,207,207,207,208,207,206,206,206,206,206,206,206,208,208,207,207,206,207,206,207,207,207,207,206,193,169,163,163,164,164,165,164,163,163,163,157,146,146,146,145,145,145,145,145,145,145
