Renewables 03/14/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-12,-12,-12,-12,-12,-12,-12,-12,-13,-13,-13,-13,-13,-13,-13,-13,-13,-12,-12,-12,-12,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-15,-14,-14,-14,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-16,-15,-15,-15,-15,-16,-16,-16,-16,-16,-11,25,43,48,52,56,62,69,69,69,73,84,87,80,149,258,430,629,984,1405,1860,2338,2956,3538,4201,4841,5426,6093,6591,7178,7709,8267,8884,9321,9551,9937,10461,11184,11595,11780,11935,12022,12097,11925,11594,11617,11658,11766,11864,12077,12164,12167,12278,12010,11571,11744,11676,11524,11459,11510,11523,11749,11953,11939,11927,11931,11944,11781,11798,11853,12220,12403,12460,12292,12114,12068,12140,12191,12037,12125,12147,12070,12258,12378,12406,12469,12475,12398,12320,12497,12456,12330,12326,12426,12458,12477,12540,12520,12410,12475,12672,12738,12782,12813,12803,12801,12805,12790,12736,12546,11891,11730,11591,11788,12180,12321,12293,12294,12303,12301,11868,11019,10431,10956,11642,11949,11760,11474,11358,11258,11297,10978,10481,10093,9452,9248,9435,9278,8732,8112,7480,6768,6219,5601,4983,4364,3583,2878,2293,1827,1391,1061,788,584,401,268,198,169,148,93,62,62,63,64,66,66,67,67,68,51,44,42,42,44,44,41,45,45,44,43,44,40,41,42,43,43,42,42,42,42,42,42,37,12,7,7,7,7,7,7,7,7,7,6,2,-7,-14,-27,-36,-37,-38,-40,-40,-40,-40,-41
,Wind,3784,3706,3641,3635,3679,3693,3710,3715,3656,3530,3523,3525,3477,3449,3481,3508,3509,3532,3590,3596,3618,3666,3689,3652,3736,3780,3800,3843,3925,3958,3912,3872,3814,3772,3752,3816,3877,3853,3773,3747,3749,3758,3782,3798,3796,3774,3773,3794,3789,3809,3800,3864,3887,3919,3877,3790,3724,3641,3533,3469,3418,3350,3275,3222,3150,3100,3049,2972,2866,2793,2712,2646,2591,2581,2557,2508,2476,2420,2344,2322,2339,2377,2366,2324,2337,2329,2222,2121,2041,1988,1916,1838,1802,1741,1661,1606,1563,1517,1463,1397,1348,1305,1256,1212,1196,1191,1221,1267,1286,1303,1321,1320,1292,1245,1209,1163,1152,1107,1076,1034,1032,999,959,897,909,934,968,977,981,977,981,974,984,982,990,972,992,999,1045,1047,1014,985,961,906,876,885,862,846,843,865,872,867,871,837,805,771,770,739,718,706,699,693,719,715,708,707,705,692,725,736,724,737,734,720,700,709,713,719,754,766,771,779,776,777,801,821,812,812,801,790,779,794,802,825,866,873,897,911,970,989,1008,1016,1029,1040,1079,1120,1192,1244,1301,1348,1384,1441,1476,1507,1495,1490,1488,1493,1524,1566,1591,1595,1601,1610,1592,1568,1544,1547,1544,1534,1537,1561,1602,1640,1653,1689,1739,1767,1819,1868,1928,1952,1956,1935,1893,1842,1800,1767,1748,1736,1720,1704,1701,1708,1722,1748,1764,1758,1765,1790,1823,1829,1831,1825,1822,1806,1778,1776,1796,1830,1827,1838,1853,1855,1831,1814,1830,1854,1870,1873,1876,1895,1905,1898,1888,1888,1896,1902
,Geothermal,895,897,895,895,895,896,895,895,896,896,896,895,895,896,897,896,897,896,896,896,896,896,896,896,895,896,896,896,896,896,896,895,895,896,895,895,896,895,896,896,896,896,896,896,896,897,898,900,900,901,902,904,904,904,904,904,904,906,907,906,906,908,908,908,908,909,908,908,908,907,907,907,907,908,907,907,907,908,909,908,907,908,908,908,908,907,907,908,908,907,908,908,906,904,907,907,907,908,907,905,900,902,900,901,899,900,899,899,899,897,899,898,898,898,898,897,897,897,896,896,893,893,896,898,899,894,896,897,897,896,892,895,896,894,895,892,892,892,893,893,894,894,893,893,893,894,893,893,894,892,893,892,893,892,892,892,892,880,858,862,862,862,861,862,860,861,861,860,859,858,858,858,858,858,858,857,857,859,862,874,887,889,889,890,890,887,888,888,889,888,887,885,885,885,885,886,847,847,836,837,837,838,838,837,837,850,855,854,854,853,860,870,876,878,883,885,885,885,886,888,889,889,890,889,889,889,889,890,889,890,889,890,889,890,890,891,890,890,890,892,891,892,892,892,891,892,891,891,891,891,891,890,890,891,890,890,891,891,890,890,890,890,890,890,890,890,892,890,891,891,889,889,889,889,890,890,889,889,889,889,889,889,890,890,890,895,896,897
,Biomass,272,275,277,276,278,279,279,277,278,279,278,278,279,278,277,275,275,274,271,274,272,274,276,275,276,276,279,279,276,276,277,278,278,277,277,277,279,280,280,277,279,279,278,277,276,277,278,279,277,277,276,276,275,276,276,275,275,275,275,274,274,274,274,273,273,272,272,275,274,272,273,276,275,274,274,272,270,270,272,272,271,272,276,275,273,272,271,273,279,279,275,279,281,280,280,281,280,282,279,280,281,282,278,279,278,279,279,278,277,275,279,279,283,291,291,291,288,288,288,286,286,288,285,281,281,284,283,282,285,286,287,286,286,287,288,288,288,289,289,292,288,291,289,291,292,293,292,292,291,291,290,290,292,291,289,287,284,288,287,289,288,289,287,290,289,287,289,292,291,291,293,293,293,293,293,291,292,294,299,301,303,304,304,308,307,309,304,307,310,315,326,329,331,339,338,338,344,345,346,347,347,351,352,352,351,350,351,355,357,356,357,357,356,355,354,353,355,354,353,356,356,357,357,357,357,357,358,357,357,356,356,356,352,351,353,353,352,354,354,356,355,357,357,357,355,355,355,354,356,356,356,356,356,352,348,349,350,349,348,351,349,348,348,346,345,336,329,318,317,318,319,321,317,316,320,323,322,322,322,322,322,324,324,323,321,323,324,323
,Biogas,214,215,215,214,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,215,215,215,214,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,215,216,215,215,217,216,215,215,215,215,215,215,215,215,215,214,213,216,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,212,212,212,212,212,210,205,204,206,205,204,204,204,206,207,207,207,207,206,206,206,206,206,206,206,206,206,207,207,207,209,210,212,213,213,213,213,213,213,214,213,213,213,213,214,214,214,214,214,214,213,214,213,214,214,213,213,213,213,211,213,214,213,213,213,213,213,213,214,213,213,213,213,213,213,213,213,213,213,212,215,213,213,213,213,213,214,213,214,213,213,213,213,202,203,202,203,202,203,202,201,202,202,203,203,203,203,203,203,202,202,202,202,203,203,202,202,202,202,202,205,206,208,208,208,209,208,207,208,208,208,210,211,212,212,213,213,212,212,212,212,212,214,215,216,214,214,214,213,213,212,212,213,213,212,212,213,212,213,212,212,212,212,212,211,212,211,211,211,211,211,211,211,211,211,211,211,211,210,211,210,210,210,210,210,211,210,211,211,211,211,211,212,211,211,211,211,212
,Small hydro,145,145,146,146,146,147,147,146,147,146,146,146,146,146,146,146,146,146,146,147,147,147,147,146,146,146,146,146,146,147,147,147,146,146,146,146,146,146,147,147,147,146,147,147,147,147,147,147,147,147,148,147,147,147,147,147,147,148,147,170,188,188,188,188,188,188,188,188,188,188,188,188,188,187,186,205,206,207,207,209,208,208,208,208,207,207,197,176,166,167,167,167,167,167,167,167,167,167,167,167,167,167,166,166,166,166,167,167,167,168,169,168,167,167,167,167,168,168,168,153,129,128,112,107,106,107,107,107,107,107,107,107,107,107,107,107,106,106,107,106,105,104,104,104,103,103,102,99,98,98,98,98,98,98,98,98,97,97,97,97,98,98,98,98,98,98,99,99,98,98,99,99,99,100,99,100,99,99,99,99,99,99,100,99,100,100,100,100,100,100,100,100,100,108,143,143,145,144,144,143,142,142,142,143,144,144,160,160,160,160,160,161,161,162,161,176,208,221,221,221,221,221,221,223,224,224,224,224,224,223,221,221,221,221,221,220,219,220,219,220,220,220,221,221,221,221,220,220,219,220,219,220,220,220,220,180,180,180,180,180,180,180,180,182,182,181,163,162,162,161,160,160,160,160,161,161,161,161,161,161,162,162,162,162,161,160,159,159
