Renewables 03/10/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-39,-39,-40,-40,-41,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-41,-41,-41,-41,-41,-41,-41,-42,-42,-42,-43,-42,-43,-43,-43,-43,-40,-32,-9,41,131,242,417,630,919,1277,1711,2179,2702,3260,3806,4428,5013,5593,6165,6764,7374,7985,8464,8889,9306,9771,10079,10331,10635,10862,10996,11077,11347,11488,11550,11573,11648,11663,11686,11775,11965,12004,11940,11975,12012,12004,11741,11720,11810,11842,11839,11869,11770,11748,11940,12045,12094,12147,12229,12181,11813,11639,11765,12025,12138,11929,11996,12017,12019,12124,12001,11868,11958,11731,11375,11354,11520,11448,11569,11432,11393,11339,11427,11294,11374,11347,11416,11501,11500,11610,11711,11608,11523,11696,11836,11681,11411,11457,11291,11072,11046,11061,11332,11334,11269,11234,11036,11073,11000,10812,10623,10732,10768,10690,10681,10696,10627,10691,10709,10602,10440,10089,9496,9053,8702,8258,7900,7455,6970,6460,5966,5434,4843,4259,3493,2745,2278,1862,1503,1179,836,597,359,232,156,102,98,95,97,97,97,98,137,148,148,148,145,137,127,118,115,113,113,113,113,113,113,113,113,110,61,51,51,52,52,51,51,50,50,50,49,41,24,6,1,-1,-3,-4,-4,-4,-4,-2,-4,-4,-5,-5,-6,-8,-8,-8,-8,-8,-8,-8,-8,-9,-11,-11,-11,-12,-12,-12,-12,-12,-12,-11,-12
,Wind,3314,3249,3190,3161,3132,3094,3067,3040,3000,2925,2889,2858,2819,2802,2765,2742,2715,2680,2661,2630,2583,2543,2502,2525,2560,2580,2598,2611,2610,2597,2581,2547,2514,2516,2541,2590,2636,2673,2697,2720,2784,2875,2960,3035,3076,3102,3114,3145,3162,3183,3215,3272,3329,3414,3464,3461,3465,3500,3528,3561,3575,3582,3602,3651,3666,3691,3714,3743,3787,3809,3787,3763,3746,3730,3723,3710,3686,3670,3656,3635,3621,3583,3547,3492,3479,3474,3467,3434,3354,3282,3246,3223,3206,3232,3221,3222,3206,3249,3261,3259,3254,3239,3229,3231,3287,3471,3650,3756,3806,3858,3861,3779,3678,3579,3526,3522,3530,3546,3524,3554,3515,3444,3431,3434,3387,3391,3347,3263,3213,3132,3091,3024,2966,2932,2932,2864,2848,2824,2803,2781,2772,2755,2680,2641,2608,2522,2426,2363,2291,2221,2143,2109,2115,2090,2027,2056,2069,2032,2013,1982,1963,1915,1846,1828,1834,1843,1906,1949,2023,2070,2055,2086,2137,2180,2243,2271,2324,2391,2390,2410,2377,2340,2312,2314,2311,2290,2237,2204,2206,2206,2207,2176,2175,2183,2183,2159,2128,2098,2075,2025,2010,2000,2026,2026,2054,2097,2093,2136,2136,2119,2128,2124,2062,2025,2067,2118,2133,2138,2069,1988,1933,1906,1873,1873,1886,1888,1887,1897,1913,1926,1958,1946,1922,1914,1876,1816,1753,1719,1690,1698,1717,1762,1822,1874,1913,1923,1922,1912,1905,1897,1882,1869,1844,1832,1833,1827,1798,1781,1771,1753,1756,1769,1804,1842,1894,1934,1999,2038,2068,2086,2119,2134,2155,2165,2142,2103,2090,2069,2058,2032,1988,1927,1902,1909,1884,1846,1814,1828
,Geothermal,931,932,933,933,934,935,935,935,937,936,937,936,936,936,937,936,936,936,936,936,936,936,936,936,937,937,936,936,936,936,937,937,937,937,938,938,936,937,938,937,937,938,937,937,936,938,937,936,936,937,938,937,937,937,936,936,936,936,936,936,935,934,934,935,935,935,935,935,934,935,935,935,935,935,935,934,933,933,933,933,933,933,934,935,934,935,935,933,938,937,936,935,934,933,933,933,934,934,934,934,935,933,933,934,934,934,934,936,937,937,937,937,936,937,938,937,937,934,938,937,937,937,937,935,936,936,937,936,936,937,936,937,937,936,935,934,918,897,894,895,895,894,894,894,894,897,899,899,897,901,903,906,920,930,934,933,933,932,932,933,932,935,935,935,935,935,934,935,934,934,934,933,933,934,934,934,934,933,933,934,934,933,932,933,933,932,932,932,932,932,932,931,931,932,932,932,932,931,931,931,931,932,932,931,930,931,932,932,932,931,932,932,933,934,934,934,934,935,936,936,936,936,936,937,937,938,938,938,938,939,938,938,938,939,938,939,938,938,938,938,939,938,938,939,940,939,939,940,939,940,939,940,939,939,939,939,939,938,939,938,939,938,939,938,939,939,938,939,938,939,939,938,938,937,938,938,938,937,937,937,936,937,938,937,937,938,937,937
,Biomass,267,264,264,263,265,265,263,263,264,264,264,263,263,265,267,264,264,264,263,264,264,264,265,264,263,263,263,264,262,261,262,264,265,263,264,263,264,264,266,264,262,263,263,265,265,266,266,264,264,264,265,264,262,263,263,263,263,263,260,259,256,253,252,253,253,252,253,253,252,254,256,255,256,256,255,255,257,256,256,256,257,257,271,277,280,277,278,280,281,282,282,281,282,282,281,281,282,284,286,283,283,283,281,282,283,282,283,282,282,282,284,283,282,281,282,283,281,281,279,280,282,283,283,285,283,284,283,288,287,289,291,291,290,288,287,287,286,285,288,288,288,289,288,288,288,289,287,287,288,287,287,287,289,285,287,288,289,289,290,289,287,288,288,286,286,287,287,289,289,288,287,289,289,287,287,288,289,289,290,289,289,288,288,288,288,288,289,289,290,291,292,292,293,295,296,296,295,296,295,295,294,295,294,293,293,289,290,291,290,292,292,291,293,291,291,292,289,290,290,289,288,288,288,287,288,284,281,272,280,279,284,286,287,286,288,289,289,291,291,292,292,293,292,291,290,291,290,291,291,290,293,292,292,291,291,290,292,290,289,291,292,292,293,291,292,291,290,290,289,290,290,289,289,288,289,288,290,286,276,270,270,269,264,264,264,265,267,268
,Biogas,205,208,211,212,212,212,213,213,213,214,213,213,213,213,213,213,214,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,213,213,214,213,213,213,213,213,213,213,213,213,213,213,213,213,213,212,212,212,212,213,212,212,213,212,212,212,212,212,212,212,212,211,212,211,213,211,211,210,212,211,211,211,211,211,211,211,211,210,210,210,210,210,210,209,209,209,209,209,209,208,209,209,208,208,208,209,208,208,209,209,209,210,208,208,208,208,208,208,208,207,207,208,208,208,210,210,210,209,210,209,210,211,210,210,210,210,211,210,209,209,209,209,209,209,209,209,209,209,209,210,209,209,210,211,211,211,211,212,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,211,211,211,212,211,212,212,212,212,212,212,212,212,213,212,213,213,212,212,212,212,212,212,212,212,213,213,213,213,212,213,214,213,213,213,213,213,213,214,214,213,213,213,213,214,213,213,213,214,214,214,214,214,213,215,214,213,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,213,213,215,214,213,213,212,212,212,213,212,212,212,212,212,213,211,212,212,211,211,212,212,212,212,212,213,212,213,212,212,212,213,212,213,213,213,212,213,213
,Small hydro,155,155,155,155,155,154,153,153,153,152,152,152,151,151,151,152,152,152,153,153,153,153,153,153,153,153,153,152,151,151,152,152,153,153,155,154,153,153,153,152,152,151,151,150,150,150,150,151,151,153,153,153,153,153,153,153,153,152,152,152,152,152,152,151,151,152,153,153,153,153,152,153,152,151,151,151,151,153,153,154,154,154,154,153,152,151,150,151,151,151,151,151,151,152,151,151,151,152,159,157,156,156,156,156,156,155,154,139,114,117,117,117,117,116,117,117,117,117,117,117,117,117,117,117,116,117,117,116,117,117,117,118,119,119,119,119,120,118,117,117,116,117,118,118,117,117,117,118,118,111,112,117,118,118,117,111,108,108,108,108,108,108,108,108,109,107,110,110,109,108,107,108,108,108,107,107,108,107,107,107,107,107,108,108,108,108,108,109,109,109,109,109,109,117,156,156,157,157,156,155,155,155,155,169,187,196,209,210,209,209,209,209,209,210,210,210,210,210,208,208,208,208,208,208,208,209,210,210,209,208,207,207,207,207,206,206,206,206,207,207,208,206,205,205,204,204,205,200,196,197,197,197,196,193,190,189,189,189,189,189,190,191,191,190,191,191,190,189,187,187,187,186,186,187,188,188,185,184,174,149,142,142,142,142,142,142,142,142
