Renewables 03/08/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-40,-41,-43,-44,-43,-41,-41,-41,-40,-40,-40,-40,-40,-40,-40,-40,-39,-40,-40,-39,-39,-40,-42,-42,-42,-42,-42,-41,-39,-39,-39,-39,-42,-41,-39,-40,-39,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-43,-43,-43,-43,-43,-43,-43,-44,-44,-43,-43,-43,-44,-44,-43,-42,-25,21,59,135,257,417,638,947,1313,1774,2294,2856,3469,4049,4688,5320,5951,6557,7157,7761,8351,8880,9310,9664,10086,10766,11158,11407,11634,11838,12171,12380,12385,11883,11289,11074,11222,11849,12477,12684,12456,12605,12548,12823,13086,13060,12664,12860,13139,13080,13004,13019,12945,12947,12935,12824,12763,12745,12736,12793,12799,12635,12600,12602,12553,12517,12451,12311,12299,12262,12172,12232,12290,12393,12525,12608,12530,12564,12489,12416,12394,12271,12254,12284,12281,12395,12452,12355,12176,12126,12026,11895,11974,12041,12187,12091,11807,11600,11620,11679,11774,11610,11799,11522,11521,11565,11451,11279,11101,11224,11164,10685,10334,10177,9832,9736,9486,9448,9642,9435,9174,8854,8552,8287,8625,8722,8389,7829,7193,6569,5929,5252,4569,3890,3230,2617,2041,1607,1113,707,483,320,191,80,55,41,19,-12,-13,-13,-10,29,39,39,40,40,38,16,10,10,9,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,10,8,7,7,6,6,6,12,7,7,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,1,-7,-19,-30,-38,-42,-41,-39,-39,-39,-39
,Wind,1103,1120,1134,1118,1091,1093,1105,1104,1105,1085,1072,1059,1061,1055,1037,1045,1029,1000,976,950,950,937,919,901,887,886,881,885,906,932,941,936,922,886,879,854,826,811,825,815,794,787,801,798,788,786,776,765,772,755,752,764,769,751,746,734,715,690,671,655,652,657,663,661,644,642,638,615,610,608,614,602,597,596,604,601,587,587,591,590,590,583,588,596,599,597,605,607,626,636,637,657,681,671,666,674,677,701,726,743,755,734,720,754,751,745,735,740,737,707,690,662,658,662,697,723,725,731,728,729,724,727,732,764,790,802,815,812,798,786,793,786,787,787,781,780,793,788,764,744,735,708,688,690,672,649,627,623,623,606,585,587,572,562,561,543,514,505,502,497,488,484,478,457,452,440,442,440,444,438,446,458,455,451,456,477,506,529,556,577,581,588,585,592,601,604,628,667,667,698,720,744,770,779,821,882,909,940,969,1002,1034,1079,1139,1133,1122,1141,1158,1158,1189,1194,1213,1215,1207,1196,1207,1220,1255,1290,1350,1414,1519,1603,1687,1779,1855,1875,1894,1902,1894,1910,1918,1937,1968,1957,2004,2035,2076,2147,2148,2136,2124,2133,2111,2081,2112,2147,2142,2126,2064,2037,2014,1975,1969,1947,1928,1933,1915,1868,1851,1816,1790,1820,1838,1842,1837,1866,1903,1912,1973,2007,2018,2024,2050,2087,2092,2122,2209,2319,2413,2485,2541,2592,2630,2645,2667,2690,2711,2707
,Geothermal,862,862,862,863,863,862,862,863,862,863,862,861,861,862,862,862,862,861,861,860,860,860,860,861,860,861,860,860,862,861,860,859,859,862,861,861,860,861,860,861,860,860,861,862,864,863,861,862,863,863,863,863,862,862,864,863,863,864,863,863,862,862,863,862,862,862,863,862,861,862,861,862,861,862,861,862,865,863,862,863,865,865,865,864,865,862,860,861,863,864,864,863,864,863,864,863,851,830,812,813,812,812,811,810,810,810,809,809,811,810,811,810,810,809,848,859,859,834,859,859,859,860,859,859,858,858,857,858,859,858,858,858,858,858,857,858,858,858,859,860,859,859,860,858,857,858,858,858,858,858,858,858,859,859,859,858,859,859,859,859,858,858,858,859,857,857,857,858,857,857,857,856,856,856,856,855,856,856,855,855,856,855,855,855,855,855,855,855,856,855,856,857,857,856,856,857,857,857,856,857,856,856,856,855,856,856,856,856,856,856,855,856,856,857,857,857,857,857,857,858,858,858,858,858,858,859,859,860,860,859,859,861,859,860,859,860,860,860,861,861,861,862,861,861,861,860,861,861,862,863,863,863,864,863,864,864,864,864,864,864,864,864,864,864,864,865,865,866,865,865,865,865,866,865,865,865,865,865,866,865,865,866,866,866,866,865,865,866
,Biomass,262,260,259,256,256,256,255,257,256,256,258,257,257,257,256,256,256,256,256,255,257,257,257,256,255,255,254,256,257,256,255,255,255,256,257,256,257,257,257,267,273,278,284,285,286,284,284,284,288,289,289,286,285,285,285,285,286,286,285,285,277,278,277,276,277,277,278,277,278,276,277,275,276,273,273,272,274,273,273,273,273,275,272,274,273,269,273,275,274,274,273,275,275,275,274,273,276,277,277,278,278,276,275,275,277,273,273,272,272,271,272,274,277,276,277,276,277,276,278,276,277,279,277,278,278,278,277,280,281,282,281,277,278,276,275,275,277,275,276,276,275,275,275,274,275,276,277,276,276,276,275,275,277,275,275,275,274,276,277,276,278,276,275,276,280,278,279,279,277,277,278,279,279,280,279,279,277,273,274,271,273,272,275,274,275,275,276,278,278,280,282,283,283,286,286,280,279,280,280,281,281,282,280,280,279,281,280,281,281,278,277,275,279,277,279,282,286,285,283,286,283,283,284,285,285,286,287,284,286,287,288,288,287,286,286,288,288,289,288,287,288,287,287,287,289,289,288,289,290,291,292,291,289,293,286,277,271,270,270,271,268,268,269,269,270,268,269,267,267,268,269,268,270,271,272,272,271,271,270,269,270,273,273,273,272,271,272,273
,Biogas,205,205,205,204,206,207,206,206,206,206,206,206,206,206,206,206,206,205,206,206,205,206,206,206,206,206,206,206,206,206,207,207,207,207,207,207,207,207,206,206,206,206,206,205,205,206,206,205,205,205,205,205,205,205,205,205,205,206,205,203,203,202,202,204,205,204,204,204,205,204,204,203,204,204,204,205,204,204,203,204,204,204,205,204,205,204,204,202,202,201,200,200,199,199,199,199,202,202,202,203,205,202,199,200,201,199,199,201,201,202,201,200,200,204,203,203,203,203,203,203,203,202,203,203,203,203,202,203,203,204,203,200,204,202,201,202,201,201,201,201,201,201,201,201,201,201,204,202,203,203,202,203,202,202,202,203,204,203,205,204,204,204,203,204,204,204,204,204,204,204,206,206,206,206,206,206,206,207,206,206,206,207,206,206,206,206,207,206,206,206,205,205,205,205,205,205,206,206,206,206,205,206,206,206,206,206,207,206,206,207,206,206,206,207,207,206,206,206,205,206,207,206,207,207,207,207,206,207,207,207,208,207,207,208,207,208,207,207,207,207,208,207,207,207,207,207,207,207,206,207,206,206,206,206,206,206,206,206,206,206,206,206,206,206,205,205,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,205,206,206,206,206
,Small hydro,161,162,163,163,163,162,162,161,161,161,161,162,162,161,161,161,161,160,160,160,161,161,160,160,160,160,161,161,162,161,161,160,159,159,159,159,159,163,164,164,164,163,164,163,163,164,164,165,165,166,167,166,165,165,166,166,166,167,167,181,208,208,208,208,208,209,209,209,210,210,209,209,208,212,214,215,215,215,215,214,213,213,213,213,213,212,213,172,173,173,172,171,171,169,169,169,168,168,168,168,168,168,164,164,163,164,163,149,123,122,118,117,117,115,114,114,114,114,114,116,117,116,116,116,116,116,117,116,116,116,116,115,115,116,115,116,117,118,119,120,120,120,119,119,118,120,121,121,122,122,121,122,123,123,124,125,125,125,125,126,127,127,127,128,130,130,129,129,129,129,132,132,132,132,133,133,133,132,132,131,131,131,131,131,131,131,130,129,129,130,130,130,130,138,165,175,175,176,178,177,176,177,177,177,177,171,178,180,180,180,180,181,190,191,191,205,232,227,224,224,224,224,225,225,225,225,224,224,223,223,225,226,227,227,227,226,226,226,226,225,225,225,226,226,226,226,226,226,226,226,226,225,225,225,225,226,226,226,226,226,225,225,225,225,222,205,195,172,164,164,164,164,165,165,166,165,165,163,160,160,160,160,161,161,161,161,161,161
