Renewables 03/19/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-26,-26,-26,-26,-26,-26,-25,-25,-16,-9,-7,-7,-7,-8,-7,-7,-7,-7,-4,4,13,21,26,27,27,28,28,28,25,28,36,45,71,130,286,400,518,616,868,1091,1289,1539,1856,2157,2532,2890,3102,3318,3545,3779,3793,3676,3992,4024,3924,4260,4371,4573,4917,5080,5104,5133,5710,6075,5823,6268,6416,6781,6553,6363,6230,6295,6318,6599,6592,6915,6963,6841,6793,6895,7138,7144,6790,6483,6215,6473,6658,6268,6270,6378,5591,5603,6163,6571,7312,7357,7368,7413,7464,7563,7486,7345,7120,7073,6907,7019,7369,7451,7077,6863,7354,7339,7336,7209,7353,7367,7418,7349,6964,6885,6999,7099,7552,8055,8123,7443,6826,6253,5745,5710,5724,5875,5836,5821,6245,6029,5818,5526,5540,5603,5671,5559,5134,5090,4957,5109,5258,5393,5373,5087,4733,4478,4757,4360,4125,4007,3792,3572,3213,2953,2783,2625,2407,2293,2023,1702,1329,1087,941,737,549,414,305,240,187,140,87,51,46,46,47,45,47,46,44,44,47,42,-7,-17,-10,3,4,-19,-15,-14,-15,-14,-13,-11,3,6,2,6,6,7,-6,-42,-40,-42,-43,-41,-42,-42,-42,-42,-42,-41,-42,-41,-41,-41,-41,-40,-42,-42,-41,-42,-42,-41,-42,-42,-42,-42,-42
,Wind,1043,1062,1058,1039,1041,1036,1047,1075,1076,1077,1075,1062,1074,1094,1124,1164,1196,1242,1306,1335,1362,1384,1416,1498,1593,1599,1582,1597,1665,1629,1600,1621,1646,1693,1672,1707,1741,1763,1759,1740,1704,1638,1610,1683,1760,1782,1815,1860,1858,1853,1861,1879,1907,1889,1820,1762,1728,1741,1765,1803,1828,1808,1810,1843,1837,1805,1792,1756,1749,1784,1783,1769,1702,1669,1676,1692,1717,1782,1847,1851,1837,1824,1852,1880,1952,2075,2050,1992,1972,1901,1887,1861,1790,1691,1643,1649,1636,1618,1602,1646,1686,1668,1659,1695,1640,1474,1402,1300,1182,1123,1082,1072,1085,1061,1058,1066,1079,1134,1177,1236,1324,1402,1424,1479,1442,1386,1377,1432,1406,1440,1475,1502,1561,1718,1788,1797,1829,1951,2068,2119,2039,2061,2113,2158,2031,2088,2237,2345,2370,2474,2531,2637,2634,2639,2654,2695,2665,2620,2614,2672,2676,2669,2649,2731,2756,2759,2938,2984,3103,3179,3225,3325,3307,3310,3354,3441,3636,3745,3719,3729,3765,3820,3845,3925,4044,4137,4247,4469,4877,4985,4710,4579,4587,4670,4737,4680,4736,4666,4753,4883,4816,4648,4437,4344,4223,4012,4057,3944,3768,3658,3593,3533,3530,3554,3535,3423,3273,3087,2938,2860,2854,2896,2901,2877,2861,2867,2840,2825,2817,2835,2870,2910,2965,3024,3071,3049,3024,3040,3057,3054,3079,3085,3063,3123,3224,3305,3403,3490,3606,3707,3761,3791,3833,3834,3840,3804,3782,3761,3763,3723,3718,3717,3730,3781,3802,3786,3754,3745,3744,3738,3745,3696,3672,3643,3608,3542,3523,3460,3395,3402,3466,3546,3633,3579,3472,3370,3258,3126
,Geothermal,893,893,892,893,892,892,893,893,893,894,894,893,894,894,894,893,893,894,894,894,893,893,894,893,893,893,893,894,894,894,893,893,893,892,893,893,894,894,894,894,894,892,894,895,894,893,883,853,846,841,842,842,843,843,843,843,843,842,842,842,842,842,842,842,847,847,846,845,846,846,846,845,846,846,846,847,848,849,849,850,849,850,850,851,850,851,851,850,850,851,850,849,850,850,850,850,851,852,851,852,852,851,850,851,850,850,850,851,851,850,850,850,852,850,851,851,850,850,851,850,849,848,849,849,847,848,847,847,847,847,847,846,846,846,846,844,845,844,844,844,844,844,843,843,842,844,842,844,843,842,841,842,842,842,842,842,843,842,843,843,842,842,843,844,843,842,843,843,843,843,843,843,842,843,843,843,844,843,843,844,844,844,844,843,845,844,841,844,845,845,845,844,843,845,844,844,843,843,842,842,843,842,842,842,842,843,843,843,842,843,842,842,842,842,842,842,842,842,844,843,843,843,842,842,841,843,844,844,843,844,844,844,845,844,845,844,845,845,845,845,846,847,847,846,843,843,844,842,843,844,844,845,845,846,846,847,847,847,847,847,849,849,848,848,848,849,849,849,849,850,850,850,849,849,850,850,850,851,851,851,851,850,853,852,847,837,833,820
,Biomass,293,291,287,286,288,287,288,288,284,286,287,286,289,289,290,289,287,289,289,289,287,286,291,289,290,291,292,290,289,290,291,291,291,292,292,292,290,294,293,295,295,297,295,295,294,294,296,296,295,295,287,285,287,286,287,288,289,286,287,288,285,285,287,287,287,287,290,290,289,287,287,290,288,288,288,289,289,289,290,291,289,289,290,288,285,287,289,288,286,287,287,287,288,289,289,285,285,285,287,289,289,287,289,288,284,285,285,284,286,287,285,282,282,284,281,280,277,277,276,277,272,275,278,273,271,271,273,274,278,274,273,272,274,277,276,274,271,269,268,269,269,267,267,264,262,257,253,255,260,259,260,258,259,258,259,257,254,243,241,238,238,236,232,227,225,224,221,222,221,221,225,227,225,227,224,226,224,227,231,229,229,231,229,230,230,232,228,231,233,238,238,237,239,239,241,240,239,240,239,238,239,242,241,240,237,236,238,233,232,231,232,234,234,233,233,232,228,230,232,228,226,225,223,225,228,227,227,227,227,228,230,229,231,233,237,236,237,234,238,240,238,241,242,241,239,239,240,241,239,240,240,241,241,241,242,242,244,243,241,240,241,241,243,244,247,247,246,243,244,246,244,243,243,244,245,246,246,247,246,247,247,248,247,248,249,249,249,248
,Biogas,198,198,198,199,200,200,200,200,200,200,200,199,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199,199,199,199,199,198,198,198,198,198,198,198,197,198,197,197,196,196,196,196,194,195,195,195,195,195,194,194,194,194,194,194,194,193,194,194,193,193,193,193,193,193,193,191,191,192,191,192,192,192,192,192,192,191,191,191,192,192,191,191,191,191,192,191,191,191,192,193,194,193,191,191,191,191,192,195,194,191,194,194,194,195,194,195,195,194,195,196,195,195,195,195,195,195,194,195,195,195,195,195,195,196,195,195,195,195,195,195,195,195,195,194,196,194,194,194,195,194,194,194,194,194,195,195,196,196,196,196,197,196,197,198,198,197,197,196,196,196,197,197,197,197,197,197,197,196,197,197,199,199,201,200,200,199,199,198,199,199,199,199,198,199,198,198,199,201,198,199,199,199,199,201,199,200,199,199,200,200,199,199,199,200,199,199,200,199,199,199,200,199,199,199,199,201,200,200,200,200,201,200,199,200,200,200,200,200,199,199,199,199,199,200,199,199,199,199,199,199,199,199,199,200,200,199,199,200,200,200,199,200,200
,Small hydro,163,146,146,145,144,145,144,144,144,143,142,142,142,143,143,144,144,145,145,145,145,145,144,145,146,146,146,147,147,147,145,143,141,142,142,142,144,149,154,154,154,154,155,155,155,155,154,154,155,155,153,153,154,154,154,154,155,154,153,152,152,151,151,151,151,153,153,154,154,155,155,154,153,153,153,153,170,173,173,174,174,174,175,175,175,175,174,174,174,175,174,174,174,174,174,174,174,174,175,175,175,175,175,175,175,175,175,160,135,132,128,128,128,128,127,126,126,126,127,126,125,125,110,104,104,104,103,104,104,105,105,106,105,105,104,104,103,103,103,104,106,106,106,106,107,107,107,106,106,106,106,106,107,106,106,107,106,106,105,106,105,106,107,107,107,106,107,106,106,105,105,105,105,105,105,106,105,105,105,104,103,108,109,110,109,109,108,108,108,109,109,109,108,108,108,109,109,107,106,106,106,107,106,107,108,117,164,169,169,170,169,168,167,167,166,167,167,168,185,190,190,191,190,190,190,189,190,190,190,191,191,191,190,190,190,191,191,191,191,191,191,190,190,190,190,190,190,190,190,190,190,189,189,189,190,190,190,190,189,189,188,188,188,188,189,186,168,168,169,169,169,169,169,168,168,168,169,169,170,168,168,168,168,168,169,169,169,169
