Renewables 03/16/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-43,-43,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-42,-43,-42,-42,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-45,-44,-44,-44,-44,-44,-45,-45,-45,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-45,-46,-46,-46,-47,-47,-47,-44,-40,-34,-29,-25,-20,-16,-16,-14,-9,2,30,100,200,329,532,783,1094,1452,1874,2305,2693,3193,3794,4498,5163,5748,6326,6909,7461,7721,8199,8735,9239,9558,9907,10222,10558,10764,10915,11018,11153,11320,11306,11186,11053,10904,11155,11667,11855,11907,11884,11894,11858,11875,11816,11564,11365,11261,11075,11010,10866,10742,10714,10609,10586,10439,10384,10284,10455,10381,10567,10712,10787,10465,10359,10248,10134,10245,10284,10259,10173,10226,10423,10727,10777,10780,10843,10745,10678,10583,10327,10009,10195,10429,10577,10715,10583,10624,10726,10667,10702,10776,10813,10761,10806,10841,10857,10963,11041,11048,11051,11160,11240,11725,12013,12223,12210,11952,11393,10495,9977,9639,9710,9841,9811,9808,9813,9601,9606,9417,9192,9267,9095,8940,8800,8888,8564,8033,7476,6913,6322,5691,5093,4441,3765,3067,2431,1865,1515,1183,873,638,454,309,211,142,85,63,59,64,66,65,66,66,66,63,60,-8,-33,-36,-36,-34,-35,-35,-35,-34,-35,-35,-35,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-44,-43,-43,-44,-44,-43,-44,-44,-44,-45,-44,-44,-44,-44,-44,-44,-43,-41,-41,-41,-42,-41,-41,-41,-41
,Wind,4894,5024,5076,5098,5070,5037,5022,4849,4743,4706,4767,4727,4694,4641,4569,4622,4582,4607,4585,4550,4531,4510,4498,4481,4498,4459,4524,4524,4498,4518,4540,4484,4358,4249,4220,4186,4193,4147,4071,4045,4064,4099,4115,4101,3997,3946,3822,3800,3814,3850,3926,4070,4196,4277,4256,4250,4212,4194,4186,4111,4096,4132,4243,4226,4173,4134,4110,4095,4073,4094,4123,4136,4143,4126,4122,4134,4166,4241,4278,4297,4284,4264,4226,4166,4105,4031,3989,3953,3917,3884,3862,3853,3797,3758,3711,3671,3609,3552,3515,3464,3385,3322,3287,3432,3464,3425,3368,3306,3296,3320,3299,3282,3323,3379,3408,3420,3438,3430,3390,3372,3362,3310,3299,3315,3294,3261,3236,3219,3186,3226,3198,3199,3249,3195,3238,3226,3182,3139,3118,3147,3224,3216,3196,3209,3215,3387,3438,3422,3484,3495,3562,3580,3577,3654,3689,3768,3767,3778,3832,3926,3921,3905,3835,3891,3848,3843,3794,3769,3784,3747,3722,3767,3754,3832,3843,3885,3980,4007,4019,3977,3980,3992,3972,4015,4041,4047,4142,4178,4145,4236,4248,4237,4251,4234,4222,4159,4181,4260,4250,4263,4303,4243,4161,4139,4117,4070,4060,4062,4037,4038,4036,4017,4015,4038,4042,4014,3918,3819,3794,3792,3825,3915,3975,4008,4059,4165,4198,4251,4283,4332,4377,4379,4315,4275,4303,4331,4411,4461,4533,4566,4565,4570,4548,4530,4631,4630,4551,4518,4546,4464,4459,4465,4549,4501,4481,4510,4561,4607,4587,4625,4584,4554,4567,4556,4501,4467,4459,4474,4470,4473,4440,4446,4502,4502,4424,4349,4282,4221,4167,4132,4060,3992,3945,3911,3868,3820,3806,3726
,Geothermal,900,900,899,900,899,900,899,900,899,899,899,898,899,900,899,899,898,899,900,899,900,899,900,899,898,899,899,899,898,899,899,900,900,900,901,900,900,900,901,900,901,899,899,900,899,899,900,900,899,899,897,899,899,899,900,899,900,900,900,900,901,900,900,899,900,900,900,900,900,900,900,898,870,859,852,848,855,856,858,860,860,864,890,901,905,904,903,903,903,903,903,904,906,906,903,903,903,904,904,902,903,903,903,902,903,902,903,903,902,903,903,902,902,902,902,901,899,901,900,900,899,900,899,898,898,899,898,897,897,897,896,896,896,897,896,896,895,894,893,894,894,892,892,893,893,893,893,893,893,893,894,892,893,893,892,892,891,890,890,891,890,891,891,891,890,890,890,890,889,890,889,888,889,889,888,888,889,888,888,890,891,890,889,890,889,889,890,890,891,891,893,891,891,891,889,891,890,891,891,890,890,891,890,891,890,891,891,890,891,892,892,892,892,893,892,893,892,865,821,813,810,831,840,854,867,866,864,860,844,824,803,794,788,776,775,765,765,746,735,736,737,737,782,859,884,893,898,899,898,897,897,901,902,902,901,902,899,897,897,900,901,901,901,900,901,902,900,901,900,902,901,903,903,902,902,902,903,902,903,903,904,903,903,904,903,903,903,903
,Biomass,281,279,285,285,284,282,284,284,284,284,283,284,284,286,286,284,284,282,285,283,282,282,284,281,283,285,282,279,281,281,284,280,284,286,285,288,288,288,288,287,289,289,289,289,290,290,291,290,289,289,287,289,286,282,283,284,284,286,286,284,279,278,277,273,272,273,273,271,268,271,272,270,269,269,274,275,275,276,281,283,284,284,277,274,289,293,295,293,291,292,293,294,299,299,298,298,302,302,302,304,303,303,304,302,302,303,304,303,303,303,300,298,303,300,298,296,294,293,292,291,291,295,294,292,289,292,293,294,294,295,297,297,297,295,295,294,295,295,293,295,297,297,291,292,292,297,296,295,294,295,297,296,295,296,295,298,294,296,298,297,296,299,302,301,302,304,301,298,296,299,300,300,301,301,302,303,305,307,308,308,309,319,329,331,334,334,334,335,334,332,335,334,336,340,342,345,343,343,345,345,347,347,347,348,348,348,348,346,346,346,344,344,344,343,344,345,344,342,342,345,346,348,350,351,352,351,349,348,349,350,349,348,348,351,349,349,350,350,351,352,351,344,332,335,335,332,335,336,336,336,335,334,334,336,333,327,329,326,324,325,327,322,319,320,322,321,319,317,313,313,312,312,314,312,313,312,314,314,313,309,309,311,308,306,306,308,306,309
,Biogas,194,194,194,194,194,194,194,194,195,195,195,195,195,195,196,195,195,196,195,195,195,195,195,195,195,194,195,195,195,195,195,195,195,195,195,195,195,195,196,196,196,196,196,196,195,195,196,196,195,195,195,195,194,195,195,194,196,196,194,194,194,194,194,194,194,194,194,194,193,193,194,194,195,193,194,195,195,194,195,195,195,194,195,194,194,194,194,194,194,194,193,193,194,194,193,192,193,192,192,192,192,193,192,193,192,192,193,192,192,191,191,192,194,195,193,195,197,196,196,197,197,197,197,197,198,197,198,198,197,197,197,198,198,198,198,199,198,198,197,199,198,198,196,197,196,196,196,196,196,196,197,198,198,198,198,198,197,198,198,198,198,198,198,198,198,198,198,198,199,199,199,199,199,199,199,200,199,199,199,199,200,198,195,195,195,195,195,196,197,198,198,199,198,199,200,201,200,200,200,200,200,200,200,200,200,200,201,201,200,201,201,201,201,201,201,201,203,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,202,201,202,201,201,201,203,201,201,201,201,201,201,200,200,200,200,200,200,200,200,199,200,200,201,200,200,199,199,199,200,199,199,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
,Small hydro,161,160,151,140,141,141,141,140,141,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,139,139,140,141,140,139,140,140,139,139,140,140,140,140,140,140,140,140,140,139,139,140,139,140,140,140,140,141,140,141,140,140,141,141,141,141,141,141,140,140,140,140,140,139,160,179,180,195,203,203,203,204,204,204,204,204,203,203,202,201,200,199,199,199,199,199,199,199,200,201,201,190,160,160,160,160,160,160,160,158,143,118,118,118,118,118,118,118,118,117,118,119,119,119,118,102,97,97,96,97,97,96,96,96,96,96,97,98,98,99,99,99,98,97,97,96,96,96,96,97,97,98,98,98,98,98,97,98,96,95,95,95,95,96,97,97,97,97,97,96,97,96,93,93,93,92,91,89,90,90,92,92,93,94,96,97,97,96,96,95,95,96,95,96,96,96,96,96,96,96,96,95,97,97,98,97,97,96,121,176,175,175,174,175,176,178,178,178,177,177,177,177,177,178,178,178,178,177,176,175,190,217,217,217,218,217,217,217,218,219,219,220,219,219,217,217,216,214,215,215,215,215,216,217,217,217,216,213,213,213,213,213,213,214,213,211,212,214,213,197,197,197,197,197,197,197,196,195,195,196,197,187,158,154,151,151,151,152,151,150,149
