Renewables 03/13/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,39,39,39,39,39,37,39,39,38,38,38,38,38,34,38,38,39,39,38,38,38,38,38,38,,,,,,,,,,,,,38,38,38,38,38,37,37,37,37,37,37,37,37,37,36,37,37,37,37,37,36,37,37,37,57,107,125,125,126,126,126,126,126,125,114,44,31,-10,-21,-19,-18,-18,-18,-19,-19,-18,-14,-5,12,36,109,220,349,553,760,1049,1434,1823,2302,2838,3410,3826,4224,4486,4785,5121,5417,5725,6024,6320,6686,7233,7770,8148,8195,8450,9017,9443,9545,9671,9710,9357,8720,8539,8534,8567,8561,8653,8830,8674,8666,8427,8524,8216,8261,8387,8342,8140,7707,7318,7540,7489,7387,6966,6595,6419,6299,6354,6131,6151,5972,5880,5793,5847,5932,5847,5917,5646,5494,5535,5731,5867,5781,5708,5770,5713,5648,5713,5657,5637,5608,5478,5471,5386,5613,5859,5879,5642,5454,5590,5670,5554,5642,5710,5633,5876,5881,5879,5755,5663,5434,5426,5199,5402,5527,5568,5648,5330,5205,5137,5086,5050,5305,5352,5417,5736,5913,6166,5658,5098,4639,4477,4298,4199,4297,4681,5034,5046,4721,4287,3907,3566,2966,2506,2113,1722,1356,1060,823,593,433,316,195,120,83,65,62,62,63,63,63,63,64,63,62,52,52,49,49,49,48,49,48,48,48,53,70,72,83,95,95,95,95,95,96,95,95,89,75,66,45,35,35,34,34,35,35,35,35,34,33,33,35,32,25,17,7,-2,-8,-11,-12,-12
,Wind,2878,2881,2844,2806,2827,2855,2875,2851,2797,2817,2853,2890,2962,3050,3125,3146,3167,3199,3277,3358,3428,3503,3603,3714,,,,,,,,,,,,,3775,3823,3810,3763,3790,3813,3831,3868,3923,3955,4005,4026,4046,4095,4154,4175,4171,4126,4119,4070,3993,3915,3878,3843,3818,3731,3640,3572,3462,3429,3404,3363,3342,3299,3260,3188,3107,3027,2955,2835,2702,2590,2527,2493,2439,2416,2407,2433,2506,2608,2711,2739,2769,2779,2864,2998,3156,3310,3405,3465,3496,3447,3392,3333,3242,3114,3056,2976,2912,2859,2860,2879,2933,3020,3068,3120,3150,3111,3071,3093,3167,3284,3358,3366,3343,3359,3342,3299,3315,3345,3455,3598,3673,3787,3848,3927,3985,4068,4096,3931,3913,3902,3884,3936,4010,3960,3972,3947,3956,4042,4056,4041,4019,4001,4027,4208,4200,4260,4257,4208,4322,4333,4339,4311,4260,4207,4065,4010,3894,3958,3968,3965,4005,4091,4096,4234,4164,4192,4202,4048,3942,3846,3683,3366,3273,3503,3734,3762,3763,3696,3656,3772,3904,3906,3746,3689,3716,3743,3721,3763,3797,3774,3744,3707,3722,3794,3856,3864,3802,3743,3705,3645,3646,3643,3663,3779,3883,3859,3829,3805,3725,3678,3697,3706,3677,3639,3649,3670,3680,3770,3779,3762,3716,3705,3723,3743,3759,3766,3776,3742,3753,3809,3851,3922,3965,3997,4023,4071,4139,4196,4262,4313,4327,4342,4338,4303,4293,4288,4319,4354,4445,4561,4709,4792,4811,4815,4810,4799,4794,4777,4742,4729,4716,4725,4712,4719,4717,4700,4691,4666,4625,4621,4593,4532,4396,4265,4123,4054,3988,3955,3884,3811
,Geothermal,886,887,886,886,887,888,888,888,888,889,888,889,889,889,888,889,889,889,888,889,890,889,890,890,,,,,,,,,,,,,890,888,888,888,888,888,888,888,888,888,888,889,888,888,888,889,888,888,888,888,888,887,889,889,889,889,889,889,887,889,888,889,889,889,889,888,889,890,890,889,890,890,889,889,889,890,889,890,890,890,890,891,890,890,890,890,890,888,889,890,890,890,890,890,886,887,888,888,889,888,888,887,887,888,891,892,892,892,892,891,893,894,893,894,892,892,892,892,892,892,891,892,891,891,891,890,890,890,890,891,890,890,891,890,890,890,890,889,889,889,889,889,880,847,797,761,678,657,624,610,603,603,592,583,571,563,555,550,549,547,547,548,548,547,546,546,538,538,537,538,538,538,538,539,539,536,537,535,537,537,538,537,538,538,539,538,537,537,539,539,537,539,570,612,670,733,790,822,841,854,859,861,862,867,867,869,870,869,867,869,868,869,869,869,875,887,893,894,898,897,897,897,896,896,896,895,896,896,896,896,896,896,895,896,897,897,897,897,896,896,897,896,895,896,894,894,895,895,896,896,896,896,896,897,897,897,898,897,897,897,898,897,897,897,896,896,896,896,897,895,896,896,895,896,896,897,895,895,896,896,896,896
,Biomass,265,264,264,264,266,266,266,265,265,265,267,264,264,265,266,265,266,266,264,264,266,266,266,266,,,,,,,,,,,,,267,267,266,265,264,264,263,265,268,267,268,268,266,266,266,266,266,267,268,269,268,268,269,269,267,267,268,268,267,266,266,266,263,265,266,264,263,266,264,267,266,268,268,267,268,268,266,266,266,267,267,266,266,265,264,264,264,265,264,265,265,267,264,266,266,266,266,264,264,262,261,260,264,264,262,263,263,264,267,266,265,266,266,265,267,266,264,265,263,263,263,263,262,262,260,262,263,264,262,261,261,262,262,262,265,264,262,262,262,260,260,263,263,262,260,260,260,262,260,259,259,262,260,259,260,259,258,262,261,262,262,261,262,260,259,257,257,259,257,259,260,262,262,263,264,264,264,265,267,272,273,271,269,267,271,271,269,269,270,269,272,272,272,273,272,272,271,270,272,270,271,270,273,274,271,272,271,272,270,271,273,273,274,274,273,272,272,272,273,272,274,272,273,270,271,271,272,272,275,275,276,274,275,273,276,274,273,273,273,273,271,271,272,273,273,272,271,272,273,273,273,272,273,274,271,274,273,274,274,271,270,269,271,274,275,277,278,278,278,281,278,281,278,279,277,276,274,273,273,275,271,272
,Biogas,217,216,216,216,216,216,216,216,216,216,216,217,217,218,218,218,218,219,218,219,218,219,219,219,,,,,,,,,,,,,218,217,217,217,217,217,217,217,217,217,217,217,217,216,216,217,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,216,216,215,216,215,215,215,215,215,215,216,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,216,216,217,216,217,216,217,217,217,216,216,216,215,216,215,215,215,215,215,215,215,215,215,214,214,214,215,214,214,214,215,215,215,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,215,214,214,214,214,214,214,213,213,213,213,213,213,213,214,214,214,214,214,213,213,213,213,213,213,213,212,213,213,213,213,213,213,213,213,213,213,213,213,213,214,213,213,212,212,212,213,212,213,213,213,213,213,213,213,213,215,215,216,216,215,216,216,216,216,217,216,216,215,216,216,216,216,215,216,216,216,216,216,216,216,216,217,216,216,216,216,216,216,216,217,216,216,217,216,216,216,216,216,216,216,216,216,216,216,216,216,215,216,216,216,216,216,216,216,215,215,215,214,215,215,215,215,215,214,214,215,215,215,214,214,214,214,214,214,214,215,215,214
,Small hydro,147,147,147,148,149,149,149,149,149,149,149,149,150,152,156,158,159,159,159,159,159,159,158,158,,,,,,,,,,,,,158,156,153,151,151,151,150,150,149,149,150,150,150,151,151,151,151,150,150,150,150,150,150,150,151,151,151,151,150,151,151,150,150,150,149,149,149,150,150,150,150,150,149,149,148,149,150,150,149,149,149,149,149,149,149,149,150,150,149,128,108,108,108,109,109,109,109,109,109,108,108,109,109,109,110,110,107,106,106,105,104,104,103,104,104,105,105,106,107,106,106,106,106,105,105,103,102,103,104,105,105,104,105,105,105,106,106,106,105,105,105,104,104,105,106,106,106,105,105,104,103,103,104,104,103,103,103,104,104,105,106,106,106,105,105,106,106,106,105,105,106,106,105,106,106,105,104,103,104,104,104,105,105,106,108,108,108,123,157,158,158,158,158,158,158,159,158,159,159,159,159,159,160,159,159,159,159,159,159,180,202,214,215,215,215,215,215,215,215,215,215,215,215,215,214,214,213,214,214,214,214,214,214,214,214,213,210,210,210,210,210,210,210,210,211,210,210,210,199,174,168,168,168,168,168,168,168,168,168,168,168,168,168,167,168,168,167,165,165,165,165,165,159,145,145,146,145,145,145,146,145,145
