Renewables 03/22/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-36,-36,-36,-36,-36,-36,-36,-36,-36,-35,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-35,-36,-36,-35,-35,-35,-36,-36,-36,-36,-36,-37,-37,-37,-38,-39,-38,-38,-38,-38,-38,-38,-39,-38,-38,-38,-38,-39,-38,-39,-38,-39,-39,-39,-39,-39,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-39,-28,-19,-14,-10,-4,-1,-1,1,14,41,102,191,353,544,820,1173,1578,2087,2618,3210,3700,3949,4547,5357,6247,6908,7435,8032,8609,9265,9755,10177,10554,10807,11093,11153,11363,11590,12043,12234,12227,12305,12419,12406,12510,12281,12144,12110,12208,12090,12079,12085,11887,11796,11677,11563,11685,11714,11634,11695,11785,11824,11899,11850,11867,11860,11837,11957,11992,11759,11842,12011,12002,11968,11901,11735,11632,11665,11648,11588,11546,11603,11626,11702,11886,11925,11905,11878,11776,11602,11409,11436,11484,11775,11858,11921,11923,11815,11748,11775,11754,11694,11926,11993,12000,12210,12250,12362,12444,12339,12311,12452,12357,12420,12315,12541,12737,12612,12166,11890,11865,11553,11180,11283,11273,11191,11327,11361,11256,11052,10738,10441,10085,9446,8895,8864,9018,8942,8801,8399,7824,7224,6595,5896,5210,4542,3924,3296,2687,2132,1667,1294,949,704,550,405,305,167,141,125,101,85,88,86,89,91,91,91,90,89,94,90,89,91,94,91,92,94,91,90,40,35,35,34,34,35,34,35,35,34,38,33,34,17,17,17,16,17,16,17,16,18,17,17,-9,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
,Wind,2637,2620,2607,2620,2639,2618,2602,2599,2590,2574,2535,2501,2461,2420,2397,2366,2317,2306,2279,2272,2259,2217,2184,2159,2138,2132,2128,2139,2125,2155,2184,2219,2227,2201,2212,2233,2262,2293,2305,2317,2329,2369,2375,2365,2362,2402,2416,2433,2458,2471,2487,2479,2504,2516,2514,2507,2522,2551,2533,2499,2470,2456,2443,2414,2374,2371,2363,2296,2251,2209,2172,2117,2029,2003,1986,1981,1987,1986,2008,2023,2030,2023,2020,1991,1959,1917,1944,1943,1964,1974,1946,1900,1876,1880,1904,1916,1858,1820,1848,1878,1903,1979,1926,1784,1784,1817,1767,1748,1753,1766,1781,1813,1837,1887,1892,1875,1892,1889,1846,1854,1841,1707,1712,1754,1707,1646,1602,1628,1637,1616,1566,1489,1435,1434,1446,1448,1434,1412,1403,1399,1433,1479,1452,1388,1352,1385,1374,1338,1351,1350,1308,1273,1292,1266,1254,1234,1297,1333,1369,1349,1389,1424,1401,1424,1454,1436,1438,1404,1411,1443,1456,1474,1459,1458,1422,1402,1363,1321,1314,1268,1252,1230,1173,1151,1119,1100,1070,1086,1196,1238,1248,1225,1248,1227,1172,1154,1165,1185,1235,1244,1216,1192,1179,1152,1108,1077,1056,1023,990,973,952,931,926,922,908,894,887,875,860,844,815,796,776,768,768,789,791,773,758,732,743,743,742,764,773,765,772,766,756,754,744,741,737,740,753,781,795,824,863,914,943,955,957,981,1004,1029,1044,1050,1057,1028,986,1001,1020,1034,1062,1119,1141,1151,1142,1122,1094,1031,1003,987,985,971,962,989,1002,1028,1071,1104,1163,1132,1145,1152,1157,1155
,Geothermal,797,796,797,796,796,796,796,796,796,796,796,796,795,797,796,796,796,797,797,796,797,797,797,797,797,797,797,798,799,799,799,800,799,799,799,798,799,800,800,798,798,798,798,799,798,798,799,798,798,798,798,799,798,799,798,799,799,799,798,799,799,799,798,797,798,798,798,798,797,797,797,797,796,796,796,797,796,797,797,797,798,796,798,796,797,796,796,795,796,795,796,796,796,796,796,796,792,794,793,795,796,794,791,794,793,794,793,793,793,794,793,793,793,793,793,793,792,793,792,792,791,791,791,791,792,794,793,792,793,793,794,793,792,793,792,791,791,791,789,790,790,790,790,789,790,789,790,789,790,789,789,790,790,789,789,789,789,789,788,788,788,787,787,788,787,787,787,787,787,787,786,787,787,786,785,786,785,785,785,785,785,784,784,785,784,784,783,783,782,782,783,782,783,782,782,782,782,783,783,784,785,785,784,784,784,784,785,785,783,784,784,784,784,784,786,786,785,786,786,787,786,787,787,787,787,788,789,790,790,790,790,791,790,792,792,792,792,792,792,792,792,793,793,793,793,794,793,793,793,795,794,794,794,794,793,794,795,794,795,797,796,796,796,796,798,797,796,797,796,796,797,797,798,797,798,798,798,798,798,798,799,799,798,798,799,798,798,798
,Biomass,242,241,241,242,240,242,241,240,240,239,240,241,240,240,238,239,239,241,238,239,240,241,239,241,240,240,240,241,238,240,243,242,242,243,245,244,244,244,244,242,242,243,243,243,244,242,243,243,243,244,243,244,244,245,246,244,243,244,245,244,242,242,242,241,242,243,242,241,241,241,241,237,233,238,240,241,243,242,241,241,239,242,242,243,241,242,240,239,241,242,239,240,243,241,241,241,241,241,243,240,240,239,239,242,241,239,236,234,238,237,235,234,232,233,233,229,231,233,235,233,231,231,231,232,233,232,230,231,234,234,236,234,235,232,233,231,230,229,228,229,229,230,228,230,225,222,224,225,226,227,223,225,223,227,226,227,230,231,230,227,224,226,230,231,229,227,227,228,227,227,226,228,228,229,229,229,229,225,224,228,229,227,228,230,229,233,234,233,235,237,236,239,236,237,237,241,244,247,246,244,240,244,247,248,247,246,248,252,252,252,249,250,249,248,248,250,251,251,254,253,255,256,253,254,253,254,252,251,251,251,253,253,252,251,253,253,253,253,252,252,250,254,253,255,255,255,255,255,253,254,252,254,253,253,252,250,249,248,249,249,247,246,246,245,245,246,244,242,242,235,236,235,235,237,238,237,239,239,240,240,240,239,237,239,238,239,239,240
,Biogas,196,193,193,193,192,193,192,192,192,193,192,193,192,191,192,191,191,192,193,192,192,192,193,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,190,190,190,190,190,190,190,190,190,189,189,189,190,189,188,189,189,189,189,189,189,187,184,183,184,187,187,187,187,187,188,187,187,187,187,186,187,187,186,187,187,188,185,185,185,185,185,185,184,181,182,182,182,181,181,181,182,181,184,184,185,185,184,183,183,183,183,183,182,182,185,184,184,184,185,185,185,185,186,184,185,184,185,185,184,184,183,185,185,184,185,185,185,186,185,185,185,182,183,185,186,187,187,187,187,187,186,186,186,186,187,187,187,187,187,190,186,187,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,189,190,190,190,190,190,190,190,190,190,190,190,189,190,190,190,190,190,190,191,190,190,190,191,190,191,191,191,191,192,191,192,191,190,188,188,188,187,188,188,188,188,188,188,188,189,190,190,192,191,191,191,190,191,190,190,190,188,187,189,190,189,190,190,191,190,190,191,190,190,190,191,190,190,190,190,190,190,190,190,190,190,190
,Small hydro,145,146,146,146,146,148,148,148,148,148,147,147,147,148,149,148,149,148,148,148,148,148,149,148,148,148,148,147,146,146,147,147,147,147,146,146,146,147,147,147,147,148,148,148,148,148,148,150,151,151,164,162,162,162,161,162,161,161,161,162,163,167,170,170,170,170,170,169,169,169,169,183,208,209,209,210,211,211,211,210,210,210,210,210,210,210,210,210,210,210,209,210,210,210,210,209,208,204,192,162,162,163,164,165,165,165,165,165,166,166,166,166,166,167,167,167,168,168,168,166,165,166,165,166,167,167,167,167,166,166,167,167,168,167,165,166,165,165,165,165,165,164,164,165,166,164,165,164,165,164,164,163,164,164,164,163,163,164,164,163,163,165,164,165,165,165,166,165,165,165,166,166,166,165,167,168,165,167,165,168,171,171,171,172,172,172,171,171,170,170,171,171,172,172,172,173,172,171,171,172,172,171,170,171,171,173,174,173,173,173,173,173,173,174,173,194,210,215,217,217,217,219,218,219,218,218,217,217,216,216,215,216,215,216,215,216,217,217,216,215,214,213,214,215,215,215,215,215,216,215,215,215,215,214,214,214,214,214,213,211,210,210,211,211,211,209,198,168,168,167,166,164,163,164,164,164,164,165,152,149,149,149,150,150,151,150,149,149
