Renewables 03/26/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-38,-43,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-30,-39,-38,-38,-38,-39,-38,-38,-38,-45,-38,-38,-31,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-43,-41,-37,-41,-41,-41,-41,-41,-41,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-39,-33,-28,-24,-21,-21,-21,-22,-26,-30,-33,-35,-41,-41,-42,-42,-42,-42,-39,-32,-13,14,57,138,235,416,603,836,1204,1609,2180,2801,3346,3798,4265,4772,5314,5916,6413,6865,7164,7665,8299,8942,9333,9538,9871,10054,10171,10391,10473,10677,10705,10873,11031,10891,10798,10663,10640,10719,10791,10953,11031,11332,11658,11717,11376,11317,11556,11720,11862,12172,12223,11906,12048,12185,12504,12504,12502,12256,12208,12463,12512,12413,12346,12174,11974,11698,11417,11334,11524,11639,11406,11258,11149,11428,11751,12205,12520,12477,12661,12685,12307,11795,11748,11940,12155,12188,11947,12077,12512,12531,12318,12238,12255,12414,12744,12985,12941,12628,12386,12209,12416,12484,12606,12653,12384,12205,12102,12029,11998,11977,11684,11653,11737,11736,11787,11509,11041,10681,10412,10211,10109,9848,9651,9546,9416,9200,8964,8613,8184,7770,7371,6831,6270,5588,4984,4402,3964,3418,2781,2285,1790,1355,1037,668,436,264,234,180,151,143,125,95,95,93,97,100,94,94,98,96,96,96,87,95,94,95,93,97,95,94,63,51,52,52,53,52,50,49,51,46,45,48,25,19,19,19,20,19,20,4,-12,-26,-26,-29,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
,Wind,1482,1433,1446,1460,1483,1488,1475,1462,1462,1462,1445,1431,1420,1425,1412,1407,1403,1373,1346,1324,1304,1300,1309,1303,1300,1300,1313,1332,1368,1402,1441,1462,1483,1524,1560,1584,1581,1607,1598,1590,1598,1629,1654,1675,1694,1695,1704,1684,1646,1630,1637,1659,1663,1653,1648,1643,1641,1639,1636,1655,1637,1649,1662,1641,1614,1606,1610,1593,1536,1506,1509,1492,1465,1455,1476,1523,1506,1464,1428,1424,1443,1473,1484,1496,1499,1460,1407,1391,1352,1285,1230,1130,1094,1080,1053,1031,1006,977,948,921,890,865,828,811,797,774,758,756,760,735,752,755,779,791,801,816,839,890,919,943,980,997,992,933,939,917,908,919,913,905,941,997,1008,1018,1008,1028,981,996,1073,1143,1137,1152,1189,1234,1285,1292,1306,1305,1274,1327,1354,1395,1443,1437,1423,1430,1436,1428,1426,1450,1494,1542,1602,1648,1658,1611,1549,1578,1574,1625,1615,1611,1644,1698,1727,1759,1777,1794,1796,1787,1784,1765,1771,1795,1832,1866,1845,1881,1902,1868,1873,1923,1926,1938,2012,2111,2245,2266,2261,2276,2242,2219,2216,2224,2175,2194,2229,2252,2251,2260,2295,2307,2287,2262,2247,2247,2213,2222,2263,2354,2398,2458,2483,2516,2529,2533,2516,2544,2515,2445,2432,2376,2388,2388,2364,2349,2348,2352,2367,2390,2422,2470,2471,2470,2495,2482,2479,2507,2501,2515,2564,2658,2667,2691,2718,2695,2689,2685,2717,2758,2770,2790,2812,2817,2816,2817,2797,2798,2829,2854,2868,2886,2891,2908,2945,2910,2714,2757,2800,2818,2814,2793,2785,2790,2920,3099,3091,3104
,Geothermal,794,792,786,787,784,779,768,769,772,785,791,790,789,789,789,788,789,789,788,789,789,788,788,789,789,789,790,790,790,790,791,791,791,790,790,790,790,790,791,790,790,790,790,791,790,790,790,791,791,790,791,791,791,791,791,792,792,791,791,791,791,791,789,791,792,792,792,792,792,791,792,791,792,792,792,791,791,792,791,791,791,793,792,793,792,792,792,792,791,792,791,792,792,792,792,791,792,792,793,791,791,791,791,791,791,790,790,790,789,789,788,789,789,789,789,788,788,788,788,788,787,788,788,787,787,786,783,785,784,783,784,782,784,783,783,783,781,782,782,781,780,779,772,772,771,771,771,771,769,769,769,769,769,768,770,771,771,771,771,770,771,771,770,771,771,770,770,770,770,769,769,769,770,770,769,771,769,770,769,769,770,769,771,771,769,770,769,778,779,779,779,778,777,777,777,777,777,777,777,776,776,777,777,777,774,777,777,776,777,776,777,777,777,777,777,777,777,778,778,778,778,778,779,780,780,781,780,781,780,780,782,780,781,782,781,782,782,782,782,783,783,783,784,783,785,785,785,786,786,786,786,786,787,787,787,786,787,787,787,789,788,789,788,788,788,788,787,787,788,787,788,788,788,789,789,790,790,790,790,790,790,791,790,791,790,791,792,792
,Biomass,259,260,258,258,254,252,252,252,251,249,249,251,252,254,255,256,252,252,254,254,254,251,251,253,253,254,252,252,252,252,250,246,249,254,257,256,258,259,259,260,260,259,259,261,260,261,260,257,257,259,258,259,260,259,260,259,258,259,259,258,258,255,255,258,258,257,258,258,257,259,259,259,258,256,258,261,258,258,259,259,257,256,257,258,259,258,258,260,262,261,259,260,259,261,260,259,261,264,259,261,260,260,259,259,256,256,253,254,253,257,257,253,251,253,251,249,249,248,245,244,245,245,249,249,250,249,247,246,248,249,251,251,249,249,246,243,244,245,245,246,247,245,241,243,245,247,248,249,249,249,250,245,245,243,244,246,246,247,244,246,243,243,242,241,242,243,245,247,248,250,250,249,248,249,248,250,246,245,246,245,247,245,249,250,251,253,255,257,257,260,259,261,263,260,259,262,262,261,261,260,262,261,262,262,262,261,261,260,259,259,258,260,262,262,262,263,260,262,264,264,265,266,263,264,263,263,260,261,261,263,261,261,260,262,261,262,261,261,262,263,260,263,263,263,262,263,262,263,261,261,262,264,261,264,264,264,263,264,264,262,261,262,263,264,263,264,262,262,258,240,243,244,244,245,248,248,248,248,247,247,249,250,251,250,247,248,251,250
,Biogas,198,198,197,198,197,197,198,197,198,198,197,198,197,197,198,198,197,199,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,199,199,199,199,200,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,198,198,198,198,198,198,198,199,199,198,199,199,200,199,199,200,199,199,198,199,199,199,199,198,198,198,198,200,198,199,199,199,198,198,198,198,198,198,198,198,199,198,198,198,199,198,198,198,197,198,198,198,197,198,199,197,197,197,196,197,196,196,196,196,196,196,196,196,196,197,197,196,197,196,196,198,196,197,196,196,197,197,197,197,197,197,197,196,197,197,197,197,196,197,197,198,198,197,197,199,197,197,198,198,198,199,197,197,197,198,197,197,197,199,197,198,197,197,197,197,197,198,198,198,198,198,199,199,198,198,198,199,198,199,199,198,198,199,199,200,199,199,197,198,199,197,197,198,197,197,198,197,197,197,197,197,198,198,198,198,198,198,197,198,197,199,198,199,199,199,199,199,199,199,199,199,200,199,199,198,198,198,198,198,198,198,198,198,198,199,198,198,198,198,198,197,198,197,197,197,196,196,196,197,197,196,197,197,197,197,197,197,196,197,196,196,196,196,196,196,197,196,196,196,196,196
,Small hydro,156,167,177,177,178,176,175,175,176,176,177,177,177,177,177,177,178,177,177,177,176,177,178,177,178,177,178,178,177,177,178,178,178,178,178,178,178,180,199,199,199,199,198,198,198,199,200,200,200,200,200,200,200,199,199,199,199,200,200,199,198,197,197,198,198,199,199,199,199,200,200,199,200,204,206,205,204,203,204,205,206,206,206,206,206,205,205,205,205,205,205,205,205,205,206,207,206,204,198,196,196,196,196,195,196,196,196,180,153,151,141,141,141,141,142,142,142,142,141,141,141,142,143,143,143,143,143,143,143,143,142,143,143,143,142,144,144,144,144,143,143,142,141,141,141,141,142,143,144,144,145,144,144,143,143,143,142,143,144,144,144,144,144,144,144,144,144,143,143,142,142,142,142,142,144,143,143,142,142,142,142,144,144,144,146,144,143,143,142,143,143,144,145,145,144,143,142,143,144,145,144,145,144,144,144,157,185,195,194,195,196,194,194,194,195,195,195,199,222,242,242,243,243,236,229,228,228,230,231,231,232,231,231,231,231,230,231,231,230,230,229,229,228,228,227,228,227,228,227,227,227,226,227,228,229,229,228,228,229,228,228,228,229,229,228,228,221,229,229,231,231,231,231,229,230,230,231,229,204,204,205,206,208,207,207,206,205,204
