Renewables 03/27/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-40,-40,-40,-40,-40,-40,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-42,-42,-41,-42,-42,-42,-42,-42,-42,-43,-44,-44,-44,-44,-43,-43,-43,-43,-44,-43,-44,-44,-44,-44,-44,-44,-44,-43,-43,-43,-43,-41,-40,-35,-28,-22,4,73,137,251,460,669,982,1399,1653,1889,2321,2960,3137,3358,3896,4361,4782,5145,5617,6397,6980,7169,7256,7847,8245,8546,8989,9230,9758,10078,10271,10511,10630,10743,10764,10764,10842,10939,10854,10856,10885,11199,11322,11410,11203,10913,10532,10417,10482,10451,10725,11562,11859,12002,11822,11638,11627,11676,11341,11009,10944,11001,10994,10998,10839,11070,11268,11216,11391,11395,11283,11354,11676,11770,11625,11767,11955,11912,11466,11516,11823,11542,11652,12087,12304,12116,11768,11681,11707,11847,11582,11536,11528,11398,11423,11315,11269,11376,11356,11442,11260,11424,11335,11238,11157,11099,11084,11049,11132,11259,11158,11067,10934,10722,10824,10649,10533,10819,11174,11172,11089,10989,10935,10747,10470,9985,9481,9310,8868,8378,7731,6961,6224,5627,4992,4279,3664,3300,2819,2304,1861,1554,1212,871,634,497,304,239,193,165,148,122,98,101,100,101,104,103,105,58,48,48,43,46,50,48,49,48,45,48,45,16,6,9,7,7,8,7,7,6,7,6,6,2,2,2,1,-22,-39,-41,-41,-41,-40,-41,-40,-41,-41,-41,-41,-42,-41,-40,-40,-40,-40,-40
,Wind,3124,3221,3340,3367,3382,3383,3410,3419,3421,3395,3387,3345,3323,3337,3341,3334,3359,3359,3315,3253,3205,3174,3161,3140,3114,3100,3105,3136,3156,3178,3210,3231,3279,3336,3321,3270,3218,3184,3148,3083,3040,3039,3073,3079,3062,3038,3018,2945,2839,2801,2750,2656,2568,2662,2660,2648,2592,2577,2580,2618,2584,2586,2632,2682,2627,2595,2561,2582,2603,2650,2712,2657,2559,2426,2324,2290,2278,2320,2360,2394,2409,2457,2488,2535,2590,2476,2440,2384,2402,2464,2486,2450,2441,2452,2415,2350,2296,2304,2305,2320,2313,2280,2181,2134,2136,2059,2060,2033,2035,2040,2042,2058,2037,1980,1942,1881,1810,1754,1732,1754,1739,1768,1818,1880,1885,1876,1873,1911,1907,1946,1954,1917,1953,1977,2012,2028,2033,2070,2140,2129,2129,2111,2074,2086,2042,2034,2044,2048,1962,1954,1977,1992,1999,1996,2046,2115,2146,2253,2350,2453,2500,2453,2518,2556,2590,2719,2760,2828,2902,2983,3053,3075,3221,3344,3391,3433,3468,3456,3397,3441,3507,3533,3564,3614,3642,3697,3764,3753,3788,3833,3816,3754,3810,3796,3822,3871,3849,3826,3781,3688,3633,3584,3527,3486,3431,3449,3554,3641,3647,3716,3739,3744,3646,3515,3444,3375,3307,3269,3268,3333,3344,3315,3238,3213,3190,3199,3208,3171,3169,3162,3179,3180,3150,3092,3030,2967,2926,2887,2849,2830,2836,2810,2747,2707,2724,2727,2707,2704,2708,2711,2743,2740,2713,2695,2668,2678,2658,2675,2726,2803,2795,2785,2808,2827,2798,2807,2812,2822,2792,2741,2696,2652,2569,2535,2553,2553,2543,2536,2531,2532,2509,2550,2596,2659,2751,2829,2903,2936
,Geothermal,792,792,792,792,792,792,792,792,793,792,793,793,794,793,793,794,794,794,794,793,793,794,794,793,794,795,794,793,794,795,795,796,796,795,794,795,795,795,796,796,797,797,796,797,796,797,797,797,796,796,797,797,797,798,798,799,799,799,800,799,798,799,798,799,799,798,797,798,798,798,797,797,798,799,799,799,799,800,800,800,800,799,800,799,798,799,800,800,800,800,800,800,799,799,799,799,799,799,799,799,799,799,799,798,799,798,798,797,798,796,796,797,797,795,795,795,790,784,782,782,782,782,782,780,781,780,780,780,780,780,779,779,779,780,779,779,779,779,778,779,779,779,779,779,779,779,779,779,778,778,777,778,778,777,777,777,776,777,776,776,776,776,776,777,776,775,776,776,776,776,776,782,786,785,784,784,784,784,784,784,783,784,786,785,785,785,785,785,785,786,785,785,784,784,784,784,784,785,776,771,769,777,787,788,788,787,787,786,788,787,786,787,787,786,787,787,787,787,786,787,787,788,788,787,788,787,787,787,787,787,787,786,787,787,789,789,791,792,793,794,794,794,795,797,800,801,801,800,800,800,799,799,799,800,799,799,800,800,799,800,799,800,800,800,800,802,803,803,803,805,803,807,807,807,806,806,806,806,807,807,807,806,807,807,808,808,810,809
,Biomass,251,249,250,249,250,250,249,251,250,251,250,249,250,251,252,250,247,250,251,251,251,250,248,250,250,251,248,245,249,251,251,248,251,254,253,253,253,256,254,252,252,254,252,254,252,248,247,247,248,249,246,245,247,245,246,249,251,250,251,251,253,253,254,256,257,256,255,255,257,257,256,254,254,254,252,252,254,252,250,253,253,253,253,254,251,253,252,254,252,251,250,253,252,251,254,253,254,254,251,253,253,252,250,251,252,250,252,252,250,251,249,247,246,243,245,244,242,242,239,236,234,240,241,241,241,241,239,238,242,240,239,236,238,240,240,239,236,237,238,239,239,239,238,239,241,245,243,237,234,237,241,244,246,244,243,243,240,241,238,236,237,238,240,243,242,242,244,247,245,246,243,244,245,243,246,245,243,241,243,243,243,242,241,242,239,241,242,240,243,247,249,251,252,252,252,251,250,249,243,237,239,242,242,242,242,242,241,242,245,246,247,247,247,244,244,246,244,245,244,245,244,244,243,245,245,244,243,244,245,243,240,240,241,242,242,242,243,243,243,243,243,245,244,243,245,244,244,244,242,243,245,245,247,247,248,246,246,246,244,245,245,245,246,246,245,245,243,242,242,242,243,243,244,243,242,244,244,243,244,242,241,241,240,241,239,239,240,240
,Biogas,196,195,195,196,197,196,196,196,197,196,196,196,196,195,196,195,195,195,196,196,196,195,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,197,197,197,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,195,195,196,196,196,196,196,195,195,195,195,195,195,195,195,196,196,195,196,196,196,196,196,195,196,195,196,197,196,196,196,196,196,196,196,197,196,198,196,197,196,196,195,194,194,194,194,194,194,195,194,194,194,194,194,194,194,194,195,195,194,195,194,194,194,194,195,195,195,194,194,194,194,194,194,194,193,193,193,193,194,193,194,193,194,193,193,193,193,192,194,194,194,194,195,195,195,195,195,195,195,195,195,195,195,195,195,194,195,195,194,194,194,195,194,194,194,192,193,194,193,193,193,194,195,194,194,194,194,194,194,194,194,194,195,195,195,195,195,195,195,196,196,196,196,196,196,196,195,196,196,196,196,196,196,196,195,196,196,196,196,198,196,196,196,196,197,196,197,196,196,198,196,195,195,196,195,196,195,195,195,195,195,195,194,194,194,194,194,194,193,193,194,194,193,193,194,193,193,193,193,194,192,191,191,191,192,191,192,192,192,193,192,193,193,193,193,193,193,193,194
,Small hydro,199,199,200,199,199,199,198,198,198,198,197,197,197,198,198,198,197,198,199,198,198,198,198,197,196,196,193,195,195,195,195,194,193,193,193,193,193,193,193,194,194,195,194,193,193,194,195,194,194,195,196,196,196,196,197,197,197,197,198,198,197,196,196,195,195,196,196,196,197,197,196,195,195,196,189,190,191,190,189,189,189,189,189,190,189,190,191,191,191,190,190,189,190,189,190,190,190,190,191,190,190,189,188,188,188,188,188,173,149,147,146,145,146,147,148,149,148,147,146,146,147,147,147,147,146,146,146,147,148,148,148,146,144,141,140,141,141,140,140,140,140,141,142,141,141,140,140,141,141,141,140,139,140,140,141,140,139,140,141,140,140,140,141,140,141,140,140,140,141,141,141,141,141,140,140,141,141,141,141,141,142,142,142,143,143,142,143,142,142,142,142,142,144,143,143,143,143,143,144,143,142,141,141,142,142,154,171,170,170,171,171,170,169,170,171,171,176,197,217,216,215,215,214,216,217,218,218,218,217,218,219,219,219,220,220,220,222,222,222,222,223,221,221,221,221,221,221,222,223,223,224,224,224,223,220,220,219,219,218,218,218,216,216,216,216,217,213,214,214,214,213,214,214,213,213,213,213,213,197,197,197,197,198,198,199,197,196,196
