Renewables 03/29/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45
,Solar,-36,-38,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-38,-39,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-40,-40,-40,-40,-40,-40,-41,-38,-39,-39,-39,-39,-39,-30,-31,-36,-40,-37,-40,-40,-41,-40,-13,2,1,2,0,0,4,11,29,73,175,309,495,783,1095,1358,1626,1923,2272,2703,3136,3581,4018,4535,5026,5501,5954,6450,7047,7658,8177,8302,8630,8841,9078,9465,9665,9872,10122,10373,10567,10683,10748,11030,11099,11076,10937,10900,11310,11389,11430,11474,11330,11079,11158,11225,11218,11040,11122,11401,11657,11491,11180,10974,10990,10747,10375,10538,10762,10745,10657,10757,10983,10898,10969,10937,10859,11015,11391,11200,10683,9981,9761,9750,9889,10476,10590,10551,10277,9986,10075,10274,10489,10555,10379,10384,10511,10702,10771,10853,10944,10860,10917,10809,10092,10024,9882,9655,9747,10055,10369,9905,9867,9949,9903,9984,9941,9923,9855,9704,9236,9173,8995,8791,8600,8758,9053,9106,9251,8963,8533,8036,7637,7731,7640,7835,8214,8031,7566,7232,6931,6626,6128,5527,4810,4060,3529,3085,2602,2092,1642,1231,918,634,442,293,230,124,81,56,37,18,0,-1,0,0,1,0,1,1,2,2,2,2,0,3,2,1,-7,-13,-3,2,3,4,3,2,3,2,2,2,1,-1,6,2,1,1,1,1,1,1,1,1,1,1,-26,-39,-42,-42,-42,-42,-42,-42,-42
,Wind,2918,2958,3049,3121,3110,3065,3128,3221,3224,3219,3320,3376,3478,3521,3498,3477,3401,3362,3331,3281,3203,3194,3356,3507,3472,3426,3431,3471,3468,3473,3445,3347,3357,3367,3412,3431,3435,3457,3467,3472,3490,3490,3464,3469,3460,3489,3479,3474,3444,3263,3217,3223,3194,3352,3490,3575,3643,3670,3730,3811,3828,3974,4139,4208,4459,4443,4433,4503,4558,4590,4554,4524,4521,4444,4408,4399,4381,4323,4337,4359,4424,4527,4591,4692,4713,4766,4766,4800,4824,4860,4831,4809,4803,4780,4799,4876,4911,4893,4899,4935,4975,5037,5120,5212,5258,5242,5222,5212,5138,5074,5007,5082,5052,5012,4994,5035,5017,5060,5086,5135,5127,5044,4900,4909,5006,4999,4914,4825,4740,4682,4689,4800,4951,5032,4931,4767,4903,4933,4943,5020,5031,5022,5013,5024,5097,5175,5201,5220,5263,5270,5284,5344,5378,5427,5390,5398,5395,5377,5388,5375,5439,5476,5466,5415,5378,5320,5336,5281,5294,5252,5214,5214,5225,5205,5121,5144,5139,5129,5158,5172,5163,5208,5210,5178,5219,5200,5249,5239,5311,5300,5311,5329,5364,5407,5326,5312,5266,5215,5204,5217,5288,5308,5301,5308,5297,5328,5431,5429,5375,5268,5301,5297,5283,5229,5269,5328,5378,5412,5410,5408,5428,5453,5506,5411,5292,5319,5354,5395,5397,5328,5289,5336,5305,5260,5226,5172,5165,5173,5270,5360,5342,5388,5457,5443,5399,5430,5495,5475,5440,5484,5454,5627,5675,5695,5731,5736,5732,5714,5696,5669,5681,5650,5571,5513,5448,5432,5405,5442,5490,5515,5504,5458,5359,5320,5333,5365,5440,5524,5610,5598,5504,5517,5493,5399,5427,5445
,Geothermal,811,811,810,810,809,810,810,810,810,810,810,810,810,812,814,813,811,811,810,810,810,810,810,810,810,811,810,810,811,810,810,809,809,809,808,808,809,807,808,807,807,807,808,808,806,807,807,807,806,807,808,808,808,808,809,809,808,807,808,809,809,808,808,809,808,809,807,809,809,808,809,808,808,809,808,808,808,807,809,809,808,806,809,807,807,807,808,809,809,809,809,809,808,806,806,806,803,798,799,797,797,798,798,799,799,799,799,799,802,802,804,804,804,804,803,803,803,802,802,802,803,802,802,802,802,800,801,801,801,801,801,801,799,800,800,799,799,799,800,798,797,798,797,798,797,795,797,795,796,796,795,796,795,795,796,795,793,792,793,793,792,793,792,794,792,792,793,791,791,790,791,791,791,791,792,792,794,793,794,794,794,792,793,794,794,793,792,793,793,794,793,791,791,790,790,791,790,791,791,791,791,791,792,792,793,792,790,792,794,793,793,793,794,794,792,790,789,792,797,796,795,794,794,794,795,794,795,796,796,796,797,797,797,797,796,798,798,798,797,798,798,798,799,799,798,799,799,800,800,800,800,799,800,800,800,800,799,799,799,798,799,800,799,801,801,800,801,800,802,802,800,800,800,800,799,799,799,800,800,799,800,799,800,800,800,800
,Biomass,232,232,229,226,225,226,225,226,226,226,224,224,224,225,228,227,226,225,225,228,227,227,228,229,228,228,227,228,229,228,229,228,227,227,227,228,228,232,230,231,231,230,228,231,232,234,235,234,233,236,234,233,232,232,232,232,232,231,230,229,228,228,227,229,228,229,228,228,230,229,229,228,229,229,226,225,226,225,226,226,224,224,226,225,225,227,226,228,226,225,225,225,226,222,222,222,222,224,221,222,223,221,222,223,223,226,224,225,217,226,225,226,226,224,225,226,229,229,229,227,222,225,227,229,230,229,230,229,226,222,222,224,226,229,229,227,219,219,218,221,225,226,226,225,225,224,224,224,227,223,219,221,221,225,227,226,227,228,223,220,220,222,224,226,229,230,230,227,223,221,222,224,224,226,227,227,223,216,208,206,206,207,206,209,211,214,224,231,232,233,233,233,237,240,241,244,247,245,244,243,244,243,242,243,244,242,242,242,243,242,243,242,241,241,240,241,242,242,243,245,243,242,242,242,241,240,239,241,241,242,242,242,242,242,246,245,245,244,244,245,244,244,243,244,243,244,245,245,246,247,248,246,245,246,246,245,245,244,246,247,245,246,250,248,249,248,247,243,241,240,239,235,233,231,231,231,234,232,230,230,232,231,231,230,231,230
,Biogas,195,197,197,197,197,197,197,197,197,196,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,196,197,196,196,196,197,196,196,196,196,197,196,196,196,196,196,196,196,196,196,196,196,196,196,196,195,196,195,194,195,194,192,193,191,193,193,194,194,193,192,192,192,193,192,192,193,192,192,193,194,192,193,193,193,193,194,193,194,192,193,193,193,192,192,192,192,191,191,193,192,192,191,191,191,191,191,192,192,194,192,192,192,192,192,192,192,192,192,192,193,192,192,192,192,192,193,193,193,192,192,194,193,194,192,193,193,193,193,193,194,193,196,194,193,193,193,195,193,193,193,193,193,193,193,193,194,194,194,194,194,194,195,194,194,195,195,194,194,194,194,194,194,194,194,194,194,195,194,193,193,193,193,193,193,193,193,193,194,194,193,194,197,196,196,197,197,196,196,196,196,196,196,196,196,196,196,196,195,195,195,196,196,196,196,196,196,197,196,196,196,196,196,196,195,196,196,196,196,196,196,197,196,196,196,196,196,196,196,196,195,195,195,195,195,195,195,195,194,195,195,194,194,194,194,194,195,194,194,194,194,195,194,194,194,194,194,194,194,194,194,194,194
,Small hydro,175,177,183,182,183,182,182,181,181,181,181,181,182,181,181,181,180,181,182,181,181,181,181,182,182,182,182,181,180,180,180,179,179,179,178,178,177,177,177,177,176,176,176,176,176,175,175,175,176,181,193,198,199,198,199,199,199,198,198,198,198,201,201,202,201,200,200,200,200,200,200,216,241,241,241,240,240,239,241,241,243,242,242,242,243,243,241,241,242,242,243,243,242,242,243,244,244,244,235,209,203,204,204,205,216,233,248,241,217,201,199,191,188,189,188,189,189,188,188,189,189,187,185,185,185,185,185,185,185,185,183,167,141,141,141,142,142,142,143,142,142,143,142,141,141,143,143,143,143,143,143,143,143,142,143,143,144,143,143,143,144,144,144,142,142,143,142,143,143,142,142,141,141,140,140,140,140,140,140,141,141,141,142,143,145,144,144,143,142,143,143,144,144,146,146,146,147,150,151,151,152,152,152,153,154,161,190,202,204,205,204,205,205,206,207,232,259,265,267,267,267,266,267,267,267,267,267,268,268,266,266,266,266,265,265,266,267,266,266,268,268,266,266,266,266,265,265,265,265,265,264,265,265,265,254,224,223,224,225,225,225,223,223,223,224,219,211,212,212,212,210,212,213,212,212,211,211,211,194,176,177,176,176,176,176,176
