Renewables 02/15/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/15/2022,-39,-39,-39,-39,-38,-38,-38,-38,-39,-39,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-38,-38,-38,-39,-39,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-38,-9,11,13,14,22,36,70,143,231,341,512,748,1047,1369,1679,2079,2528,2986,3449,3832,4118,4512,4939,5302,5781,6223,6565,6805,6985,7224,7420,7573,7614,7762,7940,8034,8052,7941,7815,7918,8012,8071,8186,8489,8903,9006,9074,9160,9403,9625,9779,9932,9866,9616,9328,8855,8759,8775,8800,8652,8432,8620,8584,8469,8462,8557,8569,8231,8012,7889,7910,8160,8423,8143,7842,7877,8057,8065,8111,8016,7965,7899,7854,7993,8126,8141,8110,7976,7944,7950,8000,8206,8031,7747,7779,7757,7640,7712,7708,7879,7957,7803,7883,7882,8055,8312,8010,7468,6968,6712,6708,6465,6618,6847,6801,6465,6153,6012,5931,6012,5626,5075,4637,4215,3874,3498,3196,2833,2517,2168,1757,1390,1025,766,524,339,192,93,30,-9,-27,-29,-29,-8,112,142,143,144,145,145,145,145,144,144,144,144,145,145,145,145,146,147,147,148,147,138,138,120,72,47,48,48,48,48,47,47,48,48,47,48,48,47,47,46,47,46,45,46,42,38,35,33,22,19,17,6,0,-7,-15,-22,-32,-38,-43,-44,-43,-44,-44,-44,-44,-43,-43,-44,-44,-44,-43
Wind,2/15/2022,4568,4636,4740,4852,4970,5083,5221,5291,5320,5365,5362,5382,5412,5473,5525,5535,5466,5394,5375,5406,5414,5428,5367,5293,5236,5182,5123,5028,4968,4877,4822,4775,4695,4597,4543,4449,4357,4312,4257,4259,4229,4226,4251,4332,4350,4402,4444,4467,4552,4656,4721,4806,4929,5057,5090,5115,5080,5049,5003,4969,4975,5018,4994,4966,4955,5015,4994,4941,4955,5025,5103,5132,5123,5081,5039,4919,4849,4881,4833,4767,4726,4687,4582,4488,4472,4448,4405,4415,4478,4551,4535,4486,4386,4296,4219,4129,4117,4169,4211,4242,4262,4296,4345,4426,4486,4594,4649,4663,4733,4851,4875,4896,4925,4967,4970,4972,4982,4992,5020,5012,4943,4949,4981,5075,5138,5262,5366,5419,5464,5467,5441,5426,5456,5466,5486,5500,5586,5646,5694,5706,5763,5796,5857,5886,5932,5951,5985,6018,6025,6098,6148,6116,6148,6119,6009,5988,5944,5878,5832,5811,5816,5866,5932,5961,5961,5907,5811,5769,5738,5684,5828,5927,5977,6032,6060,6062,6024,5968,5862,5781,5772,5785,5817,5814,5836,5860,5867,5823,5903,5892,5877,5845,5855,5847,5786,5707,5600,5661,5635,5610,5666,5597,5552,5602,5619,5603,5643,5622,5589,5601,5590,5520,5524,5494,5434,5465,5479,5449,5481,5442,5374,5387,5349,5344,5354,5348,5346,5382,5441,5429,5429,5403,5427,5492,5493,5489,5559,5583,5599,5628,5604,5576,5634,5661,5672,5673,5596,5497,5447,5347,5237,5163,5039,4947,4915,4893,4827,4870,4882,4920,4951,4909,4865,4861,4823,4840,4882,4838,4856,4888,4876,4863,4907,4919,4910,4930,4931,4952,5012,5063,5060,5071,5100,5097,5167,5163,5155,5184
Geothermal,2/15/2022,860,858,858,857,857,858,859,860,860,861,863,862,863,861,861,859,857,857,856,857,857,857,857,857,857,858,858,857,859,859,859,856,856,856,856,859,859,864,864,869,869,868,860,854,854,854,855,855,855,853,854,856,856,856,855,856,857,856,857,857,857,857,863,864,864,864,865,863,863,862,861,861,863,864,863,864,864,862,865,864,865,866,870,870,871,871,870,870,872,875,876,878,880,880,880,879,880,878,874,871,869,872,871,872,872,868,868,867,868,866,865,865,865,864,864,864,863,863,863,864,862,864,864,864,864,864,863,864,864,862,863,864,865,868,869,868,867,866,866,863,861,862,862,862,864,861,860,860,862,860,860,860,858,859,860,859,859,858,857,858,857,857,857,856,857,856,853,856,856,856,856,861,861,861,860,860,861,849,834,834,827,830,839,850,855,858,862,864,866,864,863,863,862,862,865,869,872,871,871,867,864,864,860,861,860,864,865,865,865,865,864,864,865,865,866,866,872,871,871,870,871,870,871,867,863,865,865,865,859,863,864,863,863,862,862,862,862,861,860,860,860,859,860,860,859,859,859,862,862,862,863,863,863,866,866,866,867,867,868,866,866,866,867,866,863,862,863,863,862,860,861,861,861,861,862,861,863,862,862,862,864,863,861,859,859,858,857,859
Biomass,2/15/2022,275,271,268,269,270,269,268,270,267,268,267,268,271,270,268,271,269,269,267,269,270,270,271,271,269,269,270,271,271,272,272,271,270,267,268,267,268,268,270,269,270,270,270,270,272,273,272,272,272,270,270,269,270,271,270,272,274,273,275,274,271,271,273,269,269,270,272,272,270,271,272,269,271,271,266,267,268,265,266,268,267,263,261,260,259,260,261,271,282,281,278,271,284,284,282,281,279,277,278,278,280,281,280,283,284,286,285,285,282,281,285,285,284,281,285,284,280,283,285,286,286,285,284,283,288,288,288,288,289,287,289,289,287,288,289,288,288,289,288,288,289,287,287,286,284,288,291,289,290,288,287,287,286,290,287,289,289,290,292,291,292,287,288,288,288,291,289,290,291,291,288,289,290,289,288,286,284,285,285,286,287,284,287,287,286,282,286,286,286,287,287,287,288,290,290,294,294,299,298,317,319,320,312,301,296,295,297,298,297,298,297,296,297,296,297,298,298,297,296,297,298,298,298,299,297,298,299,298,297,299,300,298,299,299,299,300,299,298,299,299,298,297,298,298,299,299,298,297,298,298,299,298,297,296,295,292,293,292,291,291,289,288,276,278,279,281,281,281,280,283,284,282,284,284,281,282,283,282,284,282,283,283,284,284,283,284,285,284
Biogas,2/15/2022,213,213,213,215,213,214,214,214,213,213,212,212,212,212,212,212,213,212,212,212,212,212,212,212,212,213,213,213,213,213,212,213,213,212,212,212,212,212,212,212,212,212,213,212,212,213,212,212,212,212,213,212,212,212,212,213,213,213,213,213,213,213,213,213,212,212,212,212,212,212,212,212,212,211,210,210,211,207,198,192,192,193,193,192,192,192,195,200,203,206,208,209,209,207,208,207,208,208,209,209,208,208,204,201,201,205,206,206,206,206,205,207,206,205,206,205,205,205,206,206,205,205,205,205,205,198,195,195,195,195,195,195,195,195,187,190,194,195,197,198,199,202,203,206,209,209,208,208,209,208,206,207,207,208,207,207,208,208,209,208,209,211,209,210,212,210,209,209,209,209,209,208,209,208,209,209,209,208,208,208,208,208,208,208,210,209,209,209,209,208,208,209,209,210,209,210,210,209,209,209,210,210,210,210,210,213,212,212,213,212,211,211,209,209,204,202,202,202,202,202,202,202,203,202,201,201,201,201,201,201,201,202,202,201,201,202,201,202,202,201,201,202,207,206,206,206,206,207,207,207,207,207,207,206,206,206,205,206,206,206,205,205,206,206,206,206,206,208,207,202,200,200,201,201,201,201,201,201,201,201,201,202,202,201,200,200,201,200
Small hydro,2/15/2022,187,185,184,184,184,185,185,185,184,184,184,183,183,183,184,184,184,184,184,185,185,186,186,185,185,185,184,184,184,184,184,184,185,186,185,185,185,184,184,184,184,185,185,185,185,184,184,184,183,183,183,183,183,183,183,185,185,185,186,185,186,187,187,186,185,185,185,186,187,187,187,187,186,187,202,208,208,208,208,207,206,206,206,220,246,246,245,247,247,246,246,246,247,248,248,247,247,246,236,237,237,238,239,238,239,238,237,236,233,233,221,195,189,186,185,186,185,184,185,170,151,140,134,138,144,144,143,143,143,144,142,145,146,145,134,133,132,132,131,131,131,133,134,133,132,131,131,131,131,131,131,131,131,131,131,131,132,130,131,131,131,131,131,131,131,132,133,133,134,133,132,132,132,132,132,131,130,130,130,131,131,140,182,182,182,181,182,182,183,184,185,185,185,197,205,206,206,206,206,206,207,207,207,220,247,248,247,247,247,247,246,245,244,244,245,245,244,245,246,246,245,246,246,245,244,244,244,245,246,248,250,250,250,248,248,248,248,248,248,248,249,251,241,216,211,212,212,212,211,212,211,211,211,212,211,212,211,211,211,212,213,212,212,211,210,210,209,209,209,209,209,209,210,210,210,210,210,211,210,195,193,192,192,192,192,192,192,192
