Renewables 02/07/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/7/2022,-36,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-40,-41,-40,-40,-40,-40,-40,-40,-40,-40,-33,-30,-30,-30,-30,-30,-30,-31,-31,-31,-31,-15,29,49,49,48,48,48,48,49,49,48,48,47,46,46,46,46,46,52,62,86,148,229,366,547,826,1138,1510,1957,2445,2989,3548,4127,4701,5292,5888,6480,7134,7713,8226,8711,9140,9507,9830,10111,10404,10633,10811,10972,11088,11160,11253,11338,11394,11450,11501,11524,11564,11570,11571,11577,11525,11503,11490,11463,11439,11446,11426,11402,11389,11370,11349,11328,11222,11189,11274,11310,11291,11286,11284,11273,11273,11243,11237,11243,11225,11211,11281,11224,11202,11218,11218,11218,11233,11236,11258,11289,11320,11344,11356,11361,11393,11429,11445,11474,11454,11463,11423,11422,11516,11491,11476,11489,11454,11413,11383,11300,11192,11095,10840,10640,10188,9914,9918,10048,10171,10216,9997,9784,9422,9016,8551,8006,7435,6873,6296,5679,5057,4458,3844,3222,2644,2067,1558,1117,887,617,433,293,203,140,116,103,77,54,54,52,136,120,119,119,119,120,120,120,119,121,121,117,94,82,82,82,83,84,84,86,87,87,87,95,131,148,148,148,148,148,147,146,145,145,146,136,98,86,86,86,86,87,86,86,86,86,86,86,76,73,71,62,50,39,29,15,3,-3,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Wind,2/7/2022,655,656,651,633,629,640,678,715,738,757,762,770,782,798,800,787,766,758,763,765,766,757,762,762,760,769,775,790,788,784,780,785,794,804,821,841,866,881,891,890,882,882,871,887,897,911,913,918,937,950,947,939,925,924,924,907,909,917,940,959,964,970,987,1002,1013,1033,1054,1075,1099,1108,1121,1135,1142,1164,1202,1238,1282,1313,1320,1313,1327,1335,1339,1350,1359,1384,1412,1429,1434,1431,1426,1413,1385,1369,1370,1354,1330,1308,1288,1281,1272,1261,1264,1286,1291,1289,1273,1257,1265,1265,1281,1312,1333,1352,1270,1345,1358,1389,1413,1424,1427,1446,1424,1406,1395,1366,1334,1323,1330,1320,1304,1300,1311,1315,1307,1336,1337,1317,1302,1263,1237,1223,1197,1178,1146,1122,1077,1055,1053,1047,1034,1026,1033,999,976,960,944,926,937,941,944,953,968,971,957,962,957,951,945,918,918,897,890,893,900,889,879,879,873,857,839,806,788,792,777,771,771,763,752,751,753,746,733,721,715,708,692,672,681,675,674,676,677,684,673,673,677,685,706,730,741,742,747,763,796,832,857,869,868,872,885,887,898,932,965,1002,1035,1052,1078,1108,1125,1129,1127,1138,1154,1173,1186,1188,1191,1219,1259,1326,1394,1447,1478,1498,1517,1517,1507,1490,1461,1442,1422,1437,1452,1456,1453,1460,1475,1491,1505,1519,1536,1547,1550,1535,1535,1543,1549,1554,1563,1565,1565,1559,1553,1544,1535,1518,1516,1523,1525,1533,1543,1551,1559,1562,1558,1553
Geothermal,2/7/2022,922,922,923,922,923,922,923,923,922,922,923,924,923,924,924,925,925,924,924,924,922,923,923,923,922,923,923,922,922,922,923,923,921,922,923,923,922,922,920,921,922,922,921,921,920,920,921,922,921,921,922,922,921,921,920,920,920,920,920,919,921,920,920,919,920,921,921,920,920,920,921,921,921,920,920,920,920,921,921,921,921,921,920,922,921,921,922,924,925,924,924,924,924,921,922,923,923,923,923,922,922,922,921,921,921,921,921,922,921,921,920,919,920,920,919,921,922,921,923,922,922,923,922,920,922,921,921,920,920,919,919,920,918,917,917,917,918,917,917,917,916,917,917,917,917,916,917,917,917,918,917,917,918,916,916,917,916,913,914,917,914,915,915,914,914,913,913,912,910,909,910,911,911,910,911,912,911,912,913,912,912,912,912,912,912,912,911,910,910,910,911,911,912,912,913,912,912,912,913,913,912,911,913,900,883,855,857,856,850,847,841,840,839,839,839,838,839,838,838,839,839,839,840,841,841,840,840,840,840,841,840,840,841,841,841,841,840,841,841,842,842,842,841,841,841,841,842,841,841,841,841,841,841,841,840,841,842,841,841,841,841,841,842,843,849,857,861,882,893,892,891,891,892,891,891,890,891,891,893,893,900,900,898,898,898,898,898,898
Biomass,2/7/2022,289,290,289,288,288,286,288,288,287,288,287,287,286,290,290,290,288,289,288,288,289,290,291,290,290,290,289,289,290,289,290,291,288,290,289,289,290,288,289,287,289,290,287,287,286,287,287,286,282,282,280,284,286,287,287,285,284,285,286,286,282,284,283,281,282,282,280,279,278,276,276,275,274,276,275,280,292,297,296,293,291,292,292,292,291,291,294,293,293,293,294,295,301,301,300,301,302,305,310,310,310,311,310,311,310,313,312,313,311,312,312,314,327,331,330,330,333,333,334,337,337,338,337,337,337,335,335,339,339,340,337,336,336,336,337,336,334,334,334,330,331,333,332,334,333,335,333,333,333,333,337,338,338,339,339,339,335,325,326,327,325,326,326,326,329,328,326,329,329,327,327,326,325,326,327,327,325,326,326,325,326,324,325,327,326,325,326,329,328,327,326,324,323,327,327,327,328,329,328,329,329,324,319,320,318,317,316,317,317,320,318,320,319,319,319,318,321,329,340,341,342,341,339,341,342,342,342,343,345,345,348,346,346,345,346,346,346,347,347,347,346,346,344,344,347,348,346,347,344,348,349,348,348,348,342,336,323,321,322,326,325,324,324,324,324,324,317,314,315,314,314,313,313,312,312,313,314,313,313,313,312,311,311,312,312,312,311,308
Biogas,2/7/2022,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,208,208,208,208,208,208,208,209,208,208,208,208,208,208,208,208,208,209,208,209,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,209,208,208,208,209,208,208,208,208,208,208,208,208,208,208,210,209,208,209,208,208,207,207,207,206,206,206,207,206,206,205,206,206,206,208,207,207,207,207,207,208,207,207,208,207,207,208,207,206,207,207,206,206,208,207,206,205,204,204,205,203,203,200,201,201,202,203,202,201,202,201,201,203,204,204,205,206,206,206,207,207,207,207,207,207,208,207,208,208,208,208,208,208,208,209,208,208,209,208,208,208,208,208,209,209,208,208,208,208,208,205,204,204,205,205,204,203,203,202,196,196,197,198,200,201,200,201,200,200,201,202,202,202,202,201,202,203,202,202,203,203,203,203,203,203,203,203,203,203,203,202,202,202,203,202,202,202,203,204,203,202,202,202,203,203,203,203,203,205,204,203,204,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,202,203,202,202,202,202,202,202,202,202,202,203,202,202,202,202,201,202,202,202,202,202,203,203,202,203,202,202,202,202,202,202,202,202,202,202,202
Small hydro,2/7/2022,181,181,180,180,180,178,178,178,179,179,179,179,180,180,181,181,181,181,180,180,181,181,181,181,181,180,181,181,181,180,180,181,181,181,180,179,179,180,181,181,181,180,180,180,180,180,181,181,181,180,180,181,181,181,181,181,181,181,181,182,182,195,199,199,199,199,198,198,199,200,200,227,241,240,240,240,240,239,239,239,239,239,238,239,240,235,215,184,182,182,183,184,185,185,184,184,185,186,187,188,187,183,181,181,182,182,181,167,141,141,141,141,141,141,140,140,141,141,141,141,142,142,143,142,143,142,142,142,142,142,142,142,142,142,141,140,140,139,140,142,143,144,143,144,142,141,141,140,141,141,141,141,141,140,139,140,139,141,147,151,152,153,154,154,152,152,152,154,154,152,150,150,150,150,150,151,150,150,149,149,149,149,156,157,156,156,155,155,155,154,147,134,135,152,180,180,180,180,180,181,190,202,203,222,243,244,256,254,254,256,256,256,256,255,255,255,255,255,255,255,255,256,256,257,257,256,257,257,257,257,246,222,216,217,216,216,215,215,215,216,216,215,202,203,204,204,204,205,204,204,203,204,203,203,204,205,204,205,204,204,204,202,201,200,200,201,202,204,204,204,203,203,203,203,203,204,204,203,200,199,198,199,199,200,200,200,200,200
