Renewables 02/18/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/18/2022,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-42,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-39,-34,-22,14,81,177,330,514,800,1135,1579,2084,2589,3100,3677,4261,4866,5469,5994,6273,6696,7297,8228,8891,9426,9853,10246,10525,10644,10743,10739,10822,10798,10699,10941,11180,11308,11370,11319,11360,11316,11307,11151,11031,10995,10924,10971,11087,11186,11289,11170,11052,10970,10950,11005,11025,10960,10931,10996,11019,10888,10884,11177,11169,11114,11009,11057,11017,10994,10990,11225,11313,11390,11333,11303,11245,11166,11088,11078,11061,11118,11071,11009,10991,10957,10833,10711,10849,11107,11076,11145,11762,12057,11833,11332,10958,10662,11260,11671,11511,10625,9916,9474,9320,9177,9472,10137,9922,9367,8288,7944,7856,7973,7902,7719,7446,7141,6329,5469,4865,4671,4837,4856,4845,4418,3955,3413,2877,2423,1974,1579,1175,900,706,524,407,293,227,193,227,208,174,205,207,210,209,210,210,210,210,210,209,209,206,189,186,186,186,186,186,186,188,188,188,188,188,160,125,121,121,121,121,121,87,62,63,63,60,58,59,59,60,60,60,60,60,60,60,60,58,52,51,49,35,6,-9,-17,-25,-28,-29,-29,-29,-29,-29,-29,-28,-28,-29,-29,-29,-29,-29,-29
Wind,2/18/2022,1511,1504,1500,1502,1502,1500,1490,1490,1485,1477,1465,1458,1452,1445,1433,1430,1431,1435,1442,1444,1450,1460,1472,1468,1471,1463,1467,1467,1457,1451,1453,1455,1465,1469,1469,1471,1474,1471,1469,1477,1490,1492,1492,1486,1473,1464,1462,1460,1457,1458,1459,1459,1457,1454,1455,1456,1458,1436,1408,1395,1381,1386,1404,1409,1400,1368,1344,1323,1307,1287,1274,1262,1248,1267,1277,1263,1259,1252,1250,1248,1249,1224,1195,1173,1161,1161,1157,1153,1149,1134,1119,1108,1108,1110,1106,1112,1107,1087,1087,1093,1076,1059,1048,1038,1044,1033,1001,995,981,980,999,1002,1022,1032,1044,1042,1035,1033,1015,1004,1016,1018,1008,1010,975,954,930,928,920,938,927,930,934,914,896,886,884,876,874,841,826,815,807,803,789,780,781,780,741,726,726,695,669,672,661,656,631,624,606,610,614,613,606,599,577,582,599,629,655,664,677,683,694,715,704,728,742,757,742,743,759,772,757,735,714,678,667,670,655,636,607,593,568,569,575,561,540,521,484,453,436,415,410,407,423,444,463,480,491,488,483,481,479,488,495,497,503,515,519,527,536,536,545,549,560,570,576,594,614,632,636,644,663,679,706,732,752,753,753,757,771,778,790,787,790,797,820,833,844,849,852,855,871,884,896,894,876,847,828,819,811,807,798,777,741,710,696,688,691,696,697,697,697,680,664,665,672,677,675,679,686,695,704,703,703,694,684,665
Geothermal,2/18/2022,860,859,860,861,860,860,860,857,858,857,858,858,857,854,854,856,856,856,860,863,863,862,863,862,862,862,861,862,862,861,861,861,862,861,862,861,864,866,866,866,865,866,860,860,859,854,839,814,816,811,810,810,810,811,812,811,811,812,812,812,811,816,818,818,820,822,823,823,823,823,824,825,825,824,826,825,825,825,826,826,826,826,827,826,826,827,832,836,836,836,835,833,833,833,833,833,834,835,834,834,833,834,833,834,832,834,831,830,830,828,827,827,827,826,825,825,824,824,824,823,824,827,828,828,827,828,828,827,827,827,826,825,825,824,824,824,824,823,824,822,822,823,822,823,823,822,822,822,819,820,820,820,820,820,820,820,819,817,817,816,813,815,817,816,816,816,810,807,807,812,818,818,818,818,818,818,817,818,819,819,819,819,821,820,820,820,820,820,820,821,818,819,819,821,823,823,823,824,823,824,823,823,824,824,824,826,826,825,826,827,827,826,825,826,826,825,826,826,825,827,827,827,827,828,828,827,828,829,828,828,829,830,830,829,828,826,827,828,828,827,826,826,826,827,826,825,825,824,824,824,827,826,825,829,829,828,828,828,828,829,830,828,828,828,829,826,826,826,826,827,827,828,825,826,825,826,826,826,825,825,827,828,828,828,828,828,828,827
Biomass,2/18/2022,295,292,294,295,294,294,294,296,296,295,294,296,295,297,296,295,288,287,288,286,284,283,286,286,286,286,284,284,282,285,284,287,286,287,288,287,286,287,288,286,287,288,289,288,290,288,288,287,286,288,288,288,288,287,287,287,287,289,290,290,289,291,288,289,290,290,290,291,291,290,291,291,289,289,290,287,288,289,291,287,287,288,287,287,287,285,285,284,289,288,288,284,285,285,288,288,289,288,289,289,290,287,289,291,289,297,294,295,293,295,293,293,291,294,292,298,299,296,294,295,296,297,295,294,295,294,291,292,295,297,297,298,298,299,294,294,292,293,294,292,293,296,293,290,290,290,292,292,293,294,295,295,296,294,293,293,293,294,292,292,293,293,294,294,294,296,295,294,295,296,296,295,293,294,294,297,296,296,298,296,294,294,293,295,295,295,295,293,296,297,296,296,297,298,299,301,300,303,302,303,303,305,305,307,307,312,313,312,313,313,312,312,312,311,312,311,310,311,310,311,312,314,315,312,311,313,311,311,309,312,313,313,313,311,311,310,309,311,310,310,311,311,310,310,312,315,313,314,314,313,314,314,313,313,310,309,307,306,307,306,305,303,301,300,299,301,298,299,298,296,296,296,295,297,296,296,297,297,297,298,297,298,298,297,298,297,299,298
Biogas,2/18/2022,217,216,215,216,215,216,216,216,216,216,216,216,213,211,210,208,207,206,204,204,205,205,205,206,207,207,206,207,206,213,217,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,216,217,216,216,216,217,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,215,216,216,215,216,216,215,215,215,215,215,215,215,216,215,215,214,215,215,215,216,215,215,215,216,215,215,215,215,215,214,210,210,211,211,211,211,211,211,210,210,210,210,210,210,212,212,213,213,214,214,214,214,214,214,214,213,213,214,214,214,213,213,215,214,215,216,216,217,217,218,218,217,217,218,217,218,217,217,218,218,218,218,218,218,218,218,218,218,218,217,218,218,218,217,217,217,217,217,217,217,218,218,218,217,218,218,218,218,218,218,218,218,218,218,218,218,217,217,217,218,218,218,218,217,218,217,218,217,217,217,218,217,217,218,218,218,218,218,217,219,218,218,219,219,219,219,218,218,218,219,219,219,219,219,219,218,219,218,218,219,219,219,219,219,219,218,219,219,219,219,219,218,219,218,218,218,218,218,218,218,218,218,217,217,218,218,217,217,217,218,217,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,219
Small hydro,2/18/2022,165,160,160,160,160,160,159,159,159,159,159,161,162,162,162,162,162,162,162,161,160,159,159,160,161,161,161,161,161,161,160,162,162,163,162,162,162,161,161,161,161,161,161,161,160,161,161,161,161,160,160,156,156,156,156,156,156,156,156,156,157,159,160,160,160,160,162,162,162,161,161,171,192,199,215,220,220,219,220,220,220,220,219,219,219,220,210,181,181,181,181,180,180,179,179,161,139,139,128,123,123,124,123,123,123,123,123,123,123,121,120,119,119,119,120,120,119,119,119,119,119,119,120,119,119,119,119,119,119,118,118,118,118,118,122,122,122,118,125,126,118,126,131,118,133,124,119,131,127,119,119,118,119,118,119,119,119,119,119,118,119,119,120,120,120,118,116,115,114,115,119,120,121,120,120,120,121,121,120,121,119,118,118,118,118,119,119,118,117,117,117,117,117,128,164,162,164,165,166,165,165,165,164,181,206,209,221,222,222,222,223,223,224,223,223,222,222,223,224,224,225,225,224,224,224,225,225,224,224,224,225,224,225,224,223,223,224,224,224,224,224,224,216,190,185,184,184,184,184,184,184,185,185,184,182,181,181,181,180,180,181,181,181,182,182,179,178,178,178,178,178,178,179,179,180,180,179,180,179,162,160,160,160,160,160,160,160,161
