Renewables 03/11/2022,Renewable Energy Type,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
,Solar,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-11,-12,-12,-12,-12,-12,-12,-11,-12,-12,-12,-12,-12,-12,-12,-12,-12,-11,-11,-12,-13,-13,-12,-12,-12,-12,-12,-12,-13,-12,-12,-12,-12,-12,-13,-13,-13,-13,-13,-13,-13,-13,-14,-13,-9,-9,-9,-9,-9,-9,-10,-10,-9,-7,-4,11,60,135,230,381,595,904,1284,1765,2288,2872,3495,4109,4801,5493,6138,6801,7450,8062,8679,9196,9503,9710,9801,10082,10940,11543,11828,12036,12151,12067,11929,11852,11764,11699,11723,11996,12482,12699,12717,12642,12644,12644,12764,12829,12897,12903,13017,13046,13164,13222,13228,13115,13119,13148,13013,12948,13045,13106,13134,12986,12946,12983,12932,12749,12598,12434,12381,12377,12467,12469,12444,12472,12574,12479,12472,12432,12363,12366,12415,12495,12528,12553,12555,12662,12714,12517,12548,12559,12564,12566,12563,12637,12661,12441,12241,12211,12395,12489,12605,12664,12713,12732,12925,13009,12964,12718,12555,12661,12709,12528,12430,12258,12391,12391,12401,12310,12066,11926,11698,11429,11117,10531,10104,9452,9326,8852,8309,7688,7048,6368,5715,5007,4310,3646,3024,2419,1906,1482,1101,834,605,480,347,278,255,245,238,213,197,197,234,250,144,86,86,83,58,50,49,49,49,49,49,49,49,50,50,54,39,35,35,35,35,36,35,35,35,35,33,30,16,6,6,6,6,6,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,4,-1,-10,-20,-31,-38,-40,-40,-42,-42
,Wind,1854,1859,1855,1805,1737,1690,1680,1666,1639,1593,1590,1564,1542,1507,1514,1521,1561,1642,1720,1736,1714,1691,1647,1614,1614,1616,1597,1566,1547,1523,1482,1475,1487,1472,1466,1488,1511,1517,1538,1534,1514,1506,1510,1496,1491,1497,1517,1512,1492,1458,1426,1390,1374,1357,1368,1380,1417,1439,1447,1443,1450,1459,1482,1505,1492,1489,1482,1426,1354,1268,1196,1142,1087,1052,1048,1026,1001,960,941,920,922,913,892,869,860,845,860,819,795,788,811,816,817,815,818,839,885,921,936,941,972,1017,1042,1050,1016,1011,1019,1033,1049,1059,1044,1022,1031,1054,1072,1078,1039,1013,1013,1037,1010,1002,995,1018,1017,1004,1031,1070,1063,1051,1050,1068,1073,1068,1054,1072,1089,1066,1013,963,963,988,961,919,870,845,838,813,820,829,819,811,827,833,837,806,779,771,758,754,750,751,749,752,741,718,693,698,689,654,649,646,637,614,598,583,581,586,576,566,555,541,528,510,504,502,492,480,476,464,458,439,421,394,376,354,325,299,285,278,283,284,280,271,263,266,266,247,246,247,245,236,228,236,253,264,267,273,276,275,281,302,325,349,383,398,433,477,483,467,478,508,526,538,556,576,594,611,643,663,686,707,717,717,715,720,720,717,712,740,759,778,803,825,835,840,848,853,856,853,842,845,858,847,838,834,822,813,813,795,788,817,846,865,876,867,858,856,852,868,880,902,918,939,955,958,963,981
,Geothermal,937,937,936,937,936,936,936,937,937,937,936,937,936,936,937,936,936,937,937,936,936,938,939,939,939,939,939,939,938,939,939,938,939,939,939,939,938,939,939,938,937,938,938,938,937,938,938,937,937,938,938,937,937,937,939,939,939,940,940,940,940,940,940,941,941,941,941,940,940,940,941,940,940,941,940,938,937,936,937,937,937,937,938,938,937,937,938,937,937,937,938,937,936,936,936,936,937,928,923,917,929,938,938,938,937,937,937,937,936,935,939,939,939,939,939,938,939,939,938,938,939,938,936,937,936,937,935,936,936,935,934,935,934,934,935,934,932,933,933,933,934,934,935,934,933,933,934,932,933,932,932,931,931,929,932,931,931,931,932,930,931,930,930,931,930,931,930,930,930,929,930,930,929,929,929,928,928,929,928,928,929,930,930,931,930,931,931,930,931,930,930,930,929,926,920,921,918,912,913,907,904,882,883,884,884,885,885,885,886,886,886,887,887,888,888,888,889,889,889,889,889,891,891,892,892,892,891,892,893,892,893,893,892,892,893,893,893,893,894,893,894,893,893,894,892,893,893,894,895,894,894,894,896,896,895,895,895,894,895,896,895,895,894,894,895,895,894,895,895,895,894,895,895,895,895,895,895,896,896,896,895,896,896,896,895,896,896,897
,Biomass,268,268,269,269,268,270,269,269,268,267,268,268,268,267,268,266,264,264,266,265,266,269,267,269,268,270,269,269,269,268,270,268,268,268,270,270,270,274,272,272,271,272,272,272,268,266,266,266,267,268,269,269,269,270,269,271,272,272,272,272,271,272,270,271,271,270,269,265,261,266,269,269,267,267,268,269,268,268,266,267,265,265,266,268,269,269,269,270,271,269,268,267,268,278,293,294,296,295,295,295,295,295,296,294,295,297,296,297,298,297,296,297,299,298,298,300,300,299,299,300,298,301,300,298,298,299,298,298,299,296,296,295,295,294,297,295,295,295,296,297,298,297,298,298,296,294,295,294,291,290,293,293,292,291,293,293,293,295,294,293,294,292,294,294,292,293,296,295,295,296,296,295,293,296,295,295,295,297,294,297,300,298,298,295,295,298,298,299,299,298,297,298,298,301,299,299,299,302,302,304,305,304,303,301,297,299,299,302,302,299,299,300,300,299,301,298,294,293,293,292,293,294,295,296,296,294,294,293,292,291,287,287,290,290,289,290,294,294,295,293,294,294,293,292,292,293,293,295,296,297,296,296,296,297,299,296,299,297,297,300,303,301,300,300,300,293,287,272,272,272,272,271,271,269,269,269,268,268,268,267,268,268,267,267,268,270,269,270
,Biogas,212,211,211,211,212,211,211,211,211,212,211,211,211,210,211,212,212,212,212,212,212,212,212,212,213,212,212,211,212,211,212,211,211,211,211,210,208,208,208,208,208,208,208,208,208,208,208,209,208,209,210,211,211,211,211,211,211,211,211,211,211,211,210,210,210,210,211,210,210,210,211,210,210,211,212,210,210,211,210,210,210,207,207,207,207,207,207,206,206,206,208,207,207,205,205,204,205,205,206,207,207,206,205,207,207,205,206,206,205,206,205,205,206,205,205,207,207,205,205,206,206,205,204,201,201,202,203,202,204,207,207,208,209,210,210,211,208,208,209,208,208,208,208,208,208,209,209,211,210,211,210,210,211,211,211,211,211,211,211,210,210,210,210,211,210,210,210,209,206,208,211,212,211,212,212,212,210,211,210,211,210,211,211,211,211,212,213,212,212,210,205,204,205,204,204,205,205,205,205,205,205,205,205,205,204,204,205,204,205,205,205,205,205,209,209,211,212,215,218,219,219,219,218,218,218,218,219,218,219,219,220,219,219,219,219,219,219,220,219,219,219,219,219,219,219,219,219,219,219,218,218,219,218,218,218,218,218,218,218,218,218,218,218,218,218,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218,219,218,217,217,217,217,218
,Small hydro,143,142,139,140,140,140,140,140,139,139,138,138,139,139,139,139,139,139,139,138,138,139,139,139,139,139,139,139,139,140,140,140,140,141,141,140,139,139,139,139,138,140,140,140,141,141,141,139,138,138,139,139,139,139,139,139,140,140,141,140,139,139,139,139,139,139,139,139,139,140,140,167,180,180,179,180,181,182,182,182,182,182,182,181,180,180,170,146,139,139,139,139,139,139,138,139,144,145,146,146,146,146,146,145,145,145,144,131,114,105,104,104,104,103,104,103,103,103,104,104,104,103,104,104,104,105,106,105,105,104,103,103,103,103,103,103,104,105,105,106,106,105,105,104,104,105,105,106,105,106,105,106,106,106,106,106,106,106,106,105,105,104,104,105,104,105,104,104,105,105,105,107,107,106,108,108,109,108,108,107,107,120,148,148,148,148,147,147,147,147,147,148,147,149,155,156,156,156,156,156,155,156,156,178,211,211,211,211,211,210,212,213,213,212,212,212,212,212,213,212,212,211,211,211,211,211,210,210,210,209,207,206,206,206,207,207,208,209,209,209,209,207,203,203,204,204,204,203,202,202,202,202,201,202,198,191,192,192,191,190,189,189,190,189,189,190,180,155,148,147,147,147,147,147,147,144,143,143,143,143,143,143,143,143,144,144,144,143
