Renewables 02/09/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/9/2022,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-42,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-34,-33,-33,-33,-31,-25,-11,29,96,192,323,530,823,1128,1508,1924,2435,2949,3464,4018,4589,5247,5930,6551,7206,7814,8405,8906,9379,9742,10060,10306,10538,10732,10873,11054,11220,11358,11444,11486,11561,11617,11684,11636,11666,11712,11762,11818,11812,11812,11826,11821,11792,11791,11803,11801,11796,11784,11756,11710,11553,11459,11477,11468,11470,11458,11452,11452,11456,11437,11351,11382,11433,11408,11410,11423,11438,11476,11487,11481,11539,11570,11559,11514,11483,11497,11478,11495,11569,11562,11486,11455,11470,11546,11615,11600,11637,11616,11527,11449,11444,11356,11275,11247,11099,10712,10614,10645,10531,10244,9953,9684,9495,9507,9361,8994,8325,7901,7492,7079,6552,6124,5734,5267,4758,4198,3645,3102,2599,2032,1558,1223,985,691,483,303,172,91,44,3,-19,-15,-13,-13,42,50,51,51,48,41,41,41,42,42,42,56,92,110,110,111,112,112,113,112,113,114,114,118,130,135,135,135,134,134,134,135,135,134,134,133,130,131,129,130,130,130,130,130,130,129,126,112,54,19,15,9,5,-1,-3,-4,-6,-9,-12,-19,-28,-34,-35,-35,-35,-35,-35,-35,-35,-35,-35
Wind,2/9/2022,985,1015,1025,1024,1017,1008,993,968,963,964,967,968,954,959,978,979,965,963,968,975,968,968,973,996,1016,1040,1070,1090,1124,1168,1190,1221,1269,1300,1316,1327,1339,1358,1366,1379,1383,1386,1408,1387,1414,1497,1511,1535,1539,1555,1569,1576,1571,1560,1563,1566,1588,1640,1686,1703,1686,1653,1621,1620,1622,1639,1666,1692,1696,1702,1696,1692,1702,1732,1741,1736,1713,1691,1705,1736,1763,1780,1795,1790,1762,1740,1719,1681,1659,1635,1627,1623,1620,1602,1611,1638,1653,1678,1690,1700,1707,1719,1732,1728,1704,1670,1654,1658,1667,1688,1717,1761,1801,1832,1882,1901,1908,1915,1941,1931,1920,1906,1884,1849,1820,1801,1778,1761,1705,1648,1618,1600,1580,1547,1533,1507,1491,1483,1474,1485,1493,1495,1536,1554,1553,1542,1557,1535,1514,1494,1489,1473,1443,1423,1394,1335,1341,1331,1319,1319,1333,1338,1365,1368,1348,1354,1354,1340,1321,1288,1262,1293,1335,1355,1344,1345,1363,1373,1357,1361,1387,1371,1364,1355,1320,1317,1323,1296,1276,1241,1213,1203,1166,1133,1112,1086,1037,1011,996,962,926,902,862,808,774,756,753,755,764,758,736,726,708,684,674,663,642,618,590,598,612,620,604,612,614,625,643,664,692,716,723,729,760,768,780,811,852,891,954,1013,1070,1116,1128,1162,1185,1191,1185,1160,1159,1168,1184,1198,1224,1245,1255,1261,1289,1309,1329,1339,1329,1338,1360,1388,1407,1424,1471,1560,1663,1749,1817,1879,1983,2089,2153,2167,2156,2106,2073,2062,2020,1965,1914,1839,1752,1670,1601,1604
Geothermal,2/9/2022,875,876,876,876,876,876,876,876,876,876,876,876,876,877,876,875,875,875,875,876,875,876,875,874,874,874,874,873,874,874,874,874,874,873,873,873,875,873,873,873,874,874,873,873,874,873,873,873,874,874,873,873,873,873,874,874,876,876,877,879,878,878,879,879,879,878,878,878,879,878,878,878,877,878,878,877,878,877,878,877,874,876,876,875,876,875,865,858,863,880,878,878,877,876,875,876,874,872,874,873,873,873,873,872,873,872,872,871,872,872,872,872,872,871,871,871,871,871,872,872,872,871,870,870,870,870,870,870,869,861,836,808,805,795,796,797,796,795,795,796,795,795,793,796,795,795,794,794,795,801,805,822,838,839,843,844,851,856,854,857,858,859,860,867,864,863,864,865,868,869,865,861,865,866,867,867,869,869,866,868,866,867,868,869,868,869,870,871,870,870,870,870,870,870,870,871,871,871,871,871,871,870,870,869,870,870,869,870,871,872,872,872,872,872,872,873,872,873,872,872,870,871,872,872,872,873,872,872,872,872,871,871,870,872,872,870,870,870,870,870,870,870,869,870,869,869,869,869,868,868,869,867,867,868,868,867,867,867,868,868,868,868,868,868,868,868,866,867,867,868,868,868,868,868,869,868,868,869,868,869,869,869,867,868,869,868,870,870
Biomass,2/9/2022,320,307,288,288,287,287,288,288,290,290,289,289,289,288,289,288,288,289,286,288,289,289,289,289,289,289,286,287,288,289,287,290,288,288,288,287,289,286,287,288,288,288,287,287,288,288,289,289,288,289,289,289,289,289,289,289,289,288,288,285,286,284,284,286,286,287,288,287,301,302,302,293,283,281,279,281,279,268,260,258,273,274,275,274,278,281,282,280,280,280,283,285,285,285,284,281,283,283,279,282,284,284,283,283,285,284,283,285,284,283,283,283,279,280,284,284,284,283,284,284,285,286,289,287,288,286,285,287,287,289,288,287,289,286,288,286,285,285,285,285,286,287,286,285,285,284,284,283,284,284,285,284,286,285,281,283,283,283,283,284,283,284,285,284,283,284,285,286,289,289,293,293,292,293,295,292,292,292,293,291,292,292,291,292,293,293,294,294,293,294,294,294,295,300,300,301,298,298,299,298,298,300,300,299,299,298,298,298,296,297,297,295,296,295,295,293,293,295,296,295,295,297,296,294,292,292,293,294,294,296,296,295,294,296,295,295,296,295,294,295,294,295,294,293,296,297,297,296,296,295,296,297,296,295,295,295,298,298,298,298,297,298,298,298,298,301,301,300,298,296,297,296,297,296,296,296,296,294,292,297,298,296,296,295,296,299,299,298
Biogas,2/9/2022,213,213,214,213,213,213,214,213,213,213,212,213,213,213,213,213,213,214,214,214,214,214,214,213,214,213,214,213,213,213,213,213,213,213,213,214,214,209,207,207,207,207,207,207,207,206,206,207,207,205,205,206,207,206,207,206,207,206,206,206,211,212,212,211,212,212,213,213,212,212,212,212,214,214,214,214,213,213,213,212,212,214,213,213,213,212,213,212,212,212,214,214,214,212,212,202,197,197,197,197,196,194,195,196,196,196,196,196,196,196,196,195,196,196,196,196,196,195,192,190,188,186,188,188,191,191,193,196,198,196,196,199,200,201,200,200,200,202,200,201,202,199,198,199,200,200,198,198,201,198,197,194,193,193,198,198,199,199,200,200,199,198,199,201,201,198,198,198,197,198,198,197,195,197,198,199,198,198,199,199,198,200,199,199,200,200,200,200,200,201,202,203,203,205,207,208,209,210,210,211,212,212,211,212,211,212,212,212,212,212,212,212,212,212,212,213,214,207,204,204,204,202,203,202,201,202,202,202,203,203,203,203,203,204,204,204,205,204,204,204,205,206,206,206,206,206,206,207,208,207,207,206,206,206,200,199,199,199,198,199,200,200,201,201,200,200,201,204,208,209,208,210,211,210,210,210,210,211,210,210,210,210,210,215,218,218,218,218
Small hydro,2/9/2022,186,186,177,174,174,172,172,172,172,173,173,174,174,175,176,175,175,176,174,175,175,175,176,176,176,175,174,172,172,172,172,172,173,175,174,174,174,174,174,173,174,174,174,174,174,175,174,174,174,174,185,184,183,183,184,183,184,185,185,185,184,186,190,190,190,189,190,189,190,190,190,206,228,232,232,233,233,233,233,234,234,234,234,234,234,233,222,192,192,192,192,192,193,193,193,193,192,191,187,186,186,187,187,186,187,186,185,169,152,145,145,145,145,146,144,144,143,143,142,145,145,144,145,145,145,145,144,145,143,144,144,143,143,143,143,142,143,142,143,144,145,145,145,145,145,145,144,144,144,144,143,143,145,144,145,144,144,143,143,144,144,145,144,145,144,145,143,144,145,144,143,143,144,144,145,144,145,142,139,139,138,144,178,179,180,178,177,178,178,179,179,179,178,178,178,178,179,179,178,178,179,179,179,208,218,220,245,245,245,248,248,247,247,247,247,247,247,248,248,248,248,249,252,252,253,254,254,253,252,253,252,253,252,253,253,253,252,253,253,252,252,251,225,197,194,194,194,194,194,195,195,195,195,194,193,192,192,193,192,192,190,191,192,192,192,192,192,191,191,191,191,192,192,192,192,193,193,194,193,191,190,190,190,191,192,191,191,191
