Renewables 02/12/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/12/2022,-36,-39,-39,-39,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-41,-40,-41,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-40,-32,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-15,28,49,49,50,54,64,86,137,213,329,495,754,1010,1372,1815,2300,2812,3363,3956,4540,5136,5727,6258,6753,7482,8067,8604,9079,9504,9789,9700,9675,9743,9619,9834,9941,10136,10310,10403,10411,10244,10235,10260,10330,10371,10622,10762,10790,10736,10803,10777,10854,10902,10961,10910,10740,10901,11016,11343,11490,11468,11515,11569,11536,11530,11503,11473,11480,11481,11473,11449,11501,11508,11497,11540,11532,11540,11539,11553,11542,11560,11565,11581,11582,11624,11641,11640,11668,11686,11681,11670,11673,11687,11691,11683,11668,11776,11785,11722,11736,11686,11653,11569,11541,11397,11353,11295,11227,11208,11146,11032,10900,10767,10600,10374,10073,9703,9341,8919,8402,7766,7167,6658,6122,5544,4930,4337,3757,3177,2610,2072,1595,1273,933,639,443,321,196,141,117,106,89,63,62,142,147,147,148,148,149,149,150,150,150,150,149,142,139,139,139,140,141,142,142,142,142,143,133,103,88,88,89,88,88,88,88,88,88,89,81,61,52,52,52,52,52,52,50,37,22,8,6,-4,-6,-8,-8,-13,-21,-28,-34,-36,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-38,-38,-39,-37
Wind,2/12/2022,1737,1731,1755,1761,1756,1739,1749,1748,1747,1734,1731,1756,1771,1785,1782,1754,1733,1716,1725,1729,1760,1766,1758,1759,1773,1799,1830,1825,1829,1821,1823,1832,1864,1877,1898,1909,1937,1960,1973,1994,2002,2003,2011,2020,1993,1988,1969,1924,1863,1804,1760,1750,1726,1725,1714,1731,1735,1690,1640,1568,1511,1464,1433,1413,1405,1399,1401,1384,1357,1332,1302,1260,1235,1241,1274,1323,1357,1363,1383,1407,1418,1415,1393,1377,1331,1262,1225,1215,1225,1194,1158,1139,1110,1075,1040,1017,968,931,904,858,830,829,842,843,864,886,922,965,1001,1026,1041,1019,1003,1007,1014,1006,1009,1000,978,953,963,947,925,900,858,853,836,847,855,857,847,845,843,818,802,792,794,791,783,779,790,780,792,792,777,761,743,718,700,676,670,670,670,666,681,698,737,763,786,807,808,819,825,854,881,898,913,946,968,972,991,983,987,1008,1002,1018,1035,1060,1087,1082,1044,1039,1062,1057,1053,1058,1033,1039,1048,1053,1048,1050,1014,988,950,897,860,820,802,784,766,741,717,711,714,725,733,743,751,759,772,775,776,778,772,765,776,792,790,793,800,813,814,817,819,817,821,838,858,894,934,964,982,1001,1014,1025,1041,1053,1074,1084,1086,1086,1087,1087,1081,1086,1112,1154,1206,1251,1282,1293,1304,1311,1312,1319,1330,1348,1358,1371,1380,1394,1394,1377,1356,1342,1338,1341,1351,1363,1364,1359,1360,1363,1355,1341,1353,1377,1404,1405,1419,1444,1453,1460,1459,1440,1415,1405
Geothermal,2/12/2022,840,840,840,840,839,840,840,840,840,841,841,840,840,841,841,840,841,841,841,841,841,842,842,842,843,844,843,844,844,843,843,843,843,843,844,844,843,844,845,844,844,844,844,845,844,845,844,844,844,844,845,845,845,845,844,845,844,845,844,844,844,846,845,845,846,844,845,846,846,845,846,845,846,845,846,845,846,846,846,845,846,846,846,846,846,846,846,845,846,846,845,846,846,846,846,846,846,846,845,845,846,845,844,845,844,844,844,844,843,844,844,844,844,844,843,843,843,841,843,842,842,842,841,841,842,840,841,840,841,840,840,838,837,840,840,840,840,839,840,839,839,839,839,839,839,838,838,838,838,838,837,838,837,838,837,837,837,836,837,836,836,836,837,836,836,836,835,836,836,836,836,836,836,836,836,835,837,835,835,835,835,835,835,835,835,835,834,835,834,834,835,836,836,836,841,846,849,856,858,862,874,886,887,889,890,896,900,901,902,902,900,900,901,902,904,903,904,905,908,910,909,909,909,909,910,911,911,911,910,910,912,912,912,911,912,912,911,912,911,911,911,913,913,913,913,912,911,912,912,912,912,911,911,912,910,911,911,910,910,910,910,910,910,911,911,911,910,912,911,911,911,910,911,911,913,913,913,913,913,913,913,912,912,914,912,912,914,913
Biomass,2/12/2022,267,268,267,264,262,261,259,259,259,259,257,258,257,256,256,257,256,256,257,258,258,258,260,257,259,258,258,260,259,258,258,258,258,260,260,261,262,263,263,263,263,263,263,263,263,262,263,263,263,262,261,261,261,262,261,261,262,263,259,263,261,260,262,261,262,263,264,266,266,266,266,266,264,263,264,262,263,264,265,264,267,264,264,263,264,264,265,264,256,248,243,248,247,249,248,249,250,250,250,249,249,249,250,249,250,253,255,250,256,262,263,263,266,266,265,264,263,260,260,262,264,265,263,264,262,262,261,261,262,264,265,265,263,262,275,277,278,278,279,279,278,279,279,280,279,279,280,277,278,278,276,276,276,277,278,279,280,278,277,276,277,276,276,276,276,276,275,277,275,279,279,280,281,280,279,279,278,277,277,276,275,272,276,276,278,276,275,276,276,277,275,275,273,275,276,278,279,278,283,284,285,288,293,295,290,291,290,287,288,290,291,290,288,289,290,291,295,297,300,300,300,301,300,300,302,302,303,296,285,286,288,288,286,287,286,288,289,287,288,287,288,288,288,288,288,285,284,285,285,286,286,281,271,260,259,257,258,256,256,257,258,258,257,259,260,260,260,261,262,261,261,260,260,261,259,258,258,260,260,259,259,257,258,258,259,260,260,259
Biogas,2/12/2022,219,219,220,220,221,219,220,220,219,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,221,221,220,220,220,220,220,220,220,220,220,220,220,220,219,220,220,220,220,220,220,220,220,220,220,220,221,220,221,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,219,219,219,219,220,219,219,219,219,219,219,219,219,219,220,219,219,219,220,220,219,219,219,219,219,219,219,218,219,218,216,217,216,217,217,216,217,217,217,217,217,217,217,216,219,216,217,217,218,217,216,217,217,217,217,216,216,216,216,215,216,213,213,214,213,213,213,213,213,213,213,213,214,213,213,214,213,213,214,213,215,213,214,214,216,216,216,216,217,216,217,217,217,217,216,217,217,216,217,216,217,216,217,216,215,216,215,215,215,215,215,215,216,216,216,216,217,217,216,216,216,216,217,218,218,217,217,217,217,216,219,219,220,221,223,221,223,221,222,220,221,220,220,220,221,220,220,220,220,219,219,220,220,220,220,220,219,220,220,219,219,220,220,220,221,220,220,220,220,221,221,221,220,221,220,221,220,220,221,220,220,220,220,220,220,221,221,221,221,221,221,221,221,220,220,220,220,220,219,220,220,220,221,220,220,220,220,220,221,221,221,221,222,221,221,222,222,222,222,222
Small hydro,2/12/2022,198,197,191,185,184,183,184,184,186,186,185,184,185,185,180,178,178,178,179,179,178,179,179,178,177,176,175,176,177,178,178,177,179,179,179,179,179,178,178,178,179,179,179,179,180,180,179,178,179,179,178,178,178,178,178,178,179,178,177,179,179,179,180,180,180,180,180,181,180,179,180,181,181,181,198,201,200,200,200,200,200,200,199,199,199,199,199,199,199,199,199,200,201,201,201,200,200,201,192,193,191,190,191,191,189,190,188,163,150,146,141,141,139,139,141,139,138,140,140,141,142,142,141,142,141,142,142,142,142,140,142,143,141,140,142,140,143,141,143,142,142,143,143,143,143,141,143,140,143,141,141,141,141,142,141,141,141,143,141,142,142,142,142,141,140,142,142,142,142,142,142,142,142,141,141,142,144,142,142,142,141,153,181,192,192,192,191,191,192,190,189,188,191,190,192,191,191,191,192,192,192,190,189,220,231,246,260,258,258,259,261,261,261,262,263,262,261,261,261,261,261,262,263,261,260,261,261,260,260,259,260,260,261,260,262,262,262,261,260,260,261,260,234,226,226,225,224,224,224,224,224,226,226,224,226,208,201,201,202,199,201,200,199,200,200,201,200,202,202,203,203,203,202,200,199,200,200,200,201,201,201,202,202,202,203,201,201,202
