Renewables 02/14/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/14/2022,-39,-39,-40,-40,-43,-40,-40,-40,-40,-40,-41,-40,-40,-41,-41,-41,-40,-40,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-42,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-23,0,12,12,12,12,12,12,12,12,11,11,1,-32,-43,-42,-41,-34,-20,16,85,198,321,550,848,1214,1641,2104,2592,3101,3637,4128,4663,5233,5808,6379,6969,7569,8106,8447,8923,9468,9826,10016,10262,10564,10686,10950,11041,11171,11174,11262,11387,11478,11492,11527,11601,11652,11599,11573,11374,11249,11085,11143,11065,10956,10686,10525,10414,10440,10580,10601,10503,10456,10419,10294,10355,10295,10196,10092,10194,10059,10149,10348,10509,10808,10821,10833,10725,10507,10461,10374,10388,10531,10550,10502,10314,10235,9986,9843,9856,9904,9905,9830,9798,9480,9555,9597,9519,9081,9056,9489,9573,9787,10173,10190,10339,10361,10422,10311,10401,10402,10119,10161,10118,10007,9764,9455,8958,8607,8365,8110,7720,7210,6503,6190,5573,5065,4522,3897,3354,2976,2456,1957,1585,1211,871,574,372,245,141,74,32,14,-16,-36,-35,37,49,51,50,50,52,53,53,53,40,22,20,52,51,51,51,51,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,53,53,53,53,53,53,53,53,52,52,51,44,42,41,37,28,19,7,-4,-13,-25,-33,-38,-38,-39,-39,-39,-39,-38,-39,-39,-39,-39,-39
Wind,2/14/2022,1421,1432,1448,1453,1470,1489,1503,1513,1513,1520,1521,1529,1535,1550,1549,1543,1554,1565,1574,1581,1601,1629,1646,1665,1683,1702,1709,1724,1733,1731,1749,1758,1767,1793,1797,1801,1800,1791,1768,1729,1700,1684,1678,1665,1649,1652,1660,1678,1684,1718,1747,1749,1745,1752,1773,1765,1796,1827,1884,1966,2014,2063,2060,2080,2110,2119,2126,2174,2260,2353,2433,2471,2483,2469,2456,2438,2416,2398,2392,2373,2331,2293,2235,2191,2141,2114,2091,2062,2062,2065,2039,2016,1998,1971,1946,1981,2009,1992,1965,1977,1957,1955,1921,1875,1863,1885,1888,1865,1847,1894,1993,2089,2199,2258,2321,2355,2423,2493,2547,2597,2604,2630,2665,2718,2795,2904,2979,3014,3053,3063,3098,3182,3259,3277,3319,3297,3253,3234,3223,3224,3219,3206,3195,3173,3161,3116,3138,3140,3117,3120,3160,3191,3234,3277,3359,3442,3477,3455,3442,3451,3495,3547,3598,3628,3712,3733,3693,3693,3657,3614,3633,3583,3529,3521,3492,3447,3393,3374,3319,3313,3270,3247,3218,3205,3230,3221,3250,3278,3277,3299,3335,3308,3278,3254,3264,3227,3228,3213,3194,3174,3165,3148,3117,3090,3073,3049,2994,2934,2888,2855,2831,2786,2755,2729,2727,2712,2723,2756,2819,2914,2989,3048,3086,3131,3156,3189,3215,3259,3303,3307,3339,3380,3392,3403,3402,3354,3338,3344,3344,3344,3356,3422,3471,3505,3523,3531,3508,3544,3555,3572,3567,3565,3588,3659,3673,3708,3755,3735,3708,3752,3798,3868,3944,3973,3974,4030,4068,4110,4171,4235,4307,4324,4301,4260,4246,4195,4144,4084,4076,4103,4184,4266,4358,4393,4375,4403,4424,4457
Geothermal,2/14/2022,920,920,919,919,918,919,918,919,918,919,918,919,920,919,919,919,918,918,918,918,917,918,918,918,918,919,918,918,918,919,919,919,919,920,920,920,920,919,920,920,919,920,920,919,914,913,911,904,890,888,880,848,839,839,841,846,845,848,847,851,854,855,856,859,858,859,862,862,863,864,865,863,862,870,870,870,867,866,865,864,865,865,864,864,863,863,862,865,869,866,865,865,864,861,861,863,863,863,861,864,864,861,857,859,858,859,859,859,859,854,852,852,852,851,850,849,829,829,830,829,830,827,827,829,829,829,851,851,851,851,848,849,849,844,843,841,843,841,841,840,839,839,839,839,840,847,854,855,856,855,855,852,852,852,852,852,851,853,853,852,853,853,852,853,854,852,853,853,853,854,853,854,854,854,855,854,855,855,855,854,855,855,855,859,860,860,861,862,861,861,862,862,862,861,861,863,861,863,863,864,863,863,865,863,864,859,860,860,860,862,861,861,862,861,862,865,866,865,864,864,864,864,864,863,863,864,862,862,863,866,867,867,867,868,867,863,863,863,864,864,864,864,864,864,860,861,861,862,862,862,862,863,861,857,859,862,862,862,863,862,863,863,863,863,863,863,863,865,868,869,869,868,861,859,860,860,860,860,858,856,858,857,860,861,861,860,861,860
Biomass,2/14/2022,272,272,271,271,269,270,271,271,270,271,272,272,272,272,271,271,271,271,272,271,271,271,268,270,270,271,273,273,272,272,272,273,273,271,271,270,272,270,271,272,271,270,271,270,270,271,271,271,269,271,270,270,270,270,270,271,270,270,272,270,270,268,269,273,273,273,276,276,279,279,283,284,284,283,284,283,282,283,284,283,282,283,282,282,280,278,279,281,281,281,281,282,281,282,280,281,281,281,280,283,280,280,281,282,280,279,279,281,283,285,303,301,300,299,300,300,303,303,300,297,295,298,302,302,302,302,303,304,303,305,307,308,307,306,304,304,303,303,304,305,302,303,302,302,303,303,301,301,300,301,304,307,306,306,307,306,305,305,304,300,298,299,299,302,301,300,299,297,300,300,298,299,297,297,295,299,301,302,299,300,300,300,301,302,301,300,302,302,300,300,302,299,301,303,305,304,303,302,303,301,303,302,303,302,301,301,299,296,296,295,293,295,296,297,295,297,297,298,297,299,298,299,299,300,299,300,302,298,300,301,301,301,299,302,304,302,303,303,301,301,301,302,301,303,305,302,304,302,303,303,303,304,303,301,300,301,301,299,297,300,299,300,302,303,300,301,301,303,302,300,301,299,298,297,298,297,298,297,294,292,287,286,286,285,282,283,283,284
Biogas,2/14/2022,218,216,216,217,217,217,218,220,220,220,220,220,220,220,220,221,221,221,221,221,221,220,220,220,220,219,219,220,220,220,220,220,220,220,220,220,221,220,220,220,221,220,221,221,220,221,221,221,221,221,221,221,221,221,221,221,221,220,221,220,220,220,220,219,219,219,219,219,219,220,220,220,220,221,222,222,221,221,221,220,220,219,220,220,220,220,219,219,217,217,217,217,219,217,217,216,217,217,217,217,218,217,217,217,217,218,218,217,218,217,217,216,216,217,216,216,216,215,216,216,216,215,217,212,211,211,211,211,211,212,203,203,203,205,205,206,208,210,212,211,210,211,212,213,215,216,216,217,218,217,217,218,218,218,218,218,218,218,218,218,218,220,218,218,218,218,218,217,216,215,214,214,214,214,214,214,214,214,214,214,214,214,214,214,215,215,214,213,213,213,213,214,215,215,215,216,216,215,216,216,216,216,216,216,215,216,216,216,216,216,216,216,216,216,216,217,216,216,216,215,216,216,216,217,217,217,216,216,216,217,215,216,216,216,215,216,216,216,216,216,216,216,216,216,217,215,215,215,215,216,216,213,212,213,213,213,212,212,212,212,212,212,212,212,212,211,212,211,212,212,211,212,211,211,213,212,211,211,211,211,211,212,212,212,212,212,212,212
Small hydro,2/14/2022,186,184,182,182,182,182,182,182,182,183,183,183,182,182,182,183,182,183,183,183,182,181,181,182,182,183,184,184,184,184,185,184,184,184,183,183,184,185,185,185,185,185,186,186,186,186,185,183,183,184,188,188,189,189,190,189,188,187,187,187,188,186,186,186,186,186,185,185,185,185,185,210,225,226,242,247,246,247,248,247,246,246,246,247,246,244,242,201,201,201,202,203,203,202,202,201,201,202,192,188,188,188,188,188,188,187,186,186,185,166,162,160,159,158,158,155,140,140,141,140,140,141,141,140,140,139,139,139,138,139,139,139,140,141,141,140,140,140,139,140,140,140,139,139,139,139,138,139,140,140,140,140,139,138,137,136,137,139,140,139,139,138,138,138,138,143,145,146,146,153,186,185,186,186,186,187,187,187,186,187,186,191,194,195,193,196,197,196,194,195,196,196,196,196,195,196,196,197,198,197,196,196,196,208,242,247,246,247,247,247,248,249,249,249,249,249,249,249,248,248,248,247,247,248,248,248,248,248,249,249,249,250,249,248,249,249,250,250,249,249,250,250,239,219,210,210,210,210,210,210,209,209,209,209,209,209,208,207,207,207,207,207,206,206,206,207,208,208,208,208,207,207,207,208,208,209,209,209,209,208,204,187,187,187,187,187,187,187
