Renewables 02/21/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/21/2022,-25,-25,-25,-25,-25,-25,-26,-26,-26,-26,-26,-27,-28,-28,-28,-28,-28,-28,-28,-29,-28,-28,-28,-28,-28,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-30,-29,-30,-30,-29,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-29,-10,34,57,56,57,56,58,57,56,56,56,56,55,54,55,57,68,84,113,160,210,296,418,601,821,1033,1368,1672,2045,2418,2842,3221,3595,3952,4116,4393,4823,5532,5995,6216,6539,6961,7359,7540,7823,7867,7418,7259,7575,8156,8257,7977,8169,8363,8506,8355,8394,8199,7902,7950,8171,8338,8444,8509,8528,8565,8609,8799,8856,8747,8602,8491,8576,8639,8661,8688,8688,8734,8851,8920,8926,8895,8946,8984,8965,9029,9063,9204,9131,9066,8990,8933,8911,8904,8826,8869,8873,8948,9124,9359,9539,9547,9453,9885,10370,10605,9882,9605,9724,10038,10125,9957,9771,9671,9730,9692,9453,9361,9435,9491,9565,9419,9411,9356,9248,9333,9322,9611,9698,9584,9133,8727,8256,7489,6657,6199,6327,6199,5620,5031,4464,3905,3372,2807,2272,1785,1323,961,635,415,254,150,95,19,18,28,27,54,46,46,46,45,45,45,45,45,45,45,45,45,45,45,44,44,45,45,46,47,47,47,47,47,46,46,47,46,46,47,46,47,47,47,47,47,48,48,45,47,47,47,47,47,47,46,46,46,45,46,45,44,42,38,24,9,-3,-14,-20,-22,-22,-22,-23,-25,-25,-26,-28,-30,-31,-31
Wind,2/21/2022,4206,4242,4269,4301,4303,4269,4221,4202,4216,4264,4338,4356,4399,4428,4414,4372,4339,4333,4364,4380,4384,4382,4422,4489,4523,4529,4542,4531,4556,4583,4590,4585,4634,4752,4792,4755,4696,4706,4718,4723,4769,4833,4869,4890,4872,4852,4842,4808,4814,4778,4711,4651,4579,4484,4327,4208,4132,4096,4066,4049,4020,4014,4036,4069,4047,4000,3933,3892,3874,3871,3895,3942,3983,4027,4051,4083,4103,4089,4090,4086,4099,4129,4173,4266,4359,4365,4369,4368,4377,4363,4435,4479,4513,4521,4528,4519,4535,4554,4560,4581,4568,4583,4568,4613,4650,4691,4751,4805,4871,4938,5019,5109,5116,5108,5093,4995,4916,4911,4866,4848,4831,4856,4897,5022,5041,5014,4983,4982,4999,5038,5055,5029,5002,4992,5031,4988,4981,4939,4908,4890,4803,4774,4761,4804,4819,4816,4816,4790,4756,4737,4753,4757,4778,4792,4780,4738,4715,4684,4613,4617,4600,4528,4462,4411,4389,4403,4370,4336,4340,4299,4325,4353,4332,4392,4405,4406,4477,4481,4470,4518,4533,4541,4603,4672,4708,4745,4823,4802,4831,4881,4922,4904,4935,4998,5034,5038,5058,5120,5133,5109,5094,5117,5129,5140,5144,5091,5119,5152,5197,5241,5266,5244,5206,5209,5176,5105,5028,4962,4878,4783,4740,4718,4687,4657,4655,4617,4621,4624,4632,4644,4653,4658,4636,4616,4593,4596,4576,4505,4448,4436,4426,4430,4450,4441,4447,4483,4542,4602,4637,4673,4666,4633,4626,4590,4584,4565,4519,4500,4485,4462,4465,4433,4409,4390,4364,4346,4329,4303,4290,4281,4286,4304,4331,4322,4278,4285,4272,4308,4321,4317,4327,4335,4341,4294,4203,4175,4142,4084
Geothermal,2/21/2022,828,834,833,834,834,834,831,827,827,828,828,827,827,830,830,829,829,829,829,828,827,827,828,827,830,833,833,833,833,833,833,830,831,831,831,831,831,834,834,834,834,835,834,830,832,833,832,834,834,839,838,838,839,839,840,841,836,837,837,838,837,843,842,843,842,842,840,837,838,838,838,839,840,844,845,845,845,845,845,846,845,845,845,844,843,833,833,833,834,834,834,833,833,833,834,834,834,836,844,846,847,846,846,846,846,844,844,844,843,843,840,838,838,837,837,838,838,838,838,837,837,837,837,836,833,833,833,833,833,834,832,832,834,834,833,833,825,826,825,826,826,825,825,823,824,829,828,828,828,828,828,829,832,831,830,828,828,828,829,827,828,829,830,829,833,835,835,835,834,834,833,835,834,833,834,834,833,833,832,830,830,832,834,833,833,833,834,834,834,833,833,833,831,827,825,825,825,827,834,834,833,834,835,833,834,834,832,841,840,841,863,871,880,881,883,887,885,885,884,885,885,885,886,885,885,886,885,885,885,890,893,892,892,893,892,892,892,891,894,894,894,892,891,892,892,893,893,894,892,893,894,895,894,891,889,888,884,874,874,874,874,873,874,874,879,880,880,881,881,881,881,881,882,883,882,884,884,885,887,887,887,888,889,888,887,888,888,889
Biomass,2/21/2022,302,305,309,306,307,307,307,308,308,307,307,306,306,305,307,308,306,306,307,307,306,308,307,306,306,306,308,308,306,306,306,304,306,305,305,305,306,307,306,306,302,302,304,305,304,304,304,302,302,302,302,302,301,302,303,301,304,301,302,301,300,302,299,299,300,301,302,302,301,302,301,298,300,298,295,297,299,301,305,307,307,305,305,303,305,304,305,305,305,303,303,305,303,302,303,307,309,309,308,309,307,307,307,309,310,312,312,311,312,313,312,311,309,308,311,313,312,315,315,313,316,317,319,316,313,311,316,315,318,321,319,319,320,319,319,316,316,318,317,317,316,317,317,318,317,319,320,318,320,319,316,315,315,318,318,314,314,313,315,316,316,316,313,313,312,312,312,313,314,315,311,313,311,311,311,310,312,314,314,314,313,314,312,312,311,314,316,317,316,317,318,319,320,324,323,325,323,324,324,325,326,324,325,326,326,326,326,325,324,324,327,327,327,327,327,327,328,325,327,326,325,326,328,328,327,327,327,327,326,326,327,328,328,327,326,326,328,330,328,327,325,326,327,329,327,327,326,326,327,327,329,327,324,316,313,312,313,310,309,309,303,305,304,304,306,302,300,302,304,303,304,303,305,304,305,306,307,306,305,304,303,305,306,307,304,305,306,307
Biogas,2/21/2022,216,216,216,216,216,216,216,216,216,216,215,216,215,215,215,216,216,215,215,216,216,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,217,216,216,216,216,217,217,216,217,216,216,216,216,216,216,216,216,216,216,216,216,216,215,215,215,215,215,215,215,215,216,215,215,216,216,216,215,215,216,215,215,215,215,216,215,215,215,214,214,212,212,212,212,212,212,211,212,212,212,212,213,213,213,213,213,213,213,212,213,213,213,213,212,211,211,211,212,211,211,211,212,211,212,212,211,211,212,211,211,211,211,213,211,211,212,212,212,211,212,211,211,211,212,212,213,212,212,212,212,211,211,211,211,212,212,212,212,212,212,207,201,201,201,204,206,209,210,209,211,211,210,209,210,209,210,210,210,209,211,210,210,211,212,211,212,212,212,212,212,213,212,212,212,212,212,212,212,212,213,213,212,213,212,213,213,212,213,213,214,213,214,214,214,213,214,213,213,213,213,214,213,213,212,212,213,213,213,212,213,212,213,212,213,213,214,213,213,214,213,214,213,213,214,213,214,214,213,213,214,213,213,213,214,213,213,213,212,212,212,212,212,212,212,211,213,212,212,212,211,212,212,213,212,212,212,212,212,213,212,213,212,213,213,212,213,213,213,213,213,213,211
Small hydro,2/21/2022,160,159,158,159,161,161,161,161,162,161,161,161,160,161,161,160,160,160,160,160,160,160,159,161,161,161,161,160,160,160,159,160,160,159,160,160,160,160,160,160,159,160,160,160,160,160,159,159,159,159,160,160,161,161,161,161,160,160,160,161,162,161,159,159,159,159,160,160,162,162,162,184,202,202,201,201,202,202,202,203,203,203,202,201,201,201,192,168,161,160,160,161,161,160,158,137,119,117,115,115,115,113,113,113,113,114,114,113,113,114,113,113,113,114,114,114,114,114,114,113,114,113,114,114,114,114,114,114,114,114,114,114,115,115,115,114,114,114,114,115,115,115,115,115,115,115,115,115,115,117,117,116,114,113,113,113,113,114,115,115,114,114,115,115,115,115,115,114,114,114,114,114,115,115,115,115,115,115,114,114,113,112,112,113,113,114,114,117,117,117,118,118,117,134,180,182,181,181,182,183,183,183,184,201,225,227,228,228,229,230,230,229,228,228,228,229,229,229,228,228,228,227,227,228,228,228,228,228,228,231,232,232,232,232,232,231,230,231,232,231,231,231,232,232,231,231,231,230,230,230,230,230,230,230,229,230,230,230,229,230,232,232,232,232,232,232,221,189,182,184,184,184,184,184,183,183,185,184,172,172,172,172,171,170,169,171,172,172
