Renewables 02/05/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/5/2022,-9,-9,-10,-10,-10,-10,-10,-11,-15,-20,-27,-34,-39,-41,-42,-41,-42,-41,-41,-41,-42,-42,-41,-42,-43,-42,-41,-43,-42,-41,-42,-41,-41,-41,-41,-42,-42,-43,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-42,-43,-42,-43,-43,-43,-43,-43,-43,-42,-41,-41,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-42,-41,-39,-30,-13,31,117,227,396,674,990,1371,1809,2284,2775,3288,3883,4443,4998,5570,6148,6834,7460,8000,8416,8901,9338,9696,9981,10241,10411,10572,10745,10934,11042,11070,11157,11152,11056,10729,10622,10542,10406,10355,10393,10477,10478,10522,10500,10599,10572,10301,10144,10301,10376,10303,10388,10383,10282,10317,10298,10220,10203,10351,10356,10185,9961,9973,9898,10189,10213,10208,10255,10203,10143,10048,9922,9752,9545,9473,9510,9585,9564,9764,9700,9773,9662,9776,9760,9629,9397,9369,9434,9668,9723,9769,9880,9908,9840,9660,9527,9558,9712,9552,9400,9266,9381,9455,9039,8741,8947,9006,8919,8581,8173,7701,6933,6352,5792,5560,5086,4513,3874,3276,2726,2242,1734,1349,975,719,487,329,210,128,89,68,54,24,9,9,28,182,168,168,168,168,168,168,167,167,166,167,166,167,165,166,167,168,168,168,168,168,168,168,166,159,156,157,156,156,157,156,156,157,157,157,142,96,77,77,77,77,77,77,77,77,76,76,70,61,61,46,28,11,1,-7,-10,-11,-11,-10,-11,-11,-11,-12,-12,-12,-13,-12,-12,-14,-18,-21
Wind,2/5/2022,1425,1449,1479,1504,1535,1548,1562,1571,1582,1594,1614,1626,1627,1640,1649,1645,1632,1625,1611,1607,1608,1615,1615,1616,1622,1639,1646,1645,1643,1647,1656,1668,1663,1659,1667,1673,1682,1700,1702,1718,1727,1737,1749,1772,1782,1780,1770,1769,1761,1747,1741,1742,1744,1747,1756,1759,1764,1761,1762,1762,1753,1749,1742,1744,1748,1757,1766,1771,1775,1771,1759,1745,1735,1744,1751,1752,1744,1744,1750,1761,1765,1762,1763,1763,1765,1774,1778,1771,1756,1758,1765,1777,1772,1772,1771,1773,1770,1765,1763,1761,1762,1766,1766,1758,1766,1781,1777,1777,1776,1774,1775,1778,1796,1816,1822,1837,1847,1855,1863,1865,1871,1886,1917,1919,1904,1908,1904,1888,1889,1886,1897,1902,1907,1897,1898,1901,1895,1898,1910,1908,1915,1913,1913,1901,1885,1867,1852,1856,1862,1868,1866,1852,1818,1788,1777,1776,1746,1739,1747,1756,1759,1758,1755,1759,1770,1803,1813,1812,1835,1832,1841,1846,1847,1860,1868,1866,1857,1859,1849,1848,1856,1829,1793,1773,1760,1743,1728,1732,1737,1733,1724,1689,1675,1647,1639,1624,1597,1595,1595,1603,1604,1592,1592,1600,1591,1581,1576,1571,1579,1586,1592,1596,1598,1591,1592,1598,1603,1611,1610,1620,1623,1636,1631,1641,1664,1676,1700,1714,1717,1717,1726,1735,1743,1740,1718,1673,1624,1595,1583,1582,1594,1598,1587,1574,1566,1567,1550,1525,1498,1510,1523,1523,1500,1458,1430,1411,1388,1386,1396,1397,1395,1414,1420,1433,1428,1426,1431,1443,1447,1450,1485,1527,1583,1657,1703,1750,1758,1790,1798,1799,1807,1815,1834,1849,1844,1842,1836,1845
Geothermal,2/5/2022,908,908,908,908,908,907,907,907,907,907,907,907,907,906,907,907,907,907,908,907,907,907,907,907,907,907,908,908,908,908,907,908,906,907,906,906,906,906,907,906,905,906,906,907,907,906,906,907,906,906,907,907,907,908,907,907,908,909,908,909,909,908,909,909,909,910,910,910,912,912,912,912,911,912,911,912,913,913,913,912,913,911,908,913,913,913,914,913,915,916,916,917,916,919,919,919,918,918,917,917,916,918,917,918,917,919,920,920,918,918,917,918,918,918,917,917,919,919,919,919,921,921,920,920,919,921,923,923,921,921,921,921,920,919,920,919,922,922,923,922,921,921,920,921,923,921,920,921,922,921,921,921,921,921,920,920,921,921,918,886,843,830,826,808,800,795,786,787,787,788,787,780,779,782,784,784,783,782,782,782,782,782,783,783,783,785,785,784,806,829,844,857,859,859,868,896,908,913,915,923,923,923,921,923,924,924,923,924,924,923,923,923,923,923,923,923,923,923,923,924,921,923,924,923,924,922,923,922,921,922,921,921,920,920,920,921,921,921,920,923,923,923,924,923,924,923,923,921,922,921,922,921,921,922,922,922,921,921,921,921,921,921,921,920,920,920,919,920,919,919,920,919,920,920,921,921,920,921,922,921,920,921,921,920,921,920,920,921
Biomass,2/5/2022,325,326,327,327,326,326,326,324,325,326,328,327,326,315,309,287,282,282,282,281,282,287,285,286,286,287,287,286,287,286,285,286,285,287,285,286,286,287,287,285,285,280,282,285,284,284,283,285,287,286,289,290,292,292,294,295,295,297,296,297,295,296,295,294,294,295,295,294,292,292,292,292,293,294,295,294,294,295,295,295,294,295,296,296,294,294,294,294,294,294,297,298,295,298,298,298,298,297,296,295,296,295,296,295,297,296,296,295,294,296,296,298,297,298,296,296,296,295,294,294,293,294,297,295,293,294,293,295,297,297,296,297,296,298,295,296,295,293,294,294,294,293,293,293,293,293,292,293,293,294,293,296,296,297,296,297,296,296,296,294,294,293,296,298,299,299,297,299,298,298,299,299,298,299,299,297,296,295,295,297,298,297,296,297,295,298,297,298,295,296,295,296,296,294,295,296,298,297,301,299,296,294,294,335,335,335,337,341,341,340,341,342,341,343,342,342,340,343,340,338,333,331,329,329,329,328,328,328,330,329,331,331,331,331,330,327,327,327,327,327,328,327,331,332,329,332,332,330,332,332,333,333,332,332,333,334,334,334,333,335,334,335,334,333,333,334,333,334,332,332,332,332,332,331,331,333,333,333,331,334,334,333,334,333,333,331,331,333
Biogas,2/5/2022,212,211,212,212,212,212,212,212,212,212,212,212,212,212,213,213,213,212,212,212,212,213,213,213,213,213,213,213,213,212,212,213,213,213,213,212,213,213,213,213,213,213,213,213,213,213,213,213,212,212,212,212,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,213,213,213,213,213,213,214,213,213,213,213,213,214,212,212,212,213,213,212,213,213,213,212,212,212,211,211,212,212,212,211,211,211,211,211,211,211,211,211,211,211,212,212,212,211,212,212,211,212,212,211,211,211,211,212,212,212,212,212,211,211,211,210,210,209,211,211,211,211,211,211,211,212,211,211,211,211,212,211,211,211,211,212,211,211,211,212,211,211,211,212,211,211,211,212,211,210,211,210,211,211,212,211,211,211,210,211,210,211,211,211,211,211,211,211,211,212,210,211,211,211,211,212,212,212,211,211,212,212,211,212,211,212,212,212,212,212,212,212,212,212,211,212,212,212,212,212,212,212,214,213,212,213,212,212,213,213,213,213,213,213,213,213,212,212,213,213,212,213,213,213,213,212,212,212,212,212,213,212,212,212,212,212,212,212,212,212,211,211,211,211,211,212,211,212,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,208,208,208,209
Small hydro,2/5/2022,186,184,184,186,185,184,184,186,186,186,186,185,185,184,184,185,185,187,186,185,185,184,185,185,184,185,185,184,184,183,183,183,184,184,184,184,184,184,184,185,184,184,184,185,184,183,182,183,183,186,189,188,187,187,187,187,187,187,187,188,188,203,225,257,259,259,260,260,261,260,260,260,273,274,274,274,274,274,274,274,273,273,273,273,273,273,273,273,273,274,273,273,273,273,272,255,232,230,212,186,186,186,186,186,186,185,185,184,183,183,177,161,161,162,163,163,163,164,164,164,164,148,144,144,143,143,143,142,143,143,143,143,143,143,142,143,143,144,144,144,144,144,143,143,142,142,143,143,144,143,143,143,142,142,142,142,143,143,142,142,141,143,143,143,144,143,143,144,143,143,143,143,143,144,144,144,144,142,142,141,142,155,182,183,183,183,183,183,182,181,181,181,182,184,186,186,187,187,187,187,188,188,188,188,205,210,257,275,275,275,276,275,275,276,276,292,316,315,315,314,314,314,315,316,317,315,314,316,315,315,315,315,314,315,314,314,314,314,314,315,314,313,300,274,268,268,269,270,269,269,269,269,269,246,228,229,228,228,228,229,230,229,229,229,229,228,226,225,226,224,224,223,222,224,225,225,226,215,184,179,179,180,179,180,179,177,177,177
