Renewables 02/27/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/27/2022,-34,-35,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,-42,-42,-43,-43,-43,-43,-43,-44,-44,-44,-44,-30,13,31,31,31,32,31,31,31,31,31,31,30,44,45,45,46,45,45,45,45,44,45,44,31,-5,-12,-6,14,56,133,264,426,677,960,1263,1625,2029,2439,2870,3323,3800,4298,4826,5198,5411,5618,5989,6666,7413,7963,8438,8555,8517,8901,9189,9320,9234,8997,8935,8859,9284,9629,9625,9604,9591,9633,9414,9520,9492,9278,8806,8660,8478,8566,8708,8920,8425,8653,8423,8131,8249,8356,8127,8110,7993,7900,7641,7632,7969,8368,8171,8247,8229,7808,7799,8000,8151,8310,8112,8498,8492,8265,7940,7973,8389,8470,8862,8888,8511,8711,8856,8573,8649,8636,8555,8506,8757,9060,9374,9372,9232,9055,9114,8866,8752,8908,9303,9592,9687,9546,9271,9136,9002,8833,8745,8763,8846,9058,9027,8909,8687,8460,8184,7851,7230,6483,6116,6234,5978,5499,4933,4485,4125,3603,3049,2330,1830,1429,1193,837,610,428,296,159,73,23,3,-10,21,18,15,15,15,14,44,49,49,48,43,48,37,31,31,31,31,31,31,32,33,34,33,34,34,33,33,33,33,34,34,34,34,34,33,34,33,34,34,34,34,34,34,34,34,34,34,34,33,32,29,24,18,11,8,4,2,-2,-5,-7,-12,-13,-14,-17,-17,-19,-22,-22,-23,-22,-22
Wind,2/27/2022,303,298,289,291,290,281,270,270,276,277,287,280,284,292,301,311,311,312,325,342,353,370,375,388,415,433,450,455,450,449,446,440,424,424,425,411,399,390,395,395,401,404,412,435,449,468,467,460,440,424,435,452,472,487,497,517,544,580,632,687,719,744,774,808,826,824,829,809,775,775,776,786,794,776,779,782,779,784,798,785,772,767,768,769,758,768,791,799,801,825,836,832,830,836,852,866,886,904,930,935,935,945,956,957,981,1002,1021,1021,1023,1042,1083,1119,1163,1199,1219,1239,1263,1241,1256,1256,1246,1249,1242,1224,1203,1152,1107,1119,1139,1161,1153,1141,1094,1041,1009,1011,1007,1000,988,959,928,921,914,912,908,902,891,894,893,870,861,850,846,837,840,832,851,837,863,856,848,821,792,769,750,734,738,748,729,720,708,699,704,686,681,683,696,706,753,756,757,757,753,724,705,693,690,697,710,712,723,742,751,747,751,738,738,752,764,771,778,774,775,758,749,738,735,733,734,725,706,681,663,665,672,675,651,658,656,646,637,609,580,587,585,598,635,685,732,781,833,888,919,934,938,944,962,992,1004,1009,1006,1006,1027,1055,1089,1113,1130,1144,1151,1178,1206,1230,1252,1259,1265,1299,1334,1363,1376,1378,1371,1359,1362,1358,1348,1357,1366,1349,1324,1306,1304,1318,1340,1354,1356,1360,1375,1391,1399,1414,1443,1454,1453,1448,1455,1452,1461,1498
Geothermal,2/27/2022,886,886,886,877,840,840,832,822,836,840,838,840,845,845,847,848,849,850,850,850,851,851,851,850,850,850,850,850,851,850,851,850,850,850,850,851,850,851,851,852,853,853,852,851,851,851,851,851,851,851,852,852,853,853,853,852,852,851,852,852,852,852,852,852,852,853,851,851,851,851,852,851,850,851,851,851,849,850,849,850,850,851,851,850,851,851,850,852,852,851,851,851,850,850,850,850,851,851,850,850,850,850,850,851,851,850,850,849,850,850,850,848,849,848,848,848,849,848,848,847,849,849,848,848,847,847,848,848,848,834,811,809,811,811,810,809,810,810,809,810,809,809,809,808,809,827,846,849,854,860,868,872,873,876,876,876,876,875,875,876,876,874,874,874,875,874,874,872,874,874,866,867,867,869,870,870,872,871,870,869,868,869,869,870,869,868,868,868,868,868,867,869,868,867,868,867,867,867,868,867,868,869,867,868,870,869,870,868,870,870,870,869,871,870,871,870,872,871,872,873,873,873,874,874,873,874,875,874,874,874,874,875,876,876,875,875,876,875,875,876,876,876,876,876,876,875,876,876,876,876,875,875,875,875,875,875,874,874,874,874,873,875,875,874,875,876,875,875,874,871,873,872,873,874,873,874,871,873,872,873,873,874,873,873,872,825,829,830
Biomass,2/27/2022,287,290,289,289,289,287,287,287,288,288,287,287,289,292,291,290,289,289,289,287,287,287,289,290,290,289,288,288,288,289,290,289,289,290,289,291,290,290,290,291,291,290,292,291,292,291,291,292,291,290,291,291,292,290,290,291,289,290,292,291,290,292,293,291,292,292,289,291,291,293,293,292,290,289,290,290,290,289,288,289,289,289,289,287,287,289,288,289,289,288,289,290,289,290,289,289,287,290,291,290,288,286,285,283,279,277,280,279,278,279,279,279,281,277,277,273,272,273,275,270,263,264,263,262,263,265,263,264,263,264,264,265,266,270,273,276,276,277,279,280,279,283,285,290,291,291,293,295,294,293,293,292,292,293,294,295,296,297,296,297,300,298,298,300,302,300,298,297,298,299,304,303,304,303,303,303,307,309,311,309,309,312,312,312,314,313,311,312,313,312,314,313,314,311,315,313,311,313,314,314,312,313,312,313,314,313,313,313,314,314,313,312,312,311,312,311,313,313,315,313,313,312,312,312,311,311,312,312,312,312,312,312,312,313,312,313,313,312,312,311,312,312,311,310,310,309,311,313,312,312,313,312,312,311,312,311,311,311,311,311,311,310,308,308,310,312,316,317,317,317,315,312,309,311,312,311,310,310,310,310,312,313,314,313,312,311,311,309
Biogas,2/27/2022,214,210,210,210,210,211,210,210,211,210,210,210,210,210,211,210,211,211,210,211,211,211,210,210,210,210,210,211,211,211,210,210,211,210,210,210,210,210,210,211,211,211,211,211,211,211,211,211,211,210,211,211,211,211,211,211,211,211,211,212,212,211,211,212,212,212,212,212,212,212,212,212,212,211,211,211,211,211,212,212,211,211,211,211,211,211,210,210,212,210,210,211,212,213,213,213,213,214,213,213,214,213,214,214,213,213,213,213,213,213,214,215,215,215,215,215,215,215,215,215,215,215,215,215,217,217,216,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,214,214,215,214,214,214,214,214,215,214,215,214,215,214,214,214,214,214,214,214,214,215,215,215,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,215,214,214,213,211,211,210,211,210,211,211,211,211,211,211,211,211,211,211,211,210,211,211,212,212,211,211,211,212,211,211,211,212,211,212,211,211,211,212,211,211,211,212,211,209,209,210,210,210,209,209,209,210,210,210,210,209,210,211,210,211,210,210,209,209,209,210,210,209,209,208,208,208,209,208,208,208,208,209,208,208,207,207,208,208,208,208,208,208,208,208,209,209,209,209,211,210,210,210,210,209,209,210,211
Small hydro,2/27/2022,149,149,150,149,150,150,150,150,150,150,150,151,150,150,151,150,149,148,149,150,151,151,151,152,151,151,151,150,149,150,151,152,153,153,152,151,150,151,151,151,151,152,151,151,152,151,150,149,149,148,152,155,158,158,158,158,158,158,158,158,159,159,158,159,158,157,157,157,157,157,157,157,158,157,156,156,156,156,156,156,157,157,156,157,157,156,156,155,156,155,155,156,156,156,156,142,117,116,115,114,115,115,115,115,114,115,114,115,114,114,115,115,115,115,115,115,114,114,109,109,109,106,103,103,103,103,102,102,102,102,103,102,102,102,102,102,103,102,102,102,102,102,103,103,102,102,103,103,103,103,103,103,103,102,102,102,103,103,102,102,102,102,102,102,103,104,104,103,104,103,103,103,104,104,104,104,104,105,105,105,105,105,104,103,104,102,101,100,100,100,100,101,102,112,154,156,156,155,155,154,153,154,154,154,154,157,168,179,179,179,180,179,179,179,179,192,216,220,221,221,221,221,220,220,221,222,223,223,223,223,223,223,222,222,221,221,221,221,222,222,223,223,212,181,180,181,181,182,183,182,182,182,183,182,183,182,182,182,182,182,182,182,181,181,182,178,175,174,174,173,172,172,172,172,172,173,174,172,155,152,152,153,153,153,152,152,152,153
