Renewables 02/19/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/19/2022,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-30,-29,-29,-30,-29,-29,-29,-29,-29,-29,-30,-30,-30,-30,-30,-30,-30,-31,-31,-30,-31,-30,-31,-31,-31,-31,-31,-31,-32,-32,-34,-34,-34,-34,-32,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-32,-31,-32,-32,-31,-31,-32,-32,-32,-32,-31,-30,-29,-24,-8,34,105,206,364,570,870,1227,1663,2188,2723,3296,3871,4490,5088,5666,5947,5833,6269,7034,7870,8304,8686,9040,9202,9255,9302,9266,9319,9183,9064,9204,10153,10663,10659,10635,10582,10222,9738,9443,9392,9308,9299,9244,9075,9196,9380,9376,9168,8993,8767,8701,8634,8462,8404,8407,8555,8563,8582,8894,9091,9005,8839,8267,7969,7864,8083,7895,8155,8286,8026,8124,7998,7934,7904,7982,8009,7778,7681,7777,7678,7782,7861,7792,7840,8090,8038,8084,7949,7827,7864,7785,7916,7914,8022,7811,7763,7790,7696,7626,7728,7791,7937,8007,7559,7686,7631,7635,7747,7841,7792,7829,7747,7860,7572,7111,6368,6043,6156,6244,5978,5490,4792,4124,3536,3022,2503,1937,1465,1027,763,572,398,278,199,129,93,123,118,96,177,200,202,202,202,202,203,203,203,203,203,203,211,216,216,216,216,216,217,218,219,218,218,213,188,184,184,184,183,152,129,129,129,129,129,118,76,58,58,58,58,57,57,57,57,57,57,57,56,56,56,54,52,44,34,22,6,-6,-12,-16,-16,-17,-17,-17,-18,-19,-21,-22,-22,-22,-21
Wind,2/19/2022,656,653,666,676,675,675,678,679,686,700,711,722,727,740,753,760,768,773,765,762,770,777,788,793,798,797,789,795,795,796,794,795,792,792,794,792,788,788,784,774,769,761,747,728,718,714,707,706,701,701,696,693,687,677,666,653,643,642,634,628,629,627,621,615,610,599,595,587,572,559,545,530,518,516,514,512,502,499,499,486,473,461,461,465,470,468,467,473,475,481,483,482,482,482,485,485,496,495,503,524,552,556,567,568,575,580,592,609,628,648,681,712,741,770,812,826,846,863,872,898,920,948,994,1028,1039,1052,1062,1078,1092,1099,1117,1119,1120,1123,1148,1176,1217,1239,1266,1280,1295,1283,1307,1303,1328,1336,1335,1327,1334,1355,1352,1357,1355,1360,1362,1365,1338,1280,1290,1278,1352,1395,1392,1429,1449,1467,1466,1310,1079,907,869,845,844,864,912,1006,1090,1213,1371,1380,1366,1367,1366,1368,1366,1357,1344,1332,1336,1334,1312,1308,1300,1285,1282,1269,1246,1232,1225,1235,1231,1226,1223,1225,1227,1246,1266,1282,1288,1291,1294,1286,1280,1278,1281,1281,1286,1294,1289,1275,1266,1160,1135,1232,1260,1265,1279,1234,1258,1277,1259,1277,1269,1266,1266,1269,1268,1270,1273,1290,1306,1322,1340,1366,1387,1410,1442,1472,1485,1511,1549,1586,1600,1608,1617,1623,1625,1621,1627,1634,1645,1647,1647,1655,1669,1685,1695,1721,1736,1746,1763,1783,1803,1811,1805,1806,1816,1819,1815,1817,1837,1852,1871,1892,1908,1930,1931,1921
Geothermal,2/19/2022,828,828,826,828,828,827,829,827,828,828,827,827,827,828,827,827,828,827,827,828,827,823,823,823,823,823,822,823,823,822,823,823,822,824,823,823,824,824,825,824,824,824,825,824,824,824,824,824,825,828,828,828,828,828,828,828,828,828,828,827,828,828,828,829,829,828,828,827,827,827,828,828,828,826,827,826,826,826,826,824,824,823,824,823,825,828,828,828,827,828,828,828,828,827,827,826,825,825,824,824,824,824,824,825,823,820,820,821,821,822,823,823,824,822,823,824,824,823,820,810,809,806,805,805,808,816,819,818,818,818,819,820,819,820,820,821,821,820,821,819,818,816,813,816,817,816,817,816,815,816,815,816,815,815,816,815,816,817,816,816,816,816,817,816,816,816,815,817,818,818,817,814,807,804,801,800,796,794,795,795,795,796,798,811,809,810,812,820,824,824,825,823,823,820,816,818,816,817,816,817,820,819,820,820,822,823,824,823,826,826,826,826,826,826,826,826,831,831,831,832,834,828,827,826,827,827,827,827,827,827,831,829,829,829,829,829,830,830,830,830,830,827,827,828,827,828,827,828,826,826,826,826,825,825,824,824,825,825,824,825,825,826,826,825,826,826,826,826,825,825,825,826,824,824,825,825,826,825,825,825,825,825,825,822,823,823,823,822
Biomass,2/19/2022,298,297,297,296,295,296,295,296,295,296,297,298,298,295,295,294,295,296,295,295,293,294,295,295,296,294,292,295,294,294,294,293,295,294,294,296,295,295,297,295,296,298,298,299,297,299,298,299,298,298,298,300,299,299,299,300,300,298,298,298,297,297,296,296,295,296,296,297,296,296,293,295,296,298,297,299,299,300,300,298,301,297,298,297,299,299,299,300,299,296,295,297,297,297,297,297,296,298,300,297,297,297,297,299,298,298,298,297,296,297,296,296,298,302,298,296,295,293,293,290,289,287,285,286,289,289,290,290,288,290,290,291,292,293,292,296,296,297,301,298,303,300,297,300,297,297,295,295,294,296,297,300,301,300,299,301,300,300,299,298,297,298,295,296,296,297,297,301,298,301,301,303,303,301,300,300,300,301,301,302,302,301,300,301,301,301,300,299,298,301,302,300,302,298,298,299,297,299,302,302,302,300,300,301,299,299,299,298,297,298,300,299,299,299,297,300,301,298,300,300,300,302,303,301,302,299,301,301,302,303,303,302,302,303,303,302,301,304,304,300,300,301,300,299,303,301,302,301,300,301,301,301,301,302,300,300,300,301,300,299,297,298,300,300,302,305,303,303,301,302,300,300,301,300,302,302,303,301,302,299,300,302,302,302,301,302,304,303
Biogas,2/19/2022,219,219,219,219,219,219,219,219,219,219,219,219,219,218,219,219,219,219,219,219,219,220,219,219,219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,212,208,208,208,208,209,209,209,210,214,217,220,220,219,220,219,219,219,219,219,220,220,220,220,220,220,220,221,220,219,220,219,219,219,218,218,218,218,218,218,218,218,218,218,217,217,216,216,216,216,217,217,216,216,216,217,216,216,216,216,216,214,213,213,213,214,213,213,213,212,212,212,213,212,211,212,212,212,212,212,212,212,214,215,215,215,215,215,215,215,214,214,214,214,214,215,215,215,215,214,214,214,215,214,215,215,215,216,216,215,214,215,208,203,207,215,215,216,216,216,216,215,215,215,216,216,216,216,215,215,215,215,215,216,216,215,215,215,215,215,216,216,216,216,217,216,216,215,215,216,216,216,216,217,216,216,217,216,216,216,216,216,216,216,217,217,217,217,217,217,217,216,217,217,217,218,217,217,217,217,217,217,219,219,219,219,220,220,219,219,219,219,219,219,219,218,218,218,219,220,219,219,219,219,219,219,219,219,219,219,219,220,219,220,219,219,218,218,218,219,219,218,219,218,218,218,219,218,218,218,218,218,218,218,218,218,217,218,218,218,218,218,218,218,219,219,218
Small hydro,2/19/2022,161,158,158,158,157,156,155,155,155,155,155,155,155,155,156,155,155,155,155,155,155,155,155,155,155,155,155,155,154,154,153,153,154,154,154,154,153,154,154,154,155,154,154,154,154,153,153,154,154,155,156,157,157,158,158,158,159,158,158,158,158,158,158,159,158,158,158,158,158,158,158,184,199,199,196,196,196,199,200,199,199,199,199,199,199,199,197,173,165,165,163,163,164,164,164,142,124,123,123,123,124,124,125,124,125,124,123,124,124,121,119,119,119,119,119,118,117,118,118,118,117,118,117,117,117,121,126,126,127,126,126,127,126,126,127,126,126,125,125,125,125,126,126,125,124,124,117,118,118,118,118,117,116,116,116,117,117,117,117,110,108,108,108,108,108,108,108,107,107,107,116,116,116,116,115,115,115,115,114,115,116,130,158,157,159,159,159,160,160,160,160,185,201,205,213,212,212,212,212,213,214,214,214,213,214,217,219,220,218,220,221,222,221,221,219,217,218,219,220,221,223,221,220,220,220,220,220,221,221,222,221,222,222,224,224,223,223,222,223,222,223,223,212,186,182,182,182,182,182,182,182,182,182,181,181,180,180,181,182,184,184,184,184,182,181,177,174,174,175,176,175,175,174,174,173,175,175,174,163,160,160,160,161,161,161,161,161,162
