Renewables 02/13/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/13/2022,-37,-37,-37,-37,-37,-37,-37,-38,-38,-38,-39,-39,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-38,-39,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-39,-40,-39,-39,-39,-40,-40,-39,-39,-39,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-40,-39,-34,-22,4,62,142,286,493,754,1109,1528,1975,2476,3002,3563,4152,4755,5369,5975,6546,7138,7747,8331,8848,9335,9755,10101,10354,10613,10816,10982,11097,11231,11318,11431,11529,11611,11668,11519,11462,11660,11739,11603,11316,11149,10860,10831,10960,11067,11131,11131,11137,11100,11077,11125,11129,11156,11171,11177,11178,11198,11190,11159,11210,11205,11181,11166,11145,11181,11380,11474,11484,11493,11504,11511,11523,11537,11551,11562,11576,11590,11615,11622,11634,11646,11656,11664,11675,11682,11696,11703,11706,11702,11736,11744,11717,11710,11690,11667,11638,11604,11579,11546,11487,11453,11340,11244,11161,11081,10951,10763,10540,10244,9887,9521,9104,8635,8085,7520,6965,6386,5808,5187,4581,3974,3400,2830,2257,1733,1332,973,676,465,322,231,125,92,83,74,45,38,139,154,154,155,155,155,156,156,156,156,156,155,156,156,156,156,155,156,158,149,141,141,142,122,73,51,52,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,42,39,36,32,21,9,0,-12,-21,-33,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39
Wind,2/13/2022,1377,1383,1374,1356,1334,1326,1321,1319,1317,1316,1295,1253,1225,1238,1250,1234,1216,1202,1184,1159,1133,1105,1084,1065,1053,1056,1066,1066,1051,1041,1026,1005,995,987,969,959,945,920,894,874,852,830,806,803,785,754,734,720,725,729,732,731,715,696,694,691,680,658,647,647,651,643,642,643,644,646,642,631,626,628,628,630,632,627,621,619,621,620,617,617,619,609,596,584,577,572,569,570,564,560,556,549,545,539,539,546,536,515,501,484,473,464,461,460,458,454,452,449,448,440,447,454,466,485,495,493,512,525,524,532,540,539,542,541,547,557,591,617,663,694,733,756,803,836,866,905,920,949,963,988,991,1016,1042,1050,1055,1067,1059,1047,1035,1015,998,991,994,973,989,989,998,1013,1013,1012,1026,1025,997,969,954,959,968,952,948,952,949,952,950,942,938,935,943,950,961,969,968,961,965,977,968,973,971,966,956,960,965,971,977,984,1004,1010,1014,1028,1037,1050,1065,1099,1128,1152,1171,1186,1197,1204,1216,1227,1243,1256,1271,1278,1283,1275,1267,1297,1302,1301,1311,1331,1355,1373,1390,1410,1424,1439,1441,1441,1438,1437,1441,1442,1432,1430,1430,1427,1408,1394,1393,1392,1415,1441,1467,1494,1520,1538,1562,1585,1612,1617,1617,1596,1586,1578,1566,1564,1552,1568,1605,1616,1629,1633,1630,1626,1616,1615,1616,1610,1596,1590,1586,1578,1571,1550,1528,1502,1497,1511,1515,1498,1488,1493,1487,1466,1446,1432
Geothermal,2/13/2022,913,914,914,913,913,914,913,913,913,913,912,913,913,914,915,914,914,914,915,914,914,915,915,915,915,916,916,915,916,916,916,915,915,915,915,915,915,916,915,915,914,914,914,915,915,914,915,915,915,915,914,914,914,914,913,914,914,914,916,916,915,917,918,917,917,918,917,917,917,917,917,916,918,917,917,916,917,916,918,918,918,917,917,917,917,917,917,919,919,919,918,919,919,917,917,917,916,917,916,915,915,915,915,914,914,914,912,914,915,915,915,914,914,913,913,913,912,912,913,914,914,915,914,914,913,914,913,913,912,912,912,912,912,912,911,912,911,910,910,911,912,910,911,911,911,911,911,913,913,914,913,914,913,913,913,913,913,912,913,912,913,911,911,912,910,911,912,911,911,911,911,911,910,910,910,910,910,909,909,909,909,909,909,908,908,908,907,907,906,908,908,908,907,908,908,908,909,909,910,910,909,910,909,908,910,910,910,910,910,910,911,911,912,912,911,911,911,912,912,912,912,913,914,914,914,915,915,914,915,915,916,916,916,916,914,912,912,912,912,912,912,912,912,913,912,912,914,913,912,912,912,912,911,914,914,914,914,914,915,915,914,915,916,916,916,917,917,916,916,917,916,917,916,917,917,918,918,918,918,918,919,919,919,918,919,920,920,920
Biomass,2/13/2022,261,261,257,259,259,260,259,259,256,257,256,257,256,257,257,261,261,261,262,264,262,263,263,262,263,263,263,262,263,263,264,265,264,265,265,264,262,264,262,262,263,263,262,263,263,262,260,258,256,255,247,237,235,237,239,237,238,237,238,237,236,237,235,236,236,237,238,237,237,237,238,237,236,236,238,237,238,239,237,238,238,238,238,238,240,239,240,239,240,240,238,240,238,237,236,236,238,240,239,238,239,239,239,238,237,237,237,235,236,237,237,238,238,238,238,248,253,254,253,256,257,255,254,251,249,250,248,252,253,253,253,253,253,253,253,253,253,254,256,255,253,253,249,237,234,234,235,235,237,237,236,236,238,240,240,241,236,234,232,230,229,228,236,239,239,243,245,246,242,243,240,249,251,250,249,246,245,250,253,253,253,252,252,253,254,256,255,255,254,253,254,255,253,256,260,267,268,266,267,263,268,267,268,266,266,265,267,265,266,266,269,269,269,271,273,270,269,265,268,270,271,270,271,270,273,272,273,272,274,273,277,276,275,277,277,275,274,273,275,273,273,274,279,274,275,274,274,274,273,272,273,273,275,274,272,273,275,272,274,273,271,273,272,272,272,272,273,270,265,268,269,268,266,266,268,269,269,269,269,270,271,272,271,271,270,273,271,271
Biogas,2/13/2022,222,220,220,220,220,221,220,221,220,220,220,220,220,220,220,220,220,221,221,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,222,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,220,219,219,220,221,221,221,221,220,220,220,220,220,220,220,220,220,220,220,220,221,220,220,220,221,220,220,220,220,220,221,220,220,220,221,221,221,221,221,220,219,219,219,220,219,219,219,219,219,219,219,219,219,219,219,218,219,219,219,219,219,218,219,219,218,218,218,218,218,218,219,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,218,218,218,218,218,218,218,219,218,218,218,219,218,218,218,218,218,220,218,218,218,218,218,218,219,219,219,219,218,218,218,218,218,218,218,218,218,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,219,219,220,219,219,219,219,219,219,218,219,218,219,219,219,219,219,220,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,220,220,220,220,219,219,219,219,219,220,219,219,219,219,219,219,219,219,219,219,218,213,213,213,213,213,213,213,213,213,213,213,213,213,215,215
Small hydro,2/13/2022,202,202,196,180,180,180,179,179,179,181,181,181,180,180,181,181,181,180,180,179,179,179,179,179,179,180,180,180,179,180,181,180,180,180,179,179,179,178,178,179,179,179,179,179,179,179,179,179,179,180,179,181,180,179,178,179,180,180,181,181,181,181,180,180,180,181,181,181,181,182,182,182,182,181,195,202,202,202,202,202,202,203,202,202,201,203,202,202,202,203,203,203,203,202,202,202,201,202,190,178,178,176,176,175,175,175,175,174,175,175,175,177,177,176,176,176,176,176,175,160,133,134,135,136,136,138,138,137,136,136,136,135,134,135,135,135,135,136,136,137,137,137,136,136,136,136,135,135,136,137,138,137,137,137,137,136,136,136,136,137,136,137,141,141,140,139,140,141,141,141,142,142,142,143,144,142,142,141,141,141,141,152,193,191,189,189,188,189,188,188,188,188,189,188,187,188,189,189,189,190,190,189,188,203,238,241,242,243,244,244,245,245,246,244,244,244,244,244,247,246,246,246,246,247,246,247,246,247,248,248,238,214,207,208,209,208,208,206,206,207,207,208,209,208,206,207,207,207,206,206,207,207,208,209,209,209,209,208,208,209,210,209,209,209,209,209,210,210,210,211,211,210,210,210,208,210,210,211,204,187,186,186,186,187,188,187,186,186
