Renewables 02/25/2022,Date,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,2/25/2022,-33,-35,-35,-35,-36,-36,-36,-37,-36,-38,-38,-38,-36,-16,-12,-12,-12,-12,-12,-12,-12,-13,-13,-13,-16,-39,-42,-42,-42,-42,-42,-42,-42,-43,-43,-44,-44,-46,-45,-45,-45,-45,-45,-45,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-47,-47,-47,-47,-47,-47,-47,-48,-47,-45,-40,-26,13,101,174,351,596,886,1298,1846,2411,3029,3634,4231,4854,5507,6120,6701,7291,7849,8389,8889,9511,9970,10316,10602,10855,11039,11131,11205,11285,11097,11045,11196,11695,12162,12361,12495,12521,12497,12508,12495,12366,12234,11928,11911,12285,12465,12481,12326,12243,12264,12158,11989,12019,11952,11752,11808,11677,11863,12047,12012,11855,11827,12002,11959,11708,11429,11444,11535,11549,11720,11619,11484,11168,11200,11419,11485,11377,11179,11086,11242,11279,10885,11100,10875,10801,10614,10537,10746,10727,10743,10648,10375,10434,10452,10606,10613,10634,10291,10263,10325,10446,10469,10371,10398,10411,10311,10090,10040,10199,10575,10848,10688,10450,10372,10075,9255,8354,7672,7400,7486,7568,7064,6419,5748,5179,4558,3888,3291,2693,2080,1563,1154,778,546,382,256,165,109,92,75,147,173,173,175,175,175,219,224,225,225,185,155,110,94,94,94,94,93,94,94,95,96,96,96,94,74,71,70,70,69,70,70,70,70,70,66,59,57,56,55,51,50,48,44,34,31,29,26,20,20,19,17,16,16,16,16,16,16,16,16,15,15,14,11,4,-2,-10,-19,-24,-29,-33
Wind,2/25/2022,668,685,691,705,703,697,688,667,630,580,562,534,551,514,513,516,515,511,509,495,468,447,424,419,409,398,390,376,366,354,342,337,335,324,307,301,291,282,265,247,233,229,230,227,222,220,225,232,242,257,271,283,295,314,313,308,312,317,317,328,342,357,371,378,386,396,404,405,407,404,408,423,434,435,443,460,469,480,496,516,533,556,561,565,573,569,556,562,578,589,595,597,602,609,612,625,640,651,656,639,647,653,657,648,634,651,659,679,716,741,776,772,831,844,854,894,940,962,949,931,933,970,1005,1028,1036,1020,1037,1053,1098,1122,1119,1133,1132,1134,1129,1141,1162,1130,1107,1095,1092,1088,1084,1088,1107,1106,1101,1112,1112,1098,1125,1122,1096,1091,1077,1067,1054,1058,1079,1084,1086,1059,999,1004,1052,1089,1096,1111,1105,1115,1113,1126,1099,1074,1072,1064,1080,1075,1074,1060,1071,1074,1075,1079,1053,1057,1040,1038,1046,1061,1055,1055,1068,1056,1054,1055,1033,1026,1022,1055,1064,1089,1091,1078,1062,1067,1114,1182,1188,1179,1164,1177,1203,1208,1197,1185,1186,1235,1267,1275,1289,1296,1306,1317,1317,1323,1319,1326,1329,1333,1347,1368,1379,1397,1415,1424,1417,1411,1395,1379,1363,1349,1327,1305,1277,1258,1242,1234,1228,1217,1219,1212,1203,1192,1191,1200,1208,1219,1232,1217,1211,1207,1199,1185,1177,1164,1167,1177,1172,1162,1127,1086,1064,1076,1078,1088,1089,1067,1053,1044,1053,1056,1051,1028,1000,971,934,890
Geothermal,2/25/2022,928,928,927,928,928,928,927,926,928,928,927,927,927,927,926,926,926,927,927,926,926,927,927,927,928,928,928,927,927,927,927,926,926,927,926,927,928,927,927,926,926,927,926,926,922,921,915,893,883,869,867,872,875,876,877,878,878,880,880,879,880,878,879,878,880,880,880,882,883,883,883,883,884,884,884,884,884,883,884,885,885,884,886,887,887,887,888,887,888,888,888,888,887,888,887,887,887,887,888,887,888,887,886,887,886,886,886,885,886,885,885,885,886,885,884,884,884,884,883,884,884,883,883,883,881,882,883,883,883,883,882,882,882,883,882,883,883,884,883,883,882,882,882,882,882,882,883,882,883,883,882,882,882,882,883,882,882,881,882,881,880,882,882,880,880,881,881,882,880,882,880,881,882,881,882,879,879,879,878,878,881,883,883,885,884,885,884,884,884,884,885,884,885,884,883,883,883,882,882,883,883,882,880,883,883,883,882,883,883,882,883,882,883,882,882,882,882,882,883,884,884,884,885,884,884,885,885,887,888,888,889,888,889,888,887,888,888,888,888,888,888,888,889,889,887,888,888,888,889,889,888,888,890,888,888,888,890,889,889,889,888,889,889,889,888,889,888,887,889,889,889,889,887,888,888,889,888,887,887,888,887,888,888,888,888,888,889,889
Biomass,2/25/2022,300,296,296,295,295,294,293,292,292,293,292,291,293,291,291,291,291,291,291,292,292,293,291,292,293,292,291,294,295,291,292,294,293,295,296,296,295,298,296,299,299,298,297,297,298,297,296,297,297,292,288,286,286,285,287,285,286,285,287,286,284,284,286,283,283,282,283,284,285,285,284,284,282,282,282,280,280,279,279,280,280,279,278,278,280,281,280,279,279,276,277,279,280,279,277,277,279,279,279,274,280,279,275,279,279,277,278,278,276,277,278,280,279,282,295,295,295,297,296,297,297,296,296,295,294,297,299,300,299,299,299,297,295,294,295,296,298,306,305,305,306,303,300,303,302,302,303,303,305,305,305,305,304,304,306,307,309,306,308,305,305,306,307,306,305,306,306,304,305,305,306,305,304,304,304,306,306,306,306,305,305,306,305,306,303,307,307,307,307,308,309,310,307,309,307,311,311,315,316,319,321,322,322,322,320,319,319,318,319,318,319,319,319,319,319,317,318,318,319,318,318,317,317,320,324,321,321,323,324,325,324,324,325,326,326,325,325,325,326,328,326,326,327,330,329,329,328,328,328,329,330,331,331,328,325,325,323,322,322,323,319,320,321,320,319,310,300,293,293,293,292,292,292,292,292,290,289,291,290,290,291,292,291,292,292,291,290,292
Biogas,2/25/2022,215,213,213,214,214,214,214,214,215,214,215,215,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,215,214,214,214,215,215,215,215,215,214,214,213,214,215,215,214,214,214,214,214,214,214,213,213,213,214,213,214,214,213,214,214,213,214,214,215,215,214,214,214,214,214,214,214,213,213,213,213,213,213,215,213,213,213,213,213,213,213,212,213,213,213,214,213,213,213,212,212,212,213,212,213,213,213,213,211,210,209,208,208,208,208,209,210,209,209,210,210,212,212,212,212,212,211,211,211,212,211,211,211,212,211,210,211,211,211,210,212,213,214,213,213,213,214,214,213,214,213,213,213,213,214,214,214,214,214,214,214,213,213,213,213,214,213,213,213,213,213,212,212,211,212,213,212,212,212,212,212,213,212,212,211,211,212,212,211,212,212,213,213,214,213,213,213,214,213,213,214,214,214,214,214,214,213,214,214,214,214,214,214,214,214,214,214,215,214,214,214,214,214,214,217,219,219,219,219,219,219,219,219,220,219,220,219,219,220,218,219,218,218,218,218,218,218,217,217,217,217,217,217,217,217,217,217,218,218,218,218,217,217,217,217,218,218,217,217,217,218,218,217,217,217,217,217,217,217,217,217,217,217
Small hydro,2/25/2022,157,155,152,151,151,151,151,151,150,149,149,149,149,150,151,152,152,151,151,151,152,152,152,152,152,151,151,151,151,152,152,151,151,151,150,150,151,152,152,153,153,153,151,151,152,152,152,152,152,157,160,160,159,159,157,158,157,157,157,156,156,161,163,164,164,165,165,165,165,165,166,190,205,204,203,204,204,204,203,203,204,203,203,203,202,202,202,161,160,161,161,162,162,162,161,161,161,159,155,155,155,154,154,155,156,156,156,140,114,110,104,104,104,104,105,106,106,106,107,106,105,105,105,105,106,106,106,107,106,106,105,106,106,106,107,107,108,107,106,106,106,105,105,107,108,108,108,108,107,107,107,107,107,108,108,108,108,108,107,107,107,107,106,107,106,107,108,108,108,105,104,104,103,103,104,105,106,106,106,106,106,105,104,104,104,104,105,104,104,104,104,104,104,116,153,154,154,154,155,155,155,155,155,154,154,156,157,158,157,158,159,159,160,160,159,157,156,156,163,174,174,175,175,175,175,178,179,179,179,178,178,177,177,177,178,177,177,176,176,176,176,177,177,177,176,176,177,177,177,177,176,176,177,177,177,177,177,176,175,176,177,177,176,176,176,174,171,170,170,170,170,170,171,171,171,171,172,170,167,167,166,167,168,168,168,167,167,166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
